      Step     Time          Energy          fmax
FIRE:    0 15:10:16    -1071.947998        0.117237
FIRE:    1 15:10:16    -1071.952148        0.110266
FIRE:    2 15:10:16    -1071.959229        0.100669
FIRE:    3 15:10:16    -1071.968262        0.086804
FIRE:    4 15:10:16    -1071.977051        0.069344
FIRE:    5 15:10:16    -1071.984253        0.055168
FIRE:    6 15:10:16    -1071.989502        0.040051
FIRE:    7 15:10:16    -1071.992676        0.039980
FIRE:    8 15:10:16    -1071.994629        0.036581
FIRE:    9 15:10:16    -1071.995239        0.034791
FIRE:   10 15:10:16    -1071.995605        0.034806
FIRE:   11 15:10:16    -1071.995728        0.034836
FIRE:   12 15:10:16    -1071.996094        0.034878
FIRE:   13 15:10:16    -1071.996582        0.034926
FIRE:   14 15:10:16    -1071.997070        0.034977
FIRE:   15 15:10:16    -1071.997559        0.035022
FIRE:   16 15:10:16    -1071.997803        0.035054
FIRE:   17 15:10:16    -1071.998291        0.035061
FIRE:   18 15:10:16    -1071.998535        0.035021
FIRE:   19 15:10:16    -1071.998779        0.034904
FIRE:   20 15:10:16    -1071.999023        0.034686
FIRE:   21 15:10:16    -1071.999146        0.034344
FIRE:   22 15:10:16    -1071.999634        0.033850
FIRE:   23 15:10:16    -1072.000000        0.033170
FIRE:   24 15:10:16    -1072.000732        0.032262
FIRE:   25 15:10:16    -1072.001465        0.031085
FIRE:   26 15:10:16    -1072.002075        0.029627
FIRE:   27 15:10:16    -1072.002930        0.027910
FIRE:   28 15:10:16    -1072.003906        0.025962
FIRE:   29 15:10:16    -1072.004883        0.023772
FIRE:   30 15:10:16    -1072.005859        0.021285
FIRE:   31 15:10:16    -1072.006836        0.018415
FIRE:   32 15:10:16    -1072.007812        0.015111
FIRE:   33 15:10:17    -1072.008789        0.011431
FIRE:   34 15:10:17    -1072.009521        0.007986
FIRE:   35 15:10:17    -1072.010010        0.006190
FIRE:   36 15:10:17    -1072.009888        0.008667
FIRE:   37 15:10:17    -1072.010010        0.006137
FIRE:   38 15:10:17    -1072.010010        0.002607
FIRE:   39 15:10:17    -1072.010010        0.004452
FIRE:   40 15:10:17    -1072.010132        0.004087
FIRE:   41 15:10:17    -1072.010132        0.003389
FIRE:   42 15:10:17    -1072.010132        0.002423
FIRE:   43 15:10:17    -1072.010254        0.001500
FIRE:   44 15:10:17    -1072.010254        0.001495
FIRE:   45 15:10:17    -1072.010254        0.001494
FIRE:   46 15:10:17    -1072.010254        0.001493
FIRE:   47 15:10:17    -1072.010254        0.001491
FIRE:   48 15:10:17    -1072.010010        0.001488
FIRE:   49 15:10:17    -1072.010254        0.001485
FIRE:   50 15:10:17    -1072.010132        0.001481
FIRE:   51 15:10:17    -1072.010254        0.001476
FIRE:   52 15:10:17    -1072.010132        0.001470
FIRE:   53 15:10:17    -1072.010132        0.001462
FIRE:   54 15:10:17    -1072.010132        0.001453
FIRE:   55 15:10:17    -1072.010132        0.001441
FIRE:   56 15:10:17    -1072.010254        0.001428
FIRE:   57 15:10:17    -1072.010254        0.001411
FIRE:   58 15:10:17    -1072.010132        0.001392
FIRE:   59 15:10:17    -1072.010254        0.001368
FIRE:   60 15:10:17    -1072.010254        0.001340
FIRE:   61 15:10:17    -1072.010254        0.001303
FIRE:   62 15:10:17    -1072.010132        0.001256
FIRE:   63 15:10:17    -1072.010254        0.001196
FIRE:   64 15:10:17    -1072.010254        0.001124
FIRE:   65 15:10:17    -1072.010254        0.001035
FIRE:   66 15:10:18    -1072.010254        0.000930
