      Step     Time          Energy          fmax
FIRE:    0 15:10:38    -1062.208740        0.375267
FIRE:    1 15:10:38    -1062.219849        0.348441
FIRE:    2 15:10:38    -1062.239258        0.299192
FIRE:    3 15:10:38    -1062.263184        0.235802
FIRE:    4 15:10:38    -1062.286987        0.169382
FIRE:    5 15:10:38    -1062.307617        0.122464
FIRE:    6 15:10:38    -1062.323242        0.126905
FIRE:    7 15:10:38    -1062.334229        0.103749
FIRE:    8 15:10:38    -1062.341919        0.094916
FIRE:    9 15:10:38    -1062.345947        0.070324
FIRE:   10 15:10:38    -1062.346436        0.068499
FIRE:   11 15:10:38    -1062.347290        0.064908
FIRE:   12 15:10:38    -1062.348389        0.059670
FIRE:   13 15:10:38    -1062.349609        0.052960
FIRE:   14 15:10:38    -1062.351074        0.045012
FIRE:   15 15:10:38    -1062.352295        0.036125
FIRE:   16 15:10:38    -1062.353516        0.026660
FIRE:   17 15:10:38    -1062.354492        0.023509
FIRE:   18 15:10:38    -1062.355225        0.026651
FIRE:   19 15:10:38    -1062.355713        0.024115
FIRE:   20 15:10:38    -1062.355835        0.030494
FIRE:   21 15:10:38    -1062.355835        0.030197
FIRE:   22 15:10:38    -1062.355957        0.029611
FIRE:   23 15:10:38    -1062.356079        0.028741
FIRE:   24 15:10:39    -1062.356201        0.027601
FIRE:   25 15:10:39    -1062.356201        0.026204
FIRE:   26 15:10:39    -1062.356323        0.024570
FIRE:   27 15:10:39    -1062.356445        0.022719
FIRE:   28 15:10:39    -1062.356445        0.021084
FIRE:   29 15:10:39    -1062.356689        0.020901
FIRE:   30 15:10:39    -1062.356812        0.020678
FIRE:   31 15:10:39    -1062.357056        0.020411
FIRE:   32 15:10:39    -1062.357056        0.020098
FIRE:   33 15:10:39    -1062.357178        0.019746
FIRE:   34 15:10:39    -1062.357300        0.019363
FIRE:   35 15:10:39    -1062.357422        0.018956
FIRE:   36 15:10:39    -1062.357666        0.018529
FIRE:   37 15:10:39    -1062.357910        0.018077
FIRE:   38 15:10:39    -1062.358032        0.017581
FIRE:   39 15:10:39    -1062.358154        0.017002
FIRE:   40 15:10:39    -1062.358398        0.016292
FIRE:   41 15:10:39    -1062.358643        0.015412
FIRE:   42 15:10:39    -1062.358765        0.014338
FIRE:   43 15:10:39    -1062.359131        0.013081
FIRE:   44 15:10:39    -1062.359375        0.011703
FIRE:   45 15:10:39    -1062.359741        0.010273
FIRE:   46 15:10:39    -1062.360107        0.008792
FIRE:   47 15:10:39    -1062.360352        0.007134
FIRE:   48 15:10:39    -1062.360474        0.005165
FIRE:   49 15:10:39    -1062.360596        0.005837
FIRE:   50 15:10:39    -1062.360596        0.006758
FIRE:   51 15:10:39    -1062.360718        0.004338
FIRE:   52 15:10:39    -1062.360718        0.003445
FIRE:   53 15:10:39    -1062.360718        0.003914
FIRE:   54 15:10:39    -1062.360840        0.003564
FIRE:   55 15:10:39    -1062.360718        0.002959
FIRE:   56 15:10:39    -1062.360718        0.002311
FIRE:   57 15:10:39    -1062.360840        0.001907
FIRE:   58 15:10:40    -1062.360840        0.002876
FIRE:   59 15:10:40    -1062.360718        0.003205
FIRE:   60 15:10:40    -1062.360840        0.002691
FIRE:   61 15:10:40    -1062.360840        0.001417
FIRE:   62 15:10:40    -1062.360840        0.001301
FIRE:   63 15:10:40    -1062.360840        0.001787
FIRE:   64 15:10:40    -1062.360718        0.002071
FIRE:   65 15:10:40    -1062.360840        0.001392
FIRE:   66 15:10:40    -1062.360840        0.001390
FIRE:   67 15:10:40    -1062.360840        0.001386
FIRE:   68 15:10:40    -1062.360840        0.001381
FIRE:   69 15:10:40    -1062.360840        0.001374
FIRE:   70 15:10:40    -1062.360840        0.001365
FIRE:   71 15:10:40    -1062.360840        0.001355
FIRE:   72 15:10:40    -1062.360840        0.001344
FIRE:   73 15:10:40    -1062.360840        0.001331
FIRE:   74 15:10:40    -1062.360840        0.001318
FIRE:   75 15:10:40    -1062.360718        0.001304
FIRE:   76 15:10:40    -1062.360718        0.001289
FIRE:   77 15:10:40    -1062.360840        0.001274
FIRE:   78 15:10:40    -1062.360840        0.001257
FIRE:   79 15:10:40    -1062.360840        0.001238
FIRE:   80 15:10:40    -1062.360840        0.001214
FIRE:   81 15:10:40    -1062.360718        0.001187
FIRE:   82 15:10:40    -1062.360718        0.001156
FIRE:   83 15:10:40    -1062.360718        0.001126
FIRE:   84 15:10:40    -1062.360840        0.001099
FIRE:   85 15:10:40    -1062.360840        0.001075
FIRE:   86 15:10:40    -1062.360840        0.001042
FIRE:   87 15:10:40    -1062.360840        0.000995
