      Step     Time          Energy          fmax
FIRE:    0 14:50:15    -1072.209106        0.213354
FIRE:    1 14:50:15    -1072.218750        0.198423
FIRE:    2 14:50:15    -1072.235352        0.169624
FIRE:    3 14:50:15    -1072.254395        0.129087
FIRE:    4 14:50:15    -1072.271606        0.081130
FIRE:    5 14:50:15    -1072.282959        0.047684
FIRE:    6 14:50:15    -1072.286865        0.054697
FIRE:    7 14:50:15    -1072.286133        0.062334
FIRE:    8 14:50:15    -1072.286499        0.061062
FIRE:    9 14:50:15    -1072.287109        0.058551
FIRE:   10 14:50:15    -1072.288086        0.054859
FIRE:   11 14:50:15    -1072.289307        0.050079
FIRE:   12 14:50:15    -1072.290527        0.044327
FIRE:   13 14:50:15    -1072.291748        0.037756
FIRE:   14 14:50:15    -1072.292847        0.030545
FIRE:   15 14:50:15    -1072.294189        0.026334
FIRE:   16 14:50:15    -1072.294922        0.025946
FIRE:   17 14:50:15    -1072.295654        0.025493
FIRE:   18 14:50:15    -1072.295898        0.024983
FIRE:   19 14:50:16    -1072.295898        0.024979
FIRE:   20 14:50:16    -1072.295898        0.024971
FIRE:   21 14:50:16    -1072.295898        0.024958
FIRE:   22 14:50:16    -1072.296021        0.024941
FIRE:   23 14:50:16    -1072.296143        0.024919
FIRE:   24 14:50:16    -1072.296143        0.024893
FIRE:   25 14:50:16    -1072.296265        0.024861
FIRE:   26 14:50:16    -1072.296387        0.024818
FIRE:   27 14:50:16    -1072.296387        0.024763
FIRE:   28 14:50:16    -1072.296631        0.024690
FIRE:   29 14:50:16    -1072.296631        0.024592
FIRE:   30 14:50:16    -1072.296875        0.024463
FIRE:   31 14:50:16    -1072.296997        0.024291
FIRE:   32 14:50:16    -1072.297119        0.024067
FIRE:   33 14:50:16    -1072.297363        0.023777
FIRE:   34 14:50:16    -1072.297363        0.023412
FIRE:   35 14:50:16    -1072.297607        0.022959
FIRE:   36 14:50:16    -1072.297852        0.022403
FIRE:   37 14:50:16    -1072.298096        0.021732
FIRE:   38 14:50:16    -1072.298218        0.020939
FIRE:   39 14:50:16    -1072.298462        0.020033
FIRE:   40 14:50:16    -1072.298828        0.019026
FIRE:   41 14:50:16    -1072.299072        0.017919
FIRE:   42 14:50:16    -1072.299561        0.016692
FIRE:   43 14:50:16    -1072.300049        0.015294
FIRE:   44 14:50:16    -1072.300537        0.013658
FIRE:   45 14:50:16    -1072.301025        0.011696
FIRE:   46 14:50:16    -1072.301270        0.009400
FIRE:   47 14:50:16    -1072.301636        0.006833
FIRE:   48 14:50:16    -1072.301880        0.004916
FIRE:   49 14:50:16    -1072.302124        0.003219
FIRE:   50 14:50:16    -1072.302002        0.002285
FIRE:   51 14:50:16    -1072.302002        0.001010
FIRE:   52 14:50:16    -1072.302124        0.001432
FIRE:   53 14:50:17    -1072.302124        0.001332
FIRE:   54 14:50:17    -1072.302002        0.001138
FIRE:   55 14:50:17    -1072.302124        0.000870
      Step     Time          Energy          fmax
FIRE:    0 14:59:34    -1072.208984        0.213354
FIRE:    1 14:59:35    -1072.218750        0.198423
FIRE:    2 14:59:35    -1072.235352        0.169624
FIRE:    3 14:59:35    -1072.254395        0.129087
FIRE:    4 14:59:35    -1072.271606        0.081130
FIRE:    5 14:59:35    -1072.282837        0.047684
FIRE:    6 14:59:35    -1072.286865        0.054697
FIRE:    7 14:59:35    -1072.286133        0.062334
FIRE:    8 14:59:35    -1072.286499        0.061063
FIRE:    9 14:59:35    -1072.287231        0.058551
FIRE:   10 14:59:35    -1072.288086        0.054859
FIRE:   11 14:59:35    -1072.289307        0.050079
FIRE:   12 14:59:35    -1072.290527        0.044327
FIRE:   13 14:59:35    -1072.291748        0.037756
FIRE:   14 14:59:35    -1072.292969        0.030545
FIRE:   15 14:59:35    -1072.294189        0.026334
FIRE:   16 14:59:35    -1072.295044        0.025946
FIRE:   17 14:59:35    -1072.295654        0.025493
FIRE:   18 14:59:35    -1072.295898        0.024983
FIRE:   19 14:59:35    -1072.295898        0.024979
FIRE:   20 14:59:35    -1072.295898        0.024971
FIRE:   21 14:59:35    -1072.295898        0.024958
FIRE:   22 14:59:35    -1072.296021        0.024941
FIRE:   23 14:59:35    -1072.296143        0.024919
FIRE:   24 14:59:35    -1072.296143        0.024893
FIRE:   25 14:59:35    -1072.296265        0.024861
FIRE:   26 14:59:35    -1072.296387        0.024818
FIRE:   27 14:59:36    -1072.296509        0.024763
FIRE:   28 14:59:36    -1072.296631        0.024690
FIRE:   29 14:59:36    -1072.296753        0.024592
FIRE:   30 14:59:36    -1072.296875        0.024463
FIRE:   31 14:59:36    -1072.296997        0.024291
FIRE:   32 14:59:36    -1072.297119        0.024067
FIRE:   33 14:59:36    -1072.297363        0.023777
FIRE:   34 14:59:36    -1072.297363        0.023412
FIRE:   35 14:59:36    -1072.297607        0.022959
FIRE:   36 14:59:36    -1072.297852        0.022403
