      Step     Time          Energy          fmax
FIRE:    0 14:49:56    -1071.518066        0.200909
FIRE:    1 14:49:56    -1071.523926        0.186710
FIRE:    2 14:49:56    -1071.533936        0.159381
FIRE:    3 14:49:56    -1071.545410        0.121054
FIRE:    4 14:49:56    -1071.555298        0.074830
FIRE:    5 14:49:56    -1071.561279        0.037432
FIRE:    6 14:49:56    -1071.562622        0.042868
FIRE:    7 14:49:56    -1071.562744        0.042108
FIRE:    8 14:49:56    -1071.562988        0.040603
FIRE:    9 14:49:56    -1071.563354        0.038396
FIRE:   10 14:49:56    -1071.563599        0.035538
FIRE:   11 14:49:56    -1071.564087        0.032106
FIRE:   12 14:49:56    -1071.564575        0.028194
FIRE:   13 14:49:56    -1071.565063        0.023922
FIRE:   14 14:49:56    -1071.565430        0.018936
FIRE:   15 14:49:56    -1071.565796        0.013698
FIRE:   16 14:49:56    -1071.566162        0.013832
FIRE:   17 14:49:56    -1071.566406        0.015168
FIRE:   18 14:49:56    -1071.566650        0.017832
FIRE:   19 14:49:56    -1071.566895        0.018162
FIRE:   20 14:49:56    -1071.567139        0.015600
FIRE:   21 14:49:56    -1071.567261        0.011879
FIRE:   22 14:49:56    -1071.567383        0.011493
FIRE:   23 14:49:56    -1071.567261        0.011489
FIRE:   24 14:49:56    -1071.567383        0.011482
FIRE:   25 14:49:56    -1071.567383        0.011471
FIRE:   26 14:49:56    -1071.567383        0.011456
FIRE:   27 14:49:56    -1071.567383        0.011437
FIRE:   28 14:49:56    -1071.567505        0.011413
FIRE:   29 14:49:56    -1071.567505        0.011383
FIRE:   30 14:49:56    -1071.567505        0.011342
FIRE:   31 14:49:56    -1071.567627        0.011285
FIRE:   32 14:49:56    -1071.567627        0.011208
FIRE:   33 14:49:57    -1071.567627        0.011102
FIRE:   34 14:49:57    -1071.567627        0.010963
FIRE:   35 14:49:57    -1071.567749        0.010780
FIRE:   36 14:49:57    -1071.567749        0.010549
FIRE:   37 14:49:57    -1071.567871        0.010259
FIRE:   38 14:49:57    -1071.567871        0.009901
FIRE:   39 14:49:57    -1071.567993        0.009465
FIRE:   40 14:49:57    -1071.567993        0.008949
FIRE:   41 14:49:57    -1071.568115        0.008348
FIRE:   42 14:49:57    -1071.568237        0.007655
FIRE:   43 14:49:57    -1071.568359        0.006843
FIRE:   44 14:49:57    -1071.568604        0.005870
FIRE:   45 14:49:57    -1071.568604        0.004741
FIRE:   46 14:49:57    -1071.568604        0.003486
FIRE:   47 14:49:57    -1071.568726        0.002166
FIRE:   48 14:49:57    -1071.568848        0.001292
FIRE:   49 14:49:57    -1071.568726        0.002305
FIRE:   50 14:49:57    -1071.568848        0.001918
FIRE:   51 14:49:57    -1071.568848        0.001221
FIRE:   52 14:49:57    -1071.568848        0.000773
      Step     Time          Energy          fmax
FIRE:    0 14:59:13    -1071.518066        0.200908
FIRE:    1 14:59:13    -1071.523926        0.186710
FIRE:    2 14:59:13    -1071.533936        0.159381
FIRE:    3 14:59:14    -1071.545410        0.121054
FIRE:    4 14:59:14    -1071.555298        0.074830
FIRE:    5 14:59:14    -1071.561279        0.037432
FIRE:    6 14:59:14    -1071.562622        0.042868
FIRE:    7 14:59:14    -1071.562744        0.042108
FIRE:    8 14:59:14    -1071.562988        0.040603
FIRE:    9 14:59:14    -1071.563232        0.038396
FIRE:   10 14:59:14    -1071.563721        0.035538
FIRE:   11 14:59:14    -1071.564087        0.032106
FIRE:   12 14:59:14    -1071.564575        0.028194
FIRE:   13 14:59:14    -1071.565063        0.023921
FIRE:   14 14:59:14    -1071.565430        0.018936
FIRE:   15 14:59:14    -1071.565796        0.013698
FIRE:   16 14:59:14    -1071.566162        0.013832
FIRE:   17 14:59:14    -1071.566406        0.015168
FIRE:   18 14:59:14    -1071.566650        0.017832
FIRE:   19 14:59:14    -1071.566895        0.018162
FIRE:   20 14:59:14    -1071.567139        0.015600
FIRE:   21 14:59:14    -1071.567261        0.011879
FIRE:   22 14:59:14    -1071.567383        0.011493
FIRE:   23 14:59:14    -1071.567261        0.011489
FIRE:   24 14:59:14    -1071.567383        0.011482
FIRE:   25 14:59:14    -1071.567383        0.011471
FIRE:   26 14:59:14    -1071.567383        0.011456
FIRE:   27 14:59:14    -1071.567383        0.011437
FIRE:   28 14:59:14    -1071.567627        0.011413
FIRE:   29 14:59:14    -1071.567505        0.011383
FIRE:   30 14:59:14    -1071.567505        0.011342
FIRE:   31 14:59:14    -1071.567627        0.011285
FIRE:   32 14:59:14    -1071.567627        0.011208
FIRE:   33 14:59:14    -1071.567627        0.011103
FIRE:   34 14:59:14    -1071.567627        0.010962
FIRE:   35 14:59:14    -1071.567749        0.010780
FIRE:   36 14:59:14    -1071.567749        0.010549
FIRE:   37 14:59:15    -1071.567871        0.010259
FIRE:   38 14:59:15    -1071.567871        0.009901
FIRE:   39 14:59:15    -1071.567993        0.009465
FIRE:   40 14:59:15    -1071.568115        0.008949
FIRE:   41 14:59:15    -1071.568115        0.008348
FIRE:   42 14:59:15    -1071.568359        0.007655
FIRE:   43 14:59:15    -1071.568359        0.006843
FIRE:   44 14:59:15    -1071.568481        0.005870
FIRE:   45 14:59:15    -1071.568604        0.004741
FIRE:   46 14:59:15    -1071.568604        0.003486
FIRE:   47 14:59:15    -1071.568726        0.002166
FIRE:   48 14:59:15    -1071.568848        0.001292
FIRE:   49 14:59:15    -1071.568726        0.002304
FIRE:   50 14:59:15    -1071.568848        0.001917
FIRE:   51 14:59:15    -1071.568848        0.001221
FIRE:   52 14:59:15    -1071.568726        0.000773
