      Step     Time          Energy          fmax
FIRE:    0 14:50:17    -1061.728271        0.322443
FIRE:    1 14:50:17    -1061.740845        0.306471
FIRE:    2 14:50:17    -1061.763428        0.275551
FIRE:    3 14:50:17    -1061.790771        0.231777
FIRE:    4 14:50:17    -1061.817139        0.180486
FIRE:    5 14:50:17    -1061.838623        0.127696
FIRE:    6 14:50:17    -1061.852783        0.085541
FIRE:    7 14:50:17    -1061.861084        0.096661
FIRE:    8 14:50:17    -1061.866455        0.095511
FIRE:    9 14:50:17    -1061.870850        0.098861
FIRE:   10 14:50:17    -1061.874023        0.093480
FIRE:   11 14:50:17    -1061.874756        0.090873
FIRE:   12 14:50:17    -1061.876099        0.085743
FIRE:   13 14:50:17    -1061.877930        0.078253
FIRE:   14 14:50:17    -1061.880127        0.068647
FIRE:   15 14:50:17    -1061.882202        0.057242
FIRE:   16 14:50:17    -1061.884277        0.044429
FIRE:   17 14:50:17    -1061.885986        0.033378
FIRE:   18 14:50:17    -1061.887451        0.032860
FIRE:   19 14:50:17    -1061.888184        0.032248
FIRE:   20 14:50:17    -1061.888184        0.031547
FIRE:   21 14:50:17    -1061.888306        0.031542
FIRE:   22 14:50:17    -1061.888428        0.031531
FIRE:   23 14:50:17    -1061.888428        0.031515
FIRE:   24 14:50:18    -1061.888550        0.031494
FIRE:   25 14:50:18    -1061.888672        0.031466
FIRE:   26 14:50:18    -1061.888794        0.031431
FIRE:   27 14:50:18    -1061.888794        0.031389
FIRE:   28 14:50:18    -1061.889038        0.031333
FIRE:   29 14:50:18    -1061.889160        0.031256
FIRE:   30 14:50:18    -1061.889404        0.031152
FIRE:   31 14:50:18    -1061.889526        0.031011
FIRE:   32 14:50:18    -1061.889648        0.030818
FIRE:   33 14:50:18    -1061.889893        0.030559
FIRE:   34 14:50:18    -1061.890015        0.030219
FIRE:   35 14:50:18    -1061.890259        0.029783
FIRE:   36 14:50:18    -1061.890625        0.029238
FIRE:   37 14:50:18    -1061.890869        0.028566
FIRE:   38 14:50:18    -1061.891357        0.027749
