      Step     Time          Energy          fmax
FIRE:    0 15:03:14    -1075.226562        0.496233
FIRE:    1 15:03:14    -1075.255127        0.457884
FIRE:    2 15:03:14    -1075.302246        0.384831
FIRE:    3 15:03:14    -1075.352661        0.283770
FIRE:    4 15:03:14    -1075.390015        0.163565
FIRE:    5 15:03:14    -1075.405029        0.093054
FIRE:    6 15:03:14    -1075.400391        0.144349
FIRE:    7 15:03:14    -1075.401367        0.141901
FIRE:    8 15:03:14    -1075.403076        0.137050
FIRE:    9 15:03:14    -1075.405518        0.129885
FIRE:   10 15:03:14    -1075.408691        0.120529
FIRE:   11 15:03:14    -1075.411865        0.109151
FIRE:   12 15:03:14    -1075.415039        0.095951
FIRE:   13 15:03:14    -1075.417847        0.081174
FIRE:   14 15:03:14    -1075.420410        0.063372
FIRE:   15 15:03:14    -1075.422363        0.042575
FIRE:   16 15:03:14    -1075.423340        0.044268
FIRE:   17 15:03:14    -1075.423706        0.058522
FIRE:   18 15:03:14    -1075.423828        0.057800
FIRE:   19 15:03:14    -1075.423950        0.056367
FIRE:   20 15:03:14    -1075.424072        0.054244
FIRE:   21 15:03:14    -1075.424316        0.051466
FIRE:   22 15:03:14    -1075.424561        0.048079
FIRE:   23 15:03:14    -1075.424805        0.044136
FIRE:   24 15:03:14    -1075.425171        0.039816
FIRE:   25 15:03:14    -1075.425537        0.036849
FIRE:   26 15:03:15    -1075.425903        0.033211
FIRE:   27 15:03:15    -1075.426270        0.028821
FIRE:   28 15:03:15    -1075.426514        0.025282
FIRE:   29 15:03:15    -1075.427002        0.024852
FIRE:   30 15:03:15    -1075.427246        0.024377
FIRE:   31 15:03:15    -1075.427490        0.023877
FIRE:   32 15:03:15    -1075.427734        0.023378
FIRE:   33 15:03:15    -1075.427979        0.022904
FIRE:   34 15:03:15    -1075.428467        0.022471
FIRE:   35 15:03:15    -1075.428711        0.022080
FIRE:   36 15:03:15    -1075.428955        0.021705
FIRE:   37 15:03:15    -1075.429199        0.021262
FIRE:   38 15:03:15    -1075.429077        0.021244
FIRE:   39 15:03:15    -1075.429199        0.021208
FIRE:   40 15:03:15    -1075.429199        0.021154
FIRE:   41 15:03:15    -1075.429321        0.021083
FIRE:   42 15:03:15    -1075.429443        0.020997
FIRE:   43 15:03:15    -1075.429443        0.020897
FIRE:   44 15:03:15    -1075.429443        0.020785
FIRE:   45 15:03:15    -1075.429565        0.020650
FIRE:   46 15:03:15    -1075.429688        0.020489
FIRE:   47 15:03:15    -1075.429810        0.020301
FIRE:   48 15:03:15    -1075.429932        0.020084
FIRE:   49 15:03:15    -1075.430054        0.019830
FIRE:   50 15:03:15    -1075.430176        0.019528
FIRE:   51 15:03:15    -1075.430298        0.019152
FIRE:   52 15:03:15    -1075.430420        0.018667
FIRE:   53 15:03:15    -1075.430664        0.018033
FIRE:   54 15:03:15    -1075.430908        0.017211
FIRE:   55 15:03:15    -1075.431152        0.016173
FIRE:   56 15:03:15    -1075.431519        0.014917
FIRE:   57 15:03:15    -1075.431885        0.013475
FIRE:   58 15:03:15    -1075.432129        0.011853
FIRE:   59 15:03:16    -1075.432373        0.009969
FIRE:   60 15:03:16    -1075.432739        0.007746
FIRE:   61 15:03:16    -1075.432983        0.005308
FIRE:   62 15:03:16    -1075.433105        0.003150
FIRE:   63 15:03:16    -1075.433105        0.010657
FIRE:   64 15:03:16    -1075.433105        0.006105
FIRE:   65 15:03:16    -1075.433105        0.002419
FIRE:   66 15:03:16    -1075.433228        0.006085
FIRE:   67 15:03:16    -1075.433228        0.005324
FIRE:   68 15:03:16    -1075.433105        0.003892
FIRE:   69 15:03:16    -1075.433228        0.002096
FIRE:   70 15:03:16    -1075.433105        0.001569
FIRE:   71 15:03:16    -1075.433228        0.002176
FIRE:   72 15:03:16    -1075.433228        0.002121
FIRE:   73 15:03:16    -1075.433105        0.002013
FIRE:   74 15:03:16    -1075.433105        0.001854
FIRE:   75 15:03:16    -1075.433105        0.001651
FIRE:   76 15:03:16    -1075.433105        0.001558
FIRE:   77 15:03:16    -1075.433228        0.001556
FIRE:   78 15:03:16    -1075.433228        0.001554
FIRE:   79 15:03:16    -1075.433105        0.001551
FIRE:   80 15:03:16    -1075.433105        0.001547
FIRE:   81 15:03:16    -1075.433228        0.001543
FIRE:   82 15:03:16    -1075.433228        0.001537
FIRE:   83 15:03:16    -1075.433228        0.001530
FIRE:   84 15:03:16    -1075.433105        0.001520
FIRE:   85 15:03:16    -1075.433228        0.001509
FIRE:   86 15:03:16    -1075.433228        0.001494
FIRE:   87 15:03:16    -1075.433105        0.001474
FIRE:   88 15:03:16    -1075.433105        0.001450
FIRE:   89 15:03:16    -1075.433228        0.001418
FIRE:   90 15:03:16    -1075.433105        0.001379
FIRE:   91 15:03:17    -1075.433105        0.001332
FIRE:   92 15:03:17    -1075.433228        0.001274
FIRE:   93 15:03:17    -1075.433105        0.001205
FIRE:   94 15:03:17    -1075.433228        0.001124
FIRE:   95 15:03:17    -1075.433228        0.001030
FIRE:   96 15:03:17    -1075.433228        0.000924
