      Step     Time          Energy          fmax
FIRE:    0 15:02:59    -1072.994751        0.423147
FIRE:    1 15:02:59    -1073.010376        0.387300
FIRE:    2 15:02:59    -1073.036133        0.318870
FIRE:    3 15:02:59    -1073.063354        0.224256
FIRE:    4 15:02:59    -1073.083252        0.112442
FIRE:    5 15:02:59    -1073.090332        0.080075
FIRE:    6 15:02:59    -1073.090576        0.078879
FIRE:    7 15:02:59    -1073.090820        0.076517
FIRE:    8 15:02:59    -1073.091553        0.073039
FIRE:    9 15:02:59    -1073.092285        0.068527
FIRE:   10 15:02:59    -1073.093018        0.063087
FIRE:   11 15:02:59    -1073.093872        0.056858
FIRE:   12 15:02:59    -1073.094727        0.050001
FIRE:   13 15:02:59    -1073.095703        0.041919
FIRE:   14 15:02:59    -1073.096680        0.032707
FIRE:   15 15:02:59    -1073.097656        0.026001
FIRE:   16 15:03:00    -1073.098389        0.028026
FIRE:   17 15:03:00    -1073.099121        0.027425
FIRE:   18 15:03:00    -1073.099854        0.023170
FIRE:   19 15:03:00    -1073.100342        0.014632
FIRE:   20 15:03:00    -1073.100464        0.012027
FIRE:   21 15:03:00    -1073.100342        0.011772
FIRE:   22 15:03:00    -1073.100464        0.011269
FIRE:   23 15:03:00    -1073.100464        0.010617
FIRE:   24 15:03:00    -1073.100464        0.010592
FIRE:   25 15:03:00    -1073.100586        0.010562
FIRE:   26 15:03:00    -1073.100586        0.010527
FIRE:   27 15:03:00    -1073.100586        0.010486
FIRE:   28 15:03:00    -1073.100708        0.010435
FIRE:   29 15:03:00    -1073.100708        0.010373
FIRE:   30 15:03:00    -1073.100708        0.010299
FIRE:   31 15:03:00    -1073.100708        0.010211
FIRE:   32 15:03:00    -1073.100708        0.010109
FIRE:   33 15:03:00    -1073.100830        0.009992
FIRE:   34 15:03:00    -1073.100830        0.009853
FIRE:   35 15:03:00    -1073.100830        0.009683
FIRE:   36 15:03:00    -1073.100830        0.009464
FIRE:   37 15:03:00    -1073.100952        0.009171
FIRE:   38 15:03:00    -1073.101074        0.008780
FIRE:   39 15:03:00    -1073.101074        0.008282
FIRE:   40 15:03:00    -1073.101074        0.007680
FIRE:   41 15:03:00    -1073.101196        0.007004
FIRE:   42 15:03:00    -1073.101318        0.006296
FIRE:   43 15:03:00    -1073.101440        0.005562
FIRE:   44 15:03:00    -1073.101562        0.004701
FIRE:   45 15:03:00    -1073.101562        0.003602
FIRE:   46 15:03:00    -1073.101685        0.003074
FIRE:   47 15:03:00    -1073.101685        0.002458
FIRE:   48 15:03:00    -1073.101807        0.004074
FIRE:   49 15:03:00    -1073.101807        0.002714
FIRE:   50 15:03:01    -1073.101807        0.000939
