      Step     Time          Energy          fmax
FIRE:    0 15:03:22    -1063.259033        0.733947
FIRE:    1 15:03:22    -1063.285400        0.680979
FIRE:    2 15:03:23    -1063.330444        0.580982
FIRE:    3 15:03:23    -1063.381104        0.445612
FIRE:    4 15:03:23    -1063.424072        0.288324
FIRE:    5 15:03:23    -1063.450684        0.132381
FIRE:    6 15:03:23    -1063.461548        0.149061
FIRE:    7 15:03:23    -1063.464600        0.193608
FIRE:    8 15:03:23    -1063.465820        0.188582
FIRE:    9 15:03:23    -1063.468384        0.178650
FIRE:   10 15:03:23    -1063.471802        0.164056
FIRE:   11 15:03:23    -1063.475952        0.145168
FIRE:   12 15:03:23    -1063.480469        0.122490
FIRE:   13 15:03:23    -1063.484985        0.103132
FIRE:   14 15:03:23    -1063.489258        0.083995
FIRE:   15 15:03:23    -1063.493164        0.066366
FIRE:   16 15:03:23    -1063.496338        0.046338
FIRE:   17 15:03:23    -1063.498535        0.068693
FIRE:   18 15:03:23    -1063.499512        0.091293
FIRE:   19 15:03:23    -1063.500244        0.106925
FIRE:   20 15:03:23    -1063.501221        0.112654
FIRE:   21 15:03:23    -1063.502808        0.106162
FIRE:   22 15:03:23    -1063.505127        0.086058
FIRE:   23 15:03:23    -1063.507446        0.052648
FIRE:   24 15:03:23    -1063.508179        0.031874
FIRE:   25 15:03:23    -1063.508179        0.031116
FIRE:   26 15:03:23    -1063.508301        0.029624
FIRE:   27 15:03:23    -1063.508545        0.027437
FIRE:   28 15:03:23    -1063.508789        0.024620
FIRE:   29 15:03:23    -1063.508911        0.021256
FIRE:   30 15:03:23    -1063.509155        0.017447
FIRE:   31 15:03:23    -1063.509277        0.013324
FIRE:   32 15:03:23    -1063.509521        0.012820
FIRE:   33 15:03:23    -1063.509644        0.012681
FIRE:   34 15:03:23    -1063.509644        0.012506
FIRE:   35 15:03:24    -1063.509766        0.012289
FIRE:   36 15:03:24    -1063.509766        0.012019
FIRE:   37 15:03:24    -1063.509766        0.011682
FIRE:   38 15:03:24    -1063.509888        0.011261
FIRE:   39 15:03:24    -1063.510010        0.010736
FIRE:   40 15:03:24    -1063.510010        0.010483
FIRE:   41 15:03:24    -1063.510010        0.011434
FIRE:   42 15:03:24    -1063.510254        0.009425
FIRE:   43 15:03:24    -1063.510376        0.011615
FIRE:   44 15:03:24    -1063.510498        0.011388
FIRE:   45 15:03:24    -1063.510742        0.007394
FIRE:   46 15:03:24    -1063.510742        0.008322
FIRE:   47 15:03:24    -1063.510864        0.009242
FIRE:   48 15:03:24    -1063.510986        0.007348
FIRE:   49 15:03:24    -1063.510986        0.008245
FIRE:   50 15:03:24    -1063.511108        0.005711
FIRE:   51 15:03:24    -1063.511108        0.002899
FIRE:   52 15:03:24    -1063.511230        0.002911
FIRE:   53 15:03:24    -1063.511230        0.005452
FIRE:   54 15:03:24    -1063.511108        0.005035
FIRE:   55 15:03:24    -1063.511230        0.004237
FIRE:   56 15:03:24    -1063.511230        0.003126
FIRE:   57 15:03:24    -1063.511230        0.002397
FIRE:   58 15:03:24    -1063.511108        0.002343
FIRE:   59 15:03:24    -1063.511230        0.002286
FIRE:   60 15:03:24    -1063.511230        0.002229
FIRE:   61 15:03:24    -1063.511230        0.002559
FIRE:   62 15:03:24    -1063.511230        0.002711
FIRE:   63 15:03:24    -1063.511230        0.002303
FIRE:   64 15:03:24    -1063.511230        0.002017
FIRE:   65 15:03:24    -1063.511230        0.001966
FIRE:   66 15:03:24    -1063.511230        0.001903
FIRE:   67 15:03:24    -1063.511230        0.001814
FIRE:   68 15:03:25    -1063.511230        0.001692
FIRE:   69 15:03:25    -1063.511230        0.001541
FIRE:   70 15:03:25    -1063.511230        0.001375
FIRE:   71 15:03:25    -1063.511230        0.001217
FIRE:   72 15:03:25    -1063.511230        0.001073
FIRE:   73 15:03:25    -1063.511230        0.001029
FIRE:   74 15:03:25    -1063.511230        0.000880
