      Step     Time          Energy          fmax
FIRE:    0 15:02:30    -1073.047607        3.038326
FIRE:    1 15:02:30    -1073.362183        2.448538
FIRE:    2 15:02:30    -1073.805786        1.365830
FIRE:    3 15:02:30    -1074.146973        0.988166
FIRE:    4 15:02:30    -1074.291748        0.842821
FIRE:    5 15:02:30    -1074.298828        0.966751
FIRE:    6 15:02:30    -1074.307739        0.921621
FIRE:    7 15:02:30    -1074.323975        0.833832
FIRE:    8 15:02:30    -1074.345337        0.708152
FIRE:    9 15:02:30    -1074.368896        0.550475
FIRE:   10 15:02:30    -1074.391235        0.368899
FIRE:   11 15:02:30    -1074.409790        0.220135
FIRE:   12 15:02:30    -1074.422974        0.193015
FIRE:   13 15:02:30    -1074.431152        0.211513
FIRE:   14 15:02:30    -1074.434082        0.374614
FIRE:   15 15:02:30    -1074.434448        0.369414
FIRE:   16 15:02:30    -1074.435303        0.359090
FIRE:   17 15:02:30    -1074.436279        0.343807
FIRE:   18 15:02:30    -1074.437500        0.323791
FIRE:   19 15:02:30    -1074.439209        0.299377
FIRE:   20 15:02:30    -1074.440918        0.270979
FIRE:   21 15:02:30    -1074.442749        0.239107
FIRE:   22 15:02:30    -1074.444702        0.200569
FIRE:   23 15:02:30    -1074.446899        0.155094
FIRE:   24 15:02:30    -1074.448730        0.103138
FIRE:   25 15:02:30    -1074.450684        0.077208
FIRE:   26 15:02:30    -1074.452393        0.100095
FIRE:   27 15:02:30    -1074.453857        0.118837
FIRE:   28 15:02:30    -1074.455322        0.129640
FIRE:   29 15:02:30    -1074.456787        0.129027
FIRE:   30 15:02:30    -1074.458740        0.119332
FIRE:   31 15:02:30    -1074.460815        0.089522
FIRE:   32 15:02:31    -1074.462402        0.038238
FIRE:   33 15:02:31    -1074.462646        0.036492
FIRE:   34 15:02:31    -1074.462646        0.035041
FIRE:   35 15:02:31    -1074.462769        0.032200
FIRE:   36 15:02:31    -1074.462891        0.028086
FIRE:   37 15:02:31    -1074.462891        0.026875
FIRE:   38 15:02:31    -1074.462891        0.026831
FIRE:   39 15:02:31    -1074.463135        0.026776
FIRE:   40 15:02:31    -1074.463135        0.026710
FIRE:   41 15:02:31    -1074.463257        0.026622
FIRE:   42 15:02:31    -1074.463257        0.026506
FIRE:   43 15:02:31    -1074.463379        0.026357
FIRE:   44 15:02:31    -1074.463623        0.026169
FIRE:   45 15:02:31    -1074.463623        0.025939
FIRE:   46 15:02:31    -1074.463867        0.025666
FIRE:   47 15:02:31    -1074.463989        0.025351
FIRE:   48 15:02:31    -1074.464111        0.024997
FIRE:   49 15:02:31    -1074.464478        0.024609
FIRE:   50 15:02:31    -1074.464722        0.024178
FIRE:   51 15:02:31    -1074.465088        0.023673
FIRE:   52 15:02:31    -1074.465454        0.023020
FIRE:   53 15:02:31    -1074.465820        0.022102
FIRE:   54 15:02:31    -1074.466309        0.020835
FIRE:   55 15:02:31    -1074.467041        0.019224
FIRE:   56 15:02:31    -1074.467529        0.017431
FIRE:   57 15:02:31    -1074.468262        0.015643
FIRE:   58 15:02:31    -1074.468994        0.013709
FIRE:   59 15:02:31    -1074.469482        0.011207
FIRE:   60 15:02:31    -1074.470215        0.008160
FIRE:   61 15:02:31    -1074.470581        0.008498
FIRE:   62 15:02:31    -1074.470703        0.028273
FIRE:   63 15:02:31    -1074.470703        0.011033
FIRE:   64 15:02:31    -1074.470825        0.012312
FIRE:   65 15:02:31    -1074.470825        0.010213
FIRE:   66 15:02:32    -1074.470825        0.006367
FIRE:   67 15:02:32    -1074.470825        0.001870
FIRE:   68 15:02:32    -1074.470825        0.003625
FIRE:   69 15:02:32    -1074.470825        0.003499
FIRE:   70 15:02:32    -1074.470825        0.003252
FIRE:   71 15:02:32    -1074.470825        0.002894
FIRE:   72 15:02:32    -1074.470825        0.002441
FIRE:   73 15:02:32    -1074.470825        0.001918
FIRE:   74 15:02:32    -1074.470825        0.001344
FIRE:   75 15:02:32    -1074.470825        0.001216
FIRE:   76 15:02:32    -1074.470825        0.001214
FIRE:   77 15:02:32    -1074.470825        0.001211
FIRE:   78 15:02:32    -1074.470947        0.001207
FIRE:   79 15:02:32    -1074.470703        0.001199
FIRE:   80 15:02:32    -1074.470947        0.001190
FIRE:   81 15:02:32    -1074.470947        0.001173
FIRE:   82 15:02:32    -1074.470825        0.001154
FIRE:   83 15:02:32    -1074.470825        0.001129
FIRE:   84 15:02:32    -1074.470825        0.001101
FIRE:   85 15:02:32    -1074.470825        0.001071
FIRE:   86 15:02:32    -1074.470825        0.001038
FIRE:   87 15:02:32    -1074.470825        0.001002
FIRE:   88 15:02:32    -1074.470825        0.001272
FIRE:   89 15:02:32    -1074.470947        0.001017
FIRE:   90 15:02:32    -1074.470947        0.000837
