      Step     Time          Energy          fmax
FIRE:    0 15:02:24    -1072.184814        0.929188
FIRE:    1 15:02:24    -1072.261597        0.828276
FIRE:    2 15:02:24    -1072.381592        0.643973
FIRE:    3 15:02:24    -1072.495605        0.400565
FIRE:    4 15:02:24    -1072.561035        0.141420
FIRE:    5 15:02:24    -1072.567505        0.151133
FIRE:    6 15:02:24    -1072.568481        0.148392
FIRE:    7 15:02:24    -1072.570312        0.142976
FIRE:    8 15:02:24    -1072.572998        0.135014
FIRE:    9 15:02:24    -1072.576172        0.124701
FIRE:   10 15:02:24    -1072.579590        0.112282
FIRE:   11 15:02:24    -1072.583008        0.098060
FIRE:   12 15:02:24    -1072.586182        0.082390
FIRE:   13 15:02:24    -1072.589111        0.063889
FIRE:   14 15:02:24    -1072.591553        0.042801
FIRE:   15 15:02:24    -1072.593018        0.040421
FIRE:   16 15:02:24    -1072.593506        0.055833
FIRE:   17 15:02:24    -1072.593506        0.055218
FIRE:   18 15:02:25    -1072.593506        0.053998
FIRE:   19 15:02:25    -1072.593750        0.052188
FIRE:   20 15:02:25    -1072.593994        0.049816
FIRE:   21 15:02:25    -1072.594238        0.046913
FIRE:   22 15:02:25    -1072.594360        0.043524
FIRE:   23 15:02:25    -1072.594727        0.039698
FIRE:   24 15:02:25    -1072.594971        0.035030
FIRE:   25 15:02:25    -1072.595215        0.029446
FIRE:   26 15:02:25    -1072.595703        0.022921
FIRE:   27 15:02:25    -1072.595947        0.018393
FIRE:   28 15:02:25    -1072.596191        0.017916
FIRE:   29 15:02:25    -1072.596436        0.017747
FIRE:   30 15:02:25    -1072.596558        0.018371
FIRE:   31 15:02:25    -1072.596802        0.017449
FIRE:   32 15:02:25    -1072.596924        0.017176
FIRE:   33 15:02:25    -1072.597168        0.017829
FIRE:   34 15:02:25    -1072.597412        0.015460
FIRE:   35 15:02:25    -1072.597412        0.015312
FIRE:   36 15:02:25    -1072.597412        0.015157
FIRE:   37 15:02:25    -1072.597412        0.015142
FIRE:   38 15:02:25    -1072.597412        0.015112
FIRE:   39 15:02:25    -1072.597534        0.015070
FIRE:   40 15:02:25    -1072.597534        0.015014
FIRE:   41 15:02:25    -1072.597534        0.014947
FIRE:   42 15:02:25    -1072.597656        0.014871
FIRE:   43 15:02:25    -1072.597656        0.014787
FIRE:   44 15:02:25    -1072.597656        0.014687
FIRE:   45 15:02:25    -1072.597778        0.014573
FIRE:   46 15:02:25    -1072.597900        0.014443
FIRE:   47 15:02:25    -1072.597900        0.014300
FIRE:   48 15:02:25    -1072.597900        0.014138
FIRE:   49 15:02:25    -1072.598145        0.013949
FIRE:   50 15:02:25    -1072.598145        0.013711
FIRE:   51 15:02:25    -1072.598267        0.013393
FIRE:   52 15:02:26    -1072.598389        0.012954
FIRE:   53 15:02:26    -1072.598633        0.012359
FIRE:   54 15:02:26    -1072.598633        0.011584
FIRE:   55 15:02:26    -1072.598877        0.010629
FIRE:   56 15:02:26    -1072.599121        0.009534
FIRE:   57 15:02:26    -1072.599365        0.008348
FIRE:   58 15:02:26    -1072.599609        0.007033
FIRE:   59 15:02:26    -1072.599609        0.005479
FIRE:   60 15:02:26    -1072.599854        0.003699
FIRE:   61 15:02:26    -1072.599976        0.001929
FIRE:   62 15:02:26    -1072.599854        0.003391
FIRE:   63 15:02:26    -1072.599976        0.002459
FIRE:   64 15:02:26    -1072.599976        0.001605
FIRE:   65 15:02:26    -1072.599976        0.001843
FIRE:   66 15:02:26    -1072.599976        0.001441
FIRE:   67 15:02:26    -1072.599976        0.001296
FIRE:   68 15:02:26    -1072.599976        0.001189
FIRE:   69 15:02:26    -1072.600098        0.000985
