      Step     Time          Energy          fmax
FIRE:    0 15:02:46    -1062.379883        1.004218
FIRE:    1 15:02:46    -1062.466553        0.890847
FIRE:    2 15:02:46    -1062.603271        0.684942
FIRE:    3 15:02:46    -1062.736084        0.424213
FIRE:    4 15:02:46    -1062.818359        0.189980
FIRE:    5 15:02:46    -1062.838623        0.197881
FIRE:    6 15:02:46    -1062.840088        0.194288
FIRE:    7 15:02:46    -1062.843018        0.187190
FIRE:    8 15:02:46    -1062.847290        0.176769
FIRE:    9 15:02:46    -1062.852295        0.163319
FIRE:   10 15:02:46    -1062.858032        0.147272
FIRE:   11 15:02:46    -1062.863892        0.129245
FIRE:   12 15:02:46    -1062.869751        0.110119
FIRE:   13 15:02:46    -1062.875610        0.089956
FIRE:   14 15:02:46    -1062.881226        0.080016
FIRE:   15 15:02:46    -1062.886353        0.070262
FIRE:   16 15:02:46    -1062.890625        0.076513
FIRE:   17 15:02:46    -1062.894287        0.083035
FIRE:   18 15:02:46    -1062.897949        0.079313
FIRE:   19 15:02:46    -1062.901611        0.073324
FIRE:   20 15:02:46    -1062.904541        0.057822
FIRE:   21 15:02:47    -1062.905762        0.032636
FIRE:   22 15:02:47    -1062.905884        0.031972
FIRE:   23 15:02:47    -1062.906006        0.030663
FIRE:   24 15:02:47    -1062.906250        0.028745
FIRE:   25 15:02:47    -1062.906494        0.026740
FIRE:   26 15:02:47    -1062.906738        0.024513
FIRE:   27 15:02:47    -1062.906982        0.021949
FIRE:   28 15:02:47    -1062.907349        0.019107
FIRE:   29 15:02:47    -1062.907715        0.015720
FIRE:   30 15:02:47    -1062.907959        0.012146
FIRE:   31 15:02:47    -1062.908081        0.010950
FIRE:   32 15:02:47    -1062.908203        0.009359
FIRE:   33 15:02:47    -1062.908203        0.007625
FIRE:   34 15:02:47    -1062.908203        0.007505
FIRE:   35 15:02:47    -1062.908203        0.007268
FIRE:   36 15:02:47    -1062.908325        0.006920
FIRE:   37 15:02:47    -1062.908203        0.006478
FIRE:   38 15:02:47    -1062.908203        0.005977
FIRE:   39 15:02:47    -1062.908325        0.005398
FIRE:   40 15:02:47    -1062.908325        0.004750
FIRE:   41 15:02:47    -1062.908325        0.004164
FIRE:   42 15:02:47    -1062.908447        0.004139
FIRE:   43 15:02:47    -1062.908447        0.004112
FIRE:   44 15:02:47    -1062.908447        0.004084
FIRE:   45 15:02:47    -1062.908447        0.004056
FIRE:   46 15:02:47    -1062.908447        0.004031
FIRE:   47 15:02:47    -1062.908447        0.004010
FIRE:   48 15:02:47    -1062.908447        0.003990
FIRE:   49 15:02:47    -1062.908447        0.003967
FIRE:   50 15:02:47    -1062.908447        0.003933
FIRE:   51 15:02:47    -1062.908447        0.003875
FIRE:   52 15:02:47    -1062.908447        0.003776
FIRE:   53 15:02:47    -1062.908569        0.003623
FIRE:   54 15:02:48    -1062.908447        0.003416
FIRE:   55 15:02:48    -1062.908447        0.003177
FIRE:   56 15:02:48    -1062.908569        0.003154
FIRE:   57 15:02:48    -1062.908447        0.002756
FIRE:   58 15:02:48    -1062.908569        0.002588
FIRE:   59 15:02:48    -1062.908569        0.002510
FIRE:   60 15:02:48    -1062.908447        0.002332
FIRE:   61 15:02:48    -1062.908569        0.002289
FIRE:   62 15:02:48    -1062.908569        0.002232
FIRE:   63 15:02:48    -1062.908691        0.002167
FIRE:   64 15:02:48    -1062.908691        0.002106
FIRE:   65 15:02:48    -1062.908691        0.002054
FIRE:   66 15:02:48    -1062.908691        0.002014
FIRE:   67 15:02:48    -1062.908569        0.001980
FIRE:   68 15:02:48    -1062.908691        0.001944
FIRE:   69 15:02:48    -1062.908691        0.001893
FIRE:   70 15:02:48    -1062.908691        0.001811
FIRE:   71 15:02:48    -1062.908691        0.001697
FIRE:   72 15:02:48    -1062.908691        0.001567
FIRE:   73 15:02:48    -1062.908691        0.001440
FIRE:   74 15:02:48    -1062.908569        0.001306
FIRE:   75 15:02:48    -1062.908569        0.001132
FIRE:   76 15:02:48    -1062.908691        0.001017
FIRE:   77 15:02:48    -1062.908691        0.001139
FIRE:   78 15:02:48    -1062.908691        0.001262
FIRE:   79 15:02:48    -1062.908691        0.001450
FIRE:   80 15:02:48    -1062.908691        0.001465
FIRE:   81 15:02:48    -1062.908691        0.001485
FIRE:   82 15:02:48    -1062.908691        0.001504
FIRE:   83 15:02:48    -1062.908691        0.001499
FIRE:   84 15:02:48    -1062.908569        0.001488
FIRE:   85 15:02:48    -1062.908691        0.001475
FIRE:   86 15:02:48    -1062.908691        0.001460
FIRE:   87 15:02:49    -1062.908691        0.001447
FIRE:   88 15:02:49    -1062.908691        0.001436
FIRE:   89 15:02:49    -1062.908691        0.001429
FIRE:   90 15:02:49    -1062.908691        0.001423
FIRE:   91 15:02:49    -1062.908691        0.001415
FIRE:   92 15:02:49    -1062.908691        0.001401
FIRE:   93 15:02:49    -1062.908691        0.001375
FIRE:   94 15:02:49    -1062.908691        0.001335
FIRE:   95 15:02:49    -1062.908691        0.001287
FIRE:   96 15:02:49    -1062.908691        0.001242
FIRE:   97 15:02:49    -1062.908691        0.001201
FIRE:   98 15:02:49    -1062.908691        0.001143
FIRE:   99 15:02:49    -1062.908691        0.001061
FIRE:  100 15:02:49    -1062.908691        0.000983
