      Step     Time          Energy          fmax
FIRE:    0 14:51:27    -1066.182373        0.114888
FIRE:    1 14:51:27    -1066.186035        0.101362
FIRE:    2 14:51:27    -1066.191895        0.081613
FIRE:    3 14:51:27    -1066.197876        0.059413
FIRE:    4 14:51:27    -1066.202393        0.049534
FIRE:    5 14:51:27    -1066.204712        0.076033
FIRE:    6 14:51:27    -1066.205811        0.086880
FIRE:    7 14:51:27    -1066.206787        0.080344
FIRE:    8 14:51:27    -1066.208130        0.059790
FIRE:    9 14:51:28    -1066.209717        0.040948
FIRE:   10 14:51:28    -1066.209473        0.032893
FIRE:   11 14:51:28    -1066.209595        0.031695
FIRE:   12 14:51:28    -1066.209717        0.029364
FIRE:   13 14:51:28    -1066.209961        0.026031
FIRE:   14 14:51:28    -1066.210205        0.021896
FIRE:   15 14:51:28    -1066.210571        0.017225
FIRE:   16 14:51:28    -1066.210693        0.012351
FIRE:   17 14:51:28    -1066.210938        0.013804
FIRE:   18 14:51:28    -1066.211182        0.018037
FIRE:   19 14:51:28    -1066.211304        0.019492
FIRE:   20 14:51:28    -1066.211426        0.016789
FIRE:   21 14:51:28    -1066.211426        0.009451
FIRE:   22 14:51:28    -1066.211426        0.007402
FIRE:   23 14:51:28    -1066.211426        0.007399
FIRE:   24 14:51:28    -1066.211426        0.007392
FIRE:   25 14:51:28    -1066.211426        0.007381
FIRE:   26 14:51:28    -1066.211426        0.007367
FIRE:   27 14:51:28    -1066.211426        0.007349
FIRE:   28 14:51:28    -1066.211670        0.007326
FIRE:   29 14:51:28    -1066.211548        0.007299
FIRE:   30 14:51:28    -1066.211670        0.007263
FIRE:   31 14:51:28    -1066.211670        0.007215
FIRE:   32 14:51:28    -1066.211548        0.007150
FIRE:   33 14:51:28    -1066.211548        0.007065
FIRE:   34 14:51:28    -1066.211670        0.006955
FIRE:   35 14:51:28    -1066.211670        0.006821
FIRE:   36 14:51:28    -1066.211670        0.006665
FIRE:   37 14:51:28    -1066.211670        0.006487
FIRE:   38 14:51:28    -1066.211670        0.006285
FIRE:   39 14:51:28    -1066.211670        0.006057
FIRE:   40 14:51:28    -1066.211792        0.005799
FIRE:   41 14:51:28    -1066.211670        0.005504
FIRE:   42 14:51:29    -1066.211792        0.005164
FIRE:   43 14:51:29    -1066.211792        0.004771
FIRE:   44 14:51:29    -1066.211914        0.004307
FIRE:   45 14:51:29    -1066.211914        0.003749
FIRE:   46 14:51:29    -1066.211914        0.003080
FIRE:   47 14:51:29    -1066.212036        0.002323
FIRE:   48 14:51:29    -1066.212036        0.001584
FIRE:   49 14:51:29    -1066.212036        0.001116
FIRE:   50 14:51:29    -1066.212036        0.000923
      Step     Time          Energy          fmax
FIRE:    0 15:00:50    -1066.182373        0.114888
FIRE:    1 15:00:50    -1066.186035        0.101362
FIRE:    2 15:00:50    -1066.191895        0.081613
FIRE:    3 15:00:50    -1066.197754        0.059413
FIRE:    4 15:00:50    -1066.202393        0.049534
FIRE:    5 15:00:50    -1066.204712        0.076033
FIRE:    6 15:00:50    -1066.205811        0.086880
FIRE:    7 15:00:50    -1066.206787        0.080345
FIRE:    8 15:00:50    -1066.208130        0.059790
FIRE:    9 15:00:50    -1066.209717        0.040947
FIRE:   10 15:00:50    -1066.209473        0.032893
FIRE:   11 15:00:50    -1066.209595        0.031695
FIRE:   12 15:00:50    -1066.209717        0.029364
FIRE:   13 15:00:51    -1066.209961        0.026031
FIRE:   14 15:00:51    -1066.210205        0.021896
FIRE:   15 15:00:51    -1066.210571        0.017226
FIRE:   16 15:00:51    -1066.210693        0.012351
FIRE:   17 15:00:51    -1066.210938        0.013804
FIRE:   18 15:00:51    -1066.211182        0.018038
FIRE:   19 15:00:51    -1066.211304        0.019494
FIRE:   20 15:00:51    -1066.211426        0.016789
FIRE:   21 15:00:51    -1066.211426        0.009451
FIRE:   22 15:00:51    -1066.211426        0.007402
FIRE:   23 15:00:51    -1066.211426        0.007399
FIRE:   24 15:00:51    -1066.211426        0.007392
FIRE:   25 15:00:51    -1066.211426        0.007381
FIRE:   26 15:00:51    -1066.211426        0.007367
FIRE:   27 15:00:51    -1066.211426        0.007349
FIRE:   28 15:00:51    -1066.211670        0.007326
FIRE:   29 15:00:51    -1066.211548        0.007299
FIRE:   30 15:00:51    -1066.211670        0.007263
FIRE:   31 15:00:51    -1066.211670        0.007215
FIRE:   32 15:00:51    -1066.211548        0.007150
FIRE:   33 15:00:51    -1066.211670        0.007064
FIRE:   34 15:00:51    -1066.211670        0.006955
FIRE:   35 15:00:51    -1066.211670        0.006821
FIRE:   36 15:00:51    -1066.211670        0.006665
FIRE:   37 15:00:51    -1066.211670        0.006487
FIRE:   38 15:00:51    -1066.211670        0.006285
FIRE:   39 15:00:51    -1066.211670        0.006057
FIRE:   40 15:00:51    -1066.211792        0.005799
FIRE:   41 15:00:51    -1066.211670        0.005504
FIRE:   42 15:00:51    -1066.211792        0.005164
FIRE:   43 15:00:51    -1066.211792        0.004771
FIRE:   44 15:00:51    -1066.211914        0.004307
FIRE:   45 15:00:51    -1066.211914        0.003749
FIRE:   46 15:00:52    -1066.211914        0.003080
FIRE:   47 15:00:52    -1066.212036        0.002323
FIRE:   48 15:00:52    -1066.212036        0.001584
FIRE:   49 15:00:52    -1066.212036        0.001117
FIRE:   50 15:00:52    -1066.212036        0.000923
