      Step     Time          Energy          fmax
FIRE:    0 14:51:05    -1068.474121        0.108651
FIRE:    1 14:51:05    -1068.476074        0.100461
FIRE:    2 14:51:05    -1068.479492        0.084884
FIRE:    3 14:51:05    -1068.483154        0.063488
FIRE:    4 14:51:05    -1068.485840        0.038618
FIRE:    5 14:51:05    -1068.487183        0.046172
FIRE:    6 14:51:05    -1068.487549        0.063577
FIRE:    7 14:51:05    -1068.487793        0.061871
FIRE:    8 14:51:05    -1068.487915        0.058515
FIRE:    9 14:51:06    -1068.488281        0.053621
FIRE:   10 14:51:06    -1068.488525        0.047346
FIRE:   11 14:51:06    -1068.489014        0.039905
FIRE:   12 14:51:06    -1068.489380        0.031557
FIRE:   13 14:51:06    -1068.489502        0.022620
FIRE:   14 14:51:06    -1068.489868        0.012522
FIRE:   15 14:51:06    -1068.489990        0.015383
FIRE:   16 14:51:06    -1068.490112        0.017728
FIRE:   17 14:51:06    -1068.490234        0.018635
FIRE:   18 14:51:06    -1068.490112        0.018427
FIRE:   19 14:51:06    -1068.490234        0.018014
FIRE:   20 14:51:06    -1068.490234        0.017403
FIRE:   21 14:51:06    -1068.490234        0.016603
FIRE:   22 14:51:06    -1068.490356        0.015624
FIRE:   23 14:51:06    -1068.490234        0.014482
FIRE:   24 14:51:06    -1068.490479        0.013195
FIRE:   25 14:51:06    -1068.490356        0.011629
FIRE:   26 14:51:06    -1068.490479        0.009759
FIRE:   27 14:51:06    -1068.490479        0.007586
FIRE:   28 14:51:06    -1068.490479        0.005160
FIRE:   29 14:51:06    -1068.490601        0.006411
FIRE:   30 14:51:06    -1068.490601        0.008974
FIRE:   31 14:51:06    -1068.490601        0.010582
FIRE:   32 14:51:06    -1068.490479        0.010921
FIRE:   33 14:51:06    -1068.490601        0.009741
FIRE:   34 14:51:06    -1068.490723        0.006890
FIRE:   35 14:51:06    -1068.490723        0.003380
FIRE:   36 14:51:06    -1068.490723        0.003246
FIRE:   37 14:51:06    -1068.490601        0.003245
FIRE:   38 14:51:06    -1068.490601        0.003244
FIRE:   39 14:51:06    -1068.490723        0.003241
FIRE:   40 14:51:06    -1068.490723        0.003237
FIRE:   41 14:51:06    -1068.490723        0.003232
FIRE:   42 14:51:07    -1068.490723        0.003226
FIRE:   43 14:51:07    -1068.490723        0.003218
FIRE:   44 14:51:07    -1068.490723        0.003208
FIRE:   45 14:51:07    -1068.490723        0.003194
FIRE:   46 14:51:07    -1068.490601        0.003175
FIRE:   47 14:51:07    -1068.490723        0.003150
FIRE:   48 14:51:07    -1068.490723        0.003116
FIRE:   49 14:51:07    -1068.490723        0.003070
FIRE:   50 14:51:07    -1068.490723        0.003009
FIRE:   51 14:51:07    -1068.490723        0.002931
FIRE:   52 14:51:07    -1068.490723        0.002834
FIRE:   53 14:51:07    -1068.490723        0.002719
FIRE:   54 14:51:07    -1068.490723        0.002581
FIRE:   55 14:51:07    -1068.490723        0.002417
FIRE:   56 14:51:07    -1068.490723        0.002220
FIRE:   57 14:51:07    -1068.490723        0.001985
FIRE:   58 14:51:07    -1068.490723        0.001705
FIRE:   59 14:51:07    -1068.490723        0.001394
FIRE:   60 14:51:07    -1068.490845        0.001072
FIRE:   61 14:51:07    -1068.490845        0.000756
      Step     Time          Energy          fmax
FIRE:    0 15:00:28    -1068.474121        0.108651
FIRE:    1 15:00:28    -1068.476074        0.100461
FIRE:    2 15:00:28    -1068.479492        0.084884
FIRE:    3 15:00:28    -1068.483154        0.063488
FIRE:    4 15:00:28    -1068.485840        0.038618
FIRE:    5 15:00:28    -1068.487183        0.046172
FIRE:    6 15:00:28    -1068.487549        0.063577
FIRE:    7 15:00:28    -1068.487793        0.061871
FIRE:    8 15:00:28    -1068.487915        0.058515
FIRE:    9 15:00:28    -1068.488281        0.053621
FIRE:   10 15:00:28    -1068.488525        0.047346
FIRE:   11 15:00:28    -1068.489014        0.039905
FIRE:   12 15:00:28    -1068.489258        0.031557
FIRE:   13 15:00:28    -1068.489624        0.022620
FIRE:   14 15:00:28    -1068.489868        0.012523
FIRE:   15 15:00:28    -1068.489990        0.015383
FIRE:   16 15:00:28    -1068.490112        0.017727
FIRE:   17 15:00:28    -1068.490234        0.018635
FIRE:   18 15:00:28    -1068.489990        0.018427
FIRE:   19 15:00:28    -1068.490234        0.018014
FIRE:   20 15:00:28    -1068.490234        0.017404
FIRE:   21 15:00:28    -1068.490234        0.016603
FIRE:   22 15:00:28    -1068.490234        0.015624
FIRE:   23 15:00:28    -1068.490234        0.014483
FIRE:   24 15:00:28    -1068.490479        0.013196
FIRE:   25 15:00:28    -1068.490356        0.011628
FIRE:   26 15:00:28    -1068.490479        0.009758
FIRE:   27 15:00:28    -1068.490479        0.007586
FIRE:   28 15:00:28    -1068.490479        0.005159
FIRE:   29 15:00:29    -1068.490601        0.006411
FIRE:   30 15:00:29    -1068.490601        0.008973
FIRE:   31 15:00:29    -1068.490601        0.010583
FIRE:   32 15:00:29    -1068.490479        0.010921
FIRE:   33 15:00:29    -1068.490601        0.009741
FIRE:   34 15:00:29    -1068.490723        0.006891
FIRE:   35 15:00:29    -1068.490723        0.003380
FIRE:   36 15:00:29    -1068.490723        0.003246
FIRE:   37 15:00:29    -1068.490601        0.003245
FIRE:   38 15:00:29    -1068.490723        0.003244
FIRE:   39 15:00:29    -1068.490723        0.003241
FIRE:   40 15:00:29    -1068.490723        0.003237
FIRE:   41 15:00:29    -1068.490723        0.003232
FIRE:   42 15:00:29    -1068.490723        0.003226
FIRE:   43 15:00:29    -1068.490723        0.003218
FIRE:   44 15:00:29    -1068.490723        0.003209
FIRE:   45 15:00:29    -1068.490723        0.003194
FIRE:   46 15:00:29    -1068.490601        0.003175
FIRE:   47 15:00:29    -1068.490723        0.003150
FIRE:   48 15:00:29    -1068.490723        0.003116
FIRE:   49 15:00:29    -1068.490723        0.003070
FIRE:   50 15:00:29    -1068.490723        0.003009
FIRE:   51 15:00:29    -1068.490723        0.002931
FIRE:   52 15:00:29    -1068.490723        0.002834
FIRE:   53 15:00:29    -1068.490723        0.002719
FIRE:   54 15:00:29    -1068.490723        0.002581
FIRE:   55 15:00:29    -1068.490723        0.002416
FIRE:   56 15:00:29    -1068.490723        0.002220
FIRE:   57 15:00:29    -1068.490723        0.001985
FIRE:   58 15:00:29    -1068.490723        0.001705
FIRE:   59 15:00:29    -1068.490723        0.001394
FIRE:   60 15:00:29    -1068.490845        0.001073
FIRE:   61 15:00:29    -1068.490723        0.000756
