      Step     Time          Energy          fmax
FIRE:    0 14:51:21    -1058.702393        0.299075
FIRE:    1 14:51:21    -1058.711182        0.284705
FIRE:    2 14:51:21    -1058.726807        0.256756
FIRE:    3 14:51:21    -1058.745850        0.216870
FIRE:    4 14:51:21    -1058.764648        0.171055
FIRE:    5 14:51:21    -1058.780762        0.121751
FIRE:    6 14:51:21    -1058.792969        0.090434
FIRE:    7 14:51:22    -1058.802002        0.088553
FIRE:    8 14:51:22    -1058.808838        0.090330
FIRE:    9 14:51:22    -1058.813599        0.078012
FIRE:   10 14:51:22    -1058.814941        0.069169
FIRE:   11 14:51:22    -1058.815308        0.067266
FIRE:   12 14:51:22    -1058.816040        0.063519
FIRE:   13 14:51:22    -1058.817017        0.058041
FIRE:   14 14:51:22    -1058.818115        0.051084
FIRE:   15 14:51:22    -1058.819336        0.043038
FIRE:   16 14:51:22    -1058.820435        0.033930
FIRE:   17 14:51:22    -1058.821533        0.024067
FIRE:   18 14:51:22    -1058.822266        0.018942
FIRE:   19 14:51:22    -1058.822754        0.014886
FIRE:   20 14:51:22    -1058.822998        0.014425
FIRE:   21 14:51:22    -1058.822998        0.014312
FIRE:   22 14:51:22    -1058.822998        0.014311
FIRE:   23 14:51:22    -1058.823120        0.014308
FIRE:   24 14:51:22    -1058.823242        0.014304
FIRE:   25 14:51:22    -1058.823242        0.014298
FIRE:   26 14:51:22    -1058.823242        0.014290
FIRE:   27 14:51:22    -1058.823242        0.014280
FIRE:   28 14:51:22    -1058.823242        0.014265
FIRE:   29 14:51:22    -1058.823364        0.014241
FIRE:   30 14:51:22    -1058.823364        0.014207
FIRE:   31 14:51:22    -1058.823486        0.014155
FIRE:   32 14:51:22    -1058.823486        0.014079
FIRE:   33 14:51:22    -1058.823486        0.013971
FIRE:   34 14:51:22    -1058.823608        0.013823
FIRE:   35 14:51:22    -1058.823730        0.013626
FIRE:   36 14:51:22    -1058.823730        0.013373
FIRE:   37 14:51:22    -1058.823730        0.013058
FIRE:   38 14:51:22    -1058.823975        0.012676
FIRE:   39 14:51:22    -1058.823975        0.012227
FIRE:   40 14:51:23    -1058.823975        0.011715
FIRE:   41 14:51:23    -1058.824219        0.011140
FIRE:   42 14:51:23    -1058.824341        0.010491
FIRE:   43 14:51:23    -1058.824585        0.009740
FIRE:   44 14:51:23    -1058.824707        0.008832
FIRE:   45 14:51:23    -1058.824951        0.007712
FIRE:   46 14:51:23    -1058.824951        0.006379
FIRE:   47 14:51:23    -1058.825195        0.004850
FIRE:   48 14:51:23    -1058.825317        0.003152
FIRE:   49 14:51:23    -1058.825439        0.003020
FIRE:   50 14:51:23    -1058.825439        0.004223
FIRE:   51 14:51:23    -1058.825439        0.002618
FIRE:   52 14:51:23    -1058.825439        0.001547
FIRE:   53 14:51:23    -1058.825439        0.003200
FIRE:   54 14:51:23    -1058.825439        0.002806
FIRE:   55 14:51:23    -1058.825439        0.002074
FIRE:   56 14:51:23    -1058.825439        0.001113
FIRE:   57 14:51:23    -1058.825439        0.000638
      Step     Time          Energy          fmax
FIRE:    0 15:00:44    -1058.702393        0.299075
FIRE:    1 15:00:44    -1058.711182        0.284705
FIRE:    2 15:00:44    -1058.726807        0.256756
FIRE:    3 15:00:44    -1058.745850        0.216870
FIRE:    4 15:00:44    -1058.764648        0.171056
FIRE:    5 15:00:44    -1058.780762        0.121751
FIRE:    6 15:00:44    -1058.792969        0.090434
FIRE:    7 15:00:44    -1058.802002        0.088553
FIRE:    8 15:00:44    -1058.808838        0.090331
FIRE:    9 15:00:44    -1058.813599        0.078012
FIRE:   10 15:00:44    -1058.814941        0.069169
FIRE:   11 15:00:44    -1058.815308        0.067267
FIRE:   12 15:00:44    -1058.816040        0.063519
FIRE:   13 15:00:44    -1058.817017        0.058042
FIRE:   14 15:00:44    -1058.818115        0.051084
FIRE:   15 15:00:44    -1058.819336        0.043038
FIRE:   16 15:00:44    -1058.820435        0.033930
FIRE:   17 15:00:45    -1058.821533        0.024067
FIRE:   18 15:00:45    -1058.822266        0.018942
FIRE:   19 15:00:45    -1058.822754        0.014886
FIRE:   20 15:00:45    -1058.822998        0.014425
FIRE:   21 15:00:45    -1058.822998        0.014312
FIRE:   22 15:00:45    -1058.822998        0.014311
FIRE:   23 15:00:45    -1058.823120        0.014308
FIRE:   24 15:00:45    -1058.823242        0.014304
FIRE:   25 15:00:45    -1058.823242        0.014298
FIRE:   26 15:00:45    -1058.823242        0.014290
FIRE:   27 15:00:45    -1058.823242        0.014280
FIRE:   28 15:00:45    -1058.823242        0.014265
FIRE:   29 15:00:45    -1058.823364        0.014241
FIRE:   30 15:00:45    -1058.823364        0.014207
FIRE:   31 15:00:45    -1058.823486        0.014155
FIRE:   32 15:00:45    -1058.823486        0.014079
FIRE:   33 15:00:45    -1058.823486        0.013971
FIRE:   34 15:00:45    -1058.823608        0.013823
FIRE:   35 15:00:45    -1058.823730        0.013626
FIRE:   36 15:00:45    -1058.823730        0.013373
FIRE:   37 15:00:45    -1058.823853        0.013058
FIRE:   38 15:00:45    -1058.823975        0.012676
FIRE:   39 15:00:45    -1058.823975        0.012227
FIRE:   40 15:00:45    -1058.823975        0.011715
FIRE:   41 15:00:45    -1058.824219        0.011140
FIRE:   42 15:00:45    -1058.824341        0.010491
FIRE:   43 15:00:45    -1058.824585        0.009740
FIRE:   44 15:00:45    -1058.824707        0.008832
FIRE:   45 15:00:45    -1058.824951        0.007712
FIRE:   46 15:00:45    -1058.824951        0.006379
FIRE:   47 15:00:45    -1058.825195        0.004850
FIRE:   48 15:00:45    -1058.825439        0.003152
FIRE:   49 15:00:45    -1058.825317        0.003019
FIRE:   50 15:00:46    -1058.825439        0.004231
FIRE:   51 15:00:46    -1058.825439        0.002618
FIRE:   52 15:00:46    -1058.825439        0.001549
FIRE:   53 15:00:46    -1058.825439        0.003205
FIRE:   54 15:00:46    -1058.825439        0.002810
FIRE:   55 15:00:46    -1058.825439        0.002077
FIRE:   56 15:00:46    -1058.825439        0.001114
FIRE:   57 15:00:46    -1058.825439        0.000638
