      Step     Time          Energy          fmax
FIRE:    0 15:09:25    -1073.439819        0.218911
FIRE:    1 15:09:25    -1073.444580        0.212102
FIRE:    2 15:09:25    -1073.453369        0.198823
FIRE:    3 15:09:25    -1073.464478        0.179689
FIRE:    4 15:09:25    -1073.476440        0.155536
FIRE:    5 15:09:25    -1073.487671        0.127329
FIRE:    6 15:09:25    -1073.497314        0.096136
FIRE:    7 15:09:25    -1073.504395        0.063204
FIRE:    8 15:09:25    -1073.509888        0.052604
FIRE:    9 15:09:25    -1073.512695        0.049619
FIRE:   10 15:09:26    -1073.512329        0.047650
FIRE:   11 15:09:26    -1073.512451        0.046947
FIRE:   12 15:09:26    -1073.512695        0.046348
FIRE:   13 15:09:26    -1073.513062        0.046342
FIRE:   14 15:09:26    -1073.513550        0.046330
FIRE:   15 15:09:26    -1073.514160        0.046308
FIRE:   16 15:09:26    -1073.514648        0.046273
FIRE:   17 15:09:26    -1073.515259        0.046217
FIRE:   18 15:09:26    -1073.515869        0.046124
FIRE:   19 15:09:26    -1073.516724        0.045975
FIRE:   20 15:09:26    -1073.517334        0.045739
FIRE:   21 15:09:26    -1073.518066        0.045375
FIRE:   22 15:09:26    -1073.518921        0.044832
FIRE:   23 15:09:26    -1073.519775        0.044052
FIRE:   24 15:09:26    -1073.520630        0.042978
FIRE:   25 15:09:26    -1073.521484        0.041552
FIRE:   26 15:09:26    -1073.522827        0.039715
FIRE:   27 15:09:26    -1073.524414        0.037409
FIRE:   28 15:09:26    -1073.526123        0.034570
FIRE:   29 15:09:26    -1073.528198        0.031134
FIRE:   30 15:09:26    -1073.530151        0.027046
FIRE:   31 15:09:26    -1073.531982        0.022303
FIRE:   32 15:09:26    -1073.533447        0.017053
FIRE:   33 15:09:26    -1073.535034        0.011481
FIRE:   34 15:09:26    -1073.536133        0.005670
FIRE:   35 15:09:26    -1073.536377        0.005182
FIRE:   36 15:09:26    -1073.536377        0.004566
FIRE:   37 15:09:26    -1073.536377        0.003414
FIRE:   38 15:09:26    -1073.536499        0.002364
FIRE:   39 15:09:26    -1073.536377        0.002005
FIRE:   40 15:09:26    -1073.536499        0.002171
FIRE:   41 15:09:26    -1073.536499        0.002066
FIRE:   42 15:09:26    -1073.536499        0.001863
FIRE:   43 15:09:27    -1073.536499        0.001571
FIRE:   44 15:09:27    -1073.536621        0.001205
FIRE:   45 15:09:27    -1073.536621        0.000783
