      Step     Time          Energy          fmax
FIRE:    0 15:10:11    -1063.692749        0.378071
FIRE:    1 15:10:11    -1063.707520        0.350600
FIRE:    2 15:10:11    -1063.734131        0.299583
FIRE:    3 15:10:11    -1063.767334        0.238732
FIRE:    4 15:10:11    -1063.801880        0.190526
FIRE:    5 15:10:11    -1063.833008        0.136928
FIRE:    6 15:10:11    -1063.857788        0.103370
FIRE:    7 15:10:11    -1063.875977        0.103445
FIRE:    8 15:10:11    -1063.889404        0.088751
FIRE:    9 15:10:11    -1063.897461        0.090365
FIRE:   10 15:10:11    -1063.898560        0.068128
FIRE:   11 15:10:11    -1063.899048        0.066075
FIRE:   12 15:10:11    -1063.899902        0.062055
FIRE:   13 15:10:11    -1063.901245        0.058083
FIRE:   14 15:10:11    -1063.902832        0.054477
FIRE:   15 15:10:11    -1063.904419        0.050090
FIRE:   16 15:10:11    -1063.906006        0.044995
FIRE:   17 15:10:11    -1063.907593        0.039270
FIRE:   18 15:10:11    -1063.908936        0.032323
FIRE:   19 15:10:11    -1063.909912        0.033553
FIRE:   20 15:10:11    -1063.910645        0.031342
FIRE:   21 15:10:11    -1063.910645        0.019622
FIRE:   22 15:10:11    -1063.910767        0.019608
FIRE:   23 15:10:11    -1063.910767        0.019581
FIRE:   24 15:10:11    -1063.910889        0.019541
FIRE:   25 15:10:11    -1063.910889        0.019488
FIRE:   26 15:10:11    -1063.911011        0.019422
FIRE:   27 15:10:12    -1063.911133        0.019343
FIRE:   28 15:10:12    -1063.911133        0.019252
FIRE:   29 15:10:12    -1063.911133        0.019138
FIRE:   30 15:10:12    -1063.911377        0.018996
FIRE:   31 15:10:12    -1063.911499        0.018821
FIRE:   32 15:10:12    -1063.911621        0.018609
FIRE:   33 15:10:12    -1063.911621        0.018355
FIRE:   34 15:10:12    -1063.911743        0.018062
FIRE:   35 15:10:12    -1063.911865        0.017731
FIRE:   36 15:10:12    -1063.911987        0.017368
FIRE:   37 15:10:12    -1063.912109        0.016972
FIRE:   38 15:10:12    -1063.912231        0.016539
FIRE:   39 15:10:12    -1063.912598        0.016052
FIRE:   40 15:10:12    -1063.912720        0.015478
FIRE:   41 15:10:12    -1063.912964        0.014762
FIRE:   42 15:10:12    -1063.913208        0.013841
FIRE:   43 15:10:12    -1063.913452        0.012672
FIRE:   44 15:10:12    -1063.913818        0.011238
FIRE:   45 15:10:12    -1063.914062        0.009547
FIRE:   46 15:10:12    -1063.914307        0.007654
FIRE:   47 15:10:12    -1063.914551        0.005642
FIRE:   48 15:10:12    -1063.914795        0.003785
FIRE:   49 15:10:12    -1063.914795        0.005273
FIRE:   50 15:10:12    -1063.914917        0.003906
FIRE:   51 15:10:12    -1063.915039        0.002791
FIRE:   52 15:10:12    -1063.914917        0.002803
FIRE:   53 15:10:12    -1063.914917        0.004708
FIRE:   54 15:10:12    -1063.914917        0.002766
FIRE:   55 15:10:12    -1063.914917        0.002461
FIRE:   56 15:10:12    -1063.915039        0.001895
FIRE:   57 15:10:12    -1063.914917        0.001163
FIRE:   58 15:10:12    -1063.914917        0.001104
FIRE:   59 15:10:12    -1063.915039        0.001094
FIRE:   60 15:10:13    -1063.914917        0.001280
FIRE:   61 15:10:13    -1063.915039        0.001444
FIRE:   62 15:10:13    -1063.915039        0.001398
FIRE:   63 15:10:13    -1063.914917        0.001165
FIRE:   64 15:10:13    -1063.914917        0.001210
FIRE:   65 15:10:13    -1063.914917        0.001471
FIRE:   66 15:10:13    -1063.914917        0.001121
FIRE:   67 15:10:13    -1063.915039        0.000867
