      Step     Time          Energy          fmax
FIRE:    0 15:05:31    -1067.789551        0.526526
FIRE:    1 15:05:31    -1067.812744        0.443694
FIRE:    2 15:05:31    -1067.846191        0.296489
FIRE:    3 15:05:31    -1067.872437        0.120403
FIRE:    4 15:05:31    -1067.883301        0.131544
FIRE:    5 15:05:31    -1067.884033        0.151702
FIRE:    6 15:05:31    -1067.885254        0.145395
FIRE:    7 15:05:31    -1067.887573        0.132958
FIRE:    8 15:05:31    -1067.890625        0.120521
FIRE:    9 15:05:32    -1067.894165        0.108796
FIRE:   10 15:05:32    -1067.897827        0.094878
FIRE:   11 15:05:32    -1067.901123        0.079266
FIRE:   12 15:05:32    -1067.903809        0.062600
FIRE:   13 15:05:32    -1067.905762        0.047675
FIRE:   14 15:05:32    -1067.907227        0.067004
FIRE:   15 15:05:32    -1067.907959        0.092697
FIRE:   16 15:05:32    -1067.908936        0.106484
FIRE:   17 15:05:32    -1067.910522        0.104709
FIRE:   18 15:05:32    -1067.912842        0.085054
FIRE:   19 15:05:32    -1067.915161        0.047506
FIRE:   20 15:05:32    -1067.916260        0.042194
FIRE:   21 15:05:32    -1067.915527        0.054060
FIRE:   22 15:05:32    -1067.915771        0.051840
FIRE:   23 15:05:32    -1067.916016        0.047500
FIRE:   24 15:05:32    -1067.916260        0.041249
FIRE:   25 15:05:32    -1067.916626        0.040435
FIRE:   26 15:05:32    -1067.916870        0.040432
FIRE:   27 15:05:32    -1067.917114        0.040413
FIRE:   28 15:05:32    -1067.917603        0.040369
FIRE:   29 15:05:32    -1067.917725        0.040280
FIRE:   30 15:05:32    -1067.918091        0.040130
FIRE:   31 15:05:32    -1067.918457        0.039895
FIRE:   32 15:05:32    -1067.918823        0.039553
FIRE:   33 15:05:32    -1067.919434        0.039077
FIRE:   34 15:05:32    -1067.919922        0.038435
FIRE:   35 15:05:32    -1067.920532        0.037596
FIRE:   36 15:05:32    -1067.921143        0.036569
FIRE:   37 15:05:32    -1067.921631        0.035385
FIRE:   38 15:05:32    -1067.922607        0.034039
FIRE:   39 15:05:32    -1067.923584        0.032448
FIRE:   40 15:05:32    -1067.924805        0.030441
FIRE:   41 15:05:32    -1067.926270        0.027899
FIRE:   42 15:05:33    -1067.927734        0.024775
FIRE:   43 15:05:33    -1067.928955        0.021254
FIRE:   44 15:05:33    -1067.930298        0.017505
FIRE:   45 15:05:33    -1067.931396        0.013215
FIRE:   46 15:05:33    -1067.932373        0.013366
FIRE:   47 15:05:33    -1067.932983        0.007859
FIRE:   48 15:05:33    -1067.932983        0.005980
FIRE:   49 15:05:33    -1067.933105        0.004585
FIRE:   50 15:05:33    -1067.932983        0.003331
FIRE:   51 15:05:33    -1067.933105        0.003926
FIRE:   52 15:05:33    -1067.933105        0.002142
FIRE:   53 15:05:33    -1067.933105        0.002136
FIRE:   54 15:05:33    -1067.933105        0.002129
FIRE:   55 15:05:33    -1067.933105        0.002115
FIRE:   56 15:05:33    -1067.933105        0.002095
FIRE:   57 15:05:33    -1067.933105        0.002069
FIRE:   58 15:05:33    -1067.933105        0.002039
FIRE:   59 15:05:33    -1067.933105        0.002005
FIRE:   60 15:05:33    -1067.933105        0.001969
FIRE:   61 15:05:33    -1067.933105        0.001926
FIRE:   62 15:05:33    -1067.933105        0.001876
FIRE:   63 15:05:33    -1067.933105        0.001816
FIRE:   64 15:05:33    -1067.933105        0.001744
FIRE:   65 15:05:33    -1067.933105        0.001660
FIRE:   66 15:05:33    -1067.933105        0.001563
FIRE:   67 15:05:33    -1067.933105        0.001453
FIRE:   68 15:05:33    -1067.933105        0.001335
FIRE:   69 15:05:33    -1067.933105        0.001202
FIRE:   70 15:05:33    -1067.933105        0.001041
FIRE:   71 15:05:33    -1067.933105        0.000843
