      Step     Time          Energy          fmax
FIRE:    0 15:05:58    -1058.027344        0.994411
FIRE:    1 15:05:58    -1058.066406        0.860937
FIRE:    2 15:05:58    -1058.124512        0.627583
FIRE:    3 15:05:58    -1058.175781        0.354171
FIRE:    4 15:05:58    -1058.206787        0.165170
FIRE:    5 15:05:58    -1058.221924        0.211740
FIRE:    6 15:05:58    -1058.232666        0.229083
FIRE:    7 15:05:58    -1058.245972        0.250108
FIRE:    8 15:05:58    -1058.262085        0.241793
FIRE:    9 15:05:58    -1058.273193        0.175064
FIRE:   10 15:05:58    -1058.271484        0.141410
FIRE:   11 15:05:58    -1058.273193        0.131872
FIRE:   12 15:05:58    -1058.276245        0.113554
FIRE:   13 15:05:58    -1058.280029        0.098225
FIRE:   14 15:05:58    -1058.284302        0.083062
FIRE:   15 15:05:58    -1058.288086        0.077750
FIRE:   16 15:05:58    -1058.291260        0.076409
FIRE:   17 15:05:58    -1058.293457        0.070414
FIRE:   18 15:05:59    -1058.294922        0.065975
FIRE:   19 15:05:59    -1058.295654        0.075036
FIRE:   20 15:05:59    -1058.296143        0.068690
FIRE:   21 15:05:59    -1058.296143        0.066849
FIRE:   22 15:05:59    -1058.296387        0.063215
FIRE:   23 15:05:59    -1058.296631        0.057887
FIRE:   24 15:05:59    -1058.296875        0.051010
FIRE:   25 15:05:59    -1058.297241        0.042785
FIRE:   26 15:05:59    -1058.297485        0.033466
FIRE:   27 15:05:59    -1058.297852        0.023378
FIRE:   28 15:05:59    -1058.298096        0.016875
FIRE:   29 15:05:59    -1058.298340        0.018523
FIRE:   30 15:05:59    -1058.298340        0.020296
FIRE:   31 15:05:59    -1058.298340        0.023050
FIRE:   32 15:05:59    -1058.298462        0.022685
FIRE:   33 15:05:59    -1058.298462        0.021964
FIRE:   34 15:05:59    -1058.298462        0.020895
FIRE:   35 15:05:59    -1058.298462        0.019502
FIRE:   36 15:05:59    -1058.298584        0.017806
FIRE:   37 15:05:59    -1058.298584        0.016427
FIRE:   38 15:05:59    -1058.298584        0.016387
FIRE:   39 15:05:59    -1058.298584        0.016337
FIRE:   40 15:05:59    -1058.298584        0.016275
FIRE:   41 15:05:59    -1058.298584        0.016200
FIRE:   42 15:05:59    -1058.298706        0.016109
FIRE:   43 15:05:59    -1058.298828        0.016002
FIRE:   44 15:05:59    -1058.298828        0.015881
FIRE:   45 15:05:59    -1058.298828        0.015745
FIRE:   46 15:05:59    -1058.298828        0.015597
FIRE:   47 15:05:59    -1058.298950        0.015438
FIRE:   48 15:05:59    -1058.299072        0.015263
FIRE:   49 15:05:59    -1058.299072        0.015065
FIRE:   50 15:05:59    -1058.299194        0.014826
FIRE:   51 15:06:00    -1058.299316        0.014516
FIRE:   52 15:06:00    -1058.299316        0.014109
FIRE:   53 15:06:00    -1058.299561        0.013587
FIRE:   54 15:06:00    -1058.299683        0.012936
FIRE:   55 15:06:00    -1058.299805        0.012160
FIRE:   56 15:06:00    -1058.299927        0.011304
FIRE:   57 15:06:00    -1058.300171        0.010391
FIRE:   58 15:06:00    -1058.300415        0.009362
FIRE:   59 15:06:00    -1058.300537        0.008108
FIRE:   60 15:06:00    -1058.300781        0.007150
FIRE:   61 15:06:00    -1058.301025        0.006835
FIRE:   62 15:06:00    -1058.301147        0.006498
FIRE:   63 15:06:00    -1058.301270        0.002014
FIRE:   64 15:06:00    -1058.301270        0.004939
FIRE:   65 15:06:00    -1058.301270        0.003019
FIRE:   66 15:06:00    -1058.301270        0.002773
FIRE:   67 15:06:00    -1058.301270        0.004177
FIRE:   68 15:06:00    -1058.301270        0.003777
FIRE:   69 15:06:00    -1058.301270        0.003032
FIRE:   70 15:06:00    -1058.301270        0.002038
FIRE:   71 15:06:00    -1058.301270        0.001054
FIRE:   72 15:06:00    -1058.301147        0.001784
FIRE:   73 15:06:00    -1058.301270        0.002199
FIRE:   74 15:06:00    -1058.301270        0.002252
FIRE:   75 15:06:00    -1058.301270        0.001904
FIRE:   76 15:06:00    -1058.301270        0.001132
FIRE:   77 15:06:00    -1058.301270        0.000411
