      Step     Time          Energy          fmax
FIRE:    0 15:11:28    -1067.626831        0.387461
FIRE:    1 15:11:28    -1067.649048        0.347599
FIRE:    2 15:11:28    -1067.685791        0.276033
FIRE:    3 15:11:28    -1067.725830        0.185829
FIRE:    4 15:11:28    -1067.760010        0.135576
FIRE:    5 15:11:28    -1067.784302        0.114684
FIRE:    6 15:11:28    -1067.799805        0.114078
FIRE:    7 15:11:28    -1067.810425        0.123897
FIRE:    8 15:11:28    -1067.818970        0.121515
FIRE:    9 15:11:28    -1067.824097        0.103497
FIRE:   10 15:11:28    -1067.824951        0.100409
FIRE:   11 15:11:28    -1067.826660        0.095598
FIRE:   12 15:11:28    -1067.829102        0.095825
FIRE:   13 15:11:28    -1067.831787        0.096102
FIRE:   14 15:11:28    -1067.834717        0.096409
FIRE:   15 15:11:28    -1067.837646        0.096720
FIRE:   16 15:11:29    -1067.840210        0.097006
FIRE:   17 15:11:29    -1067.842529        0.097250
FIRE:   18 15:11:29    -1067.844727        0.097379
FIRE:   19 15:11:29    -1067.846436        0.097292
FIRE:   20 15:11:29    -1067.848145        0.096888
FIRE:   21 15:11:29    -1067.850098        0.096071
FIRE:   22 15:11:29    -1067.853027        0.094737
FIRE:   23 15:11:29    -1067.856934        0.092772
FIRE:   24 15:11:29    -1067.861450        0.090062
FIRE:   25 15:11:29    -1067.866577        0.086525
FIRE:   26 15:11:29    -1067.872070        0.082191
FIRE:   27 15:11:29    -1067.878296        0.077191
FIRE:   28 15:11:29    -1067.885498        0.071614
FIRE:   29 15:11:29    -1067.893433        0.065367
FIRE:   30 15:11:29    -1067.901245        0.058150
FIRE:   31 15:11:29    -1067.908936        0.049660
FIRE:   32 15:11:29    -1067.916626        0.039912
FIRE:   33 15:11:29    -1067.923828        0.029217
FIRE:   34 15:11:29    -1067.928223        0.017548
FIRE:   35 15:11:29    -1067.930664        0.022478
FIRE:   36 15:11:29    -1067.931030        0.013680
FIRE:   37 15:11:29    -1067.931396        0.008359
FIRE:   38 15:11:29    -1067.931641        0.007754
FIRE:   39 15:11:29    -1067.931641        0.007297
FIRE:   40 15:11:29    -1067.931641        0.006413
FIRE:   41 15:11:29    -1067.931641        0.005153
FIRE:   42 15:11:29    -1067.931641        0.004225
FIRE:   43 15:11:29    -1067.931763        0.004292
FIRE:   44 15:11:29    -1067.931641        0.005420
FIRE:   45 15:11:29    -1067.931641        0.005065
FIRE:   46 15:11:29    -1067.931641        0.003860
FIRE:   47 15:11:29    -1067.931641        0.003722
FIRE:   48 15:11:29    -1067.931641        0.003569
FIRE:   49 15:11:30    -1067.931641        0.003407
FIRE:   50 15:11:30    -1067.931763        0.003239
FIRE:   51 15:11:30    -1067.931763        0.003238
FIRE:   52 15:11:30    -1067.931641        0.003237
FIRE:   53 15:11:30    -1067.931641        0.003235
FIRE:   54 15:11:30    -1067.931763        0.003231
FIRE:   55 15:11:30    -1067.931763        0.003226
FIRE:   56 15:11:30    -1067.931763        0.003220
FIRE:   57 15:11:30    -1067.931763        0.003211
FIRE:   58 15:11:30    -1067.931763        0.003198
FIRE:   59 15:11:30    -1067.931763        0.003180
FIRE:   60 15:11:30    -1067.931763        0.003152
FIRE:   61 15:11:30    -1067.931641        0.003112
FIRE:   62 15:11:30    -1067.931763        0.003056
FIRE:   63 15:11:30    -1067.931885        0.002978
FIRE:   64 15:11:30    -1067.931763        0.002872
FIRE:   65 15:11:30    -1067.931885        0.002734
FIRE:   66 15:11:30    -1067.931885        0.002557
FIRE:   67 15:11:30    -1067.931885        0.002337
FIRE:   68 15:11:30    -1067.931885        0.002076
FIRE:   69 15:11:30    -1067.931763        0.001779
FIRE:   70 15:11:30    -1067.931885        0.001450
FIRE:   71 15:11:30    -1067.931885        0.001094
FIRE:   72 15:11:30    -1067.931885        0.000728
