      Step     Time          Energy          fmax
FIRE:    0 15:10:56    -1069.052856        0.332882
FIRE:    1 15:10:56    -1069.063965        0.293439
FIRE:    2 15:10:56    -1069.082153        0.224314
FIRE:    3 15:10:56    -1069.101562        0.140079
FIRE:    4 15:10:56    -1069.117920        0.117145
FIRE:    5 15:10:56    -1069.129395        0.103509
FIRE:    6 15:10:56    -1069.136475        0.079968
FIRE:    7 15:10:56    -1069.141602        0.102140
FIRE:    8 15:10:56    -1069.145996        0.104188
FIRE:    9 15:10:56    -1069.148682        0.079258
FIRE:   10 15:10:56    -1069.149170        0.076842
FIRE:   11 15:10:56    -1069.149902        0.072092
FIRE:   12 15:10:56    -1069.150757        0.065162
FIRE:   13 15:10:56    -1069.151978        0.056293
FIRE:   14 15:10:56    -1069.153076        0.053658
FIRE:   15 15:10:56    -1069.154053        0.053721
FIRE:   16 15:10:56    -1069.155029        0.053760
FIRE:   17 15:10:57    -1069.155762        0.053756
FIRE:   18 15:10:57    -1069.156494        0.053669
FIRE:   19 15:10:57    -1069.156860        0.053459
FIRE:   20 15:10:57    -1069.157227        0.053091
FIRE:   21 15:10:57    -1069.157959        0.052529
FIRE:   22 15:10:57    -1069.158813        0.051731
FIRE:   23 15:10:57    -1069.160034        0.050649
FIRE:   24 15:10:57    -1069.161621        0.049222
FIRE:   25 15:10:57    -1069.163086        0.047397
FIRE:   26 15:10:57    -1069.164551        0.045172
FIRE:   27 15:10:57    -1069.166504        0.042581
FIRE:   28 15:10:57    -1069.168579        0.039640
FIRE:   29 15:10:57    -1069.171143        0.036296
FIRE:   30 15:10:57    -1069.173340        0.032419
FIRE:   31 15:10:57    -1069.175659        0.027848
FIRE:   32 15:10:57    -1069.177734        0.022574
FIRE:   33 15:10:57    -1069.179932        0.016849
FIRE:   34 15:10:57    -1069.181641        0.010760
FIRE:   35 15:10:57    -1069.182617        0.009078
FIRE:   36 15:10:57    -1069.182251        0.015443
FIRE:   37 15:10:57    -1069.182617        0.010821
FIRE:   38 15:10:57    -1069.182861        0.004224
FIRE:   39 15:10:57    -1069.182739        0.006386
FIRE:   40 15:10:57    -1069.182739        0.005618
FIRE:   41 15:10:57    -1069.182739        0.004208
FIRE:   42 15:10:57    -1069.182861        0.002911
FIRE:   43 15:10:57    -1069.182861        0.002920
FIRE:   44 15:10:57    -1069.182861        0.002921
FIRE:   45 15:10:57    -1069.182861        0.002918
FIRE:   46 15:10:57    -1069.182861        0.002916
FIRE:   47 15:10:57    -1069.182861        0.002911
FIRE:   48 15:10:57    -1069.182861        0.002905
FIRE:   49 15:10:57    -1069.182861        0.002897
FIRE:   50 15:10:58    -1069.182861        0.002888
FIRE:   51 15:10:58    -1069.182861        0.002877
FIRE:   52 15:10:58    -1069.182861        0.002863
FIRE:   53 15:10:58    -1069.182861        0.002846
FIRE:   54 15:10:58    -1069.182861        0.002825
FIRE:   55 15:10:58    -1069.182861        0.002800
FIRE:   56 15:10:58    -1069.182861        0.002771
FIRE:   57 15:10:58    -1069.182861        0.002737
FIRE:   58 15:10:58    -1069.182861        0.002698
FIRE:   59 15:10:58    -1069.182983        0.002652
FIRE:   60 15:10:58    -1069.182861        0.002596
FIRE:   61 15:10:58    -1069.182861        0.002524
FIRE:   62 15:10:58    -1069.182861        0.002430
FIRE:   63 15:10:58    -1069.182861        0.002312
FIRE:   64 15:10:58    -1069.182983        0.002164
FIRE:   65 15:10:58    -1069.182861        0.001984
FIRE:   66 15:10:58    -1069.182861        0.001772
FIRE:   67 15:10:58    -1069.182861        0.001537
FIRE:   68 15:10:58    -1069.182861        0.001280
FIRE:   69 15:10:58    -1069.182983        0.000990
