      Step     Time          Energy          fmax
FIRE:    0 15:11:14    -1059.344727        0.537930
FIRE:    1 15:11:14    -1059.364502        0.475735
FIRE:    2 15:11:14    -1059.396729        0.372435
FIRE:    3 15:11:14    -1059.432617        0.260181
FIRE:    4 15:11:14    -1059.464233        0.172701
FIRE:    5 15:11:14    -1059.488281        0.145049
FIRE:    6 15:11:14    -1059.505371        0.131922
FIRE:    7 15:11:14    -1059.517334        0.128475
FIRE:    8 15:11:14    -1059.527100        0.118919
FIRE:    9 15:11:14    -1059.532959        0.112224
FIRE:   10 15:11:14    -1059.532715        0.082233
FIRE:   11 15:11:15    -1059.533447        0.079671
FIRE:   12 15:11:15    -1059.534790        0.075133
FIRE:   13 15:11:15    -1059.536865        0.068609
FIRE:   14 15:11:15    -1059.539062        0.060422
FIRE:   15 15:11:15    -1059.541504        0.051436
FIRE:   16 15:11:15    -1059.543701        0.045583
FIRE:   17 15:11:15    -1059.545654        0.043756
FIRE:   18 15:11:15    -1059.547363        0.049272
FIRE:   19 15:11:15    -1059.548828        0.044260
FIRE:   20 15:11:15    -1059.549805        0.034463
FIRE:   21 15:11:15    -1059.550171        0.034600
FIRE:   22 15:11:15    -1059.550049        0.034575
FIRE:   23 15:11:15    -1059.550171        0.034527
FIRE:   24 15:11:15    -1059.550293        0.034455
FIRE:   25 15:11:15    -1059.550537        0.034359
FIRE:   26 15:11:15    -1059.550659        0.034240
FIRE:   27 15:11:15    -1059.550781        0.034099
FIRE:   28 15:11:15    -1059.550903        0.033935
FIRE:   29 15:11:15    -1059.551025        0.033730
FIRE:   30 15:11:15    -1059.551270        0.033475
FIRE:   31 15:11:15    -1059.551514        0.033163
FIRE:   32 15:11:15    -1059.551758        0.032788
FIRE:   33 15:11:15    -1059.551758        0.032348
FIRE:   34 15:11:15    -1059.552002        0.031848
FIRE:   35 15:11:15    -1059.552246        0.031291
FIRE:   36 15:11:15    -1059.552612        0.030678
FIRE:   37 15:11:15    -1059.552979        0.030006
FIRE:   38 15:11:15    -1059.553467        0.029255
FIRE:   39 15:11:15    -1059.553955        0.028386
FIRE:   40 15:11:15    -1059.554688        0.027337
FIRE:   41 15:11:15    -1059.555176        0.026027
FIRE:   42 15:11:15    -1059.555908        0.024382
FIRE:   43 15:11:15    -1059.556641        0.022363
FIRE:   44 15:11:16    -1059.557617        0.019970
FIRE:   45 15:11:16    -1059.558472        0.017233
FIRE:   46 15:11:16    -1059.559326        0.014194
FIRE:   47 15:11:16    -1059.560059        0.010838
FIRE:   48 15:11:16    -1059.560669        0.007111
FIRE:   49 15:11:16    -1059.560913        0.006287
FIRE:   50 15:11:16    -1059.560913        0.018031
FIRE:   51 15:11:16    -1059.561035        0.004488
FIRE:   52 15:11:16    -1059.561035        0.011614
FIRE:   53 15:11:16    -1059.561035        0.009406
FIRE:   54 15:11:16    -1059.561035        0.005418
FIRE:   55 15:11:16    -1059.561035        0.003596
FIRE:   56 15:11:16    -1059.561035        0.004225
FIRE:   57 15:11:16    -1059.561035        0.007281
FIRE:   58 15:11:16    -1059.561035        0.008136
FIRE:   59 15:11:16    -1059.561035        0.006841
FIRE:   60 15:11:16    -1059.561035        0.003524
FIRE:   61 15:11:16    -1059.561035        0.003501
FIRE:   62 15:11:16    -1059.561035        0.005055
FIRE:   63 15:11:16    -1059.561035        0.005702
FIRE:   64 15:11:16    -1059.561035        0.003359
FIRE:   65 15:11:16    -1059.561035        0.003274
FIRE:   66 15:11:16    -1059.561035        0.005248
FIRE:   67 15:11:16    -1059.561035        0.003031
FIRE:   68 15:11:16    -1059.561035        0.005348
FIRE:   69 15:11:16    -1059.561035        0.003213
FIRE:   70 15:11:16    -1059.561035        0.005386
FIRE:   71 15:11:16    -1059.561035        0.002184
FIRE:   72 15:11:16    -1059.561035        0.006666
FIRE:   73 15:11:16    -1059.561035        0.008326
FIRE:   74 15:11:16    -1059.561035        0.002766
FIRE:   75 15:11:16    -1059.561035        0.004511
FIRE:   76 15:11:16    -1059.561157        0.003744
FIRE:   77 15:11:17    -1059.561157        0.002345
FIRE:   78 15:11:17    -1059.561157        0.001595
FIRE:   79 15:11:17    -1059.561157        0.001590
FIRE:   80 15:11:17    -1059.561157        0.001590
FIRE:   81 15:11:17    -1059.561157        0.001590
FIRE:   82 15:11:17    -1059.561157        0.001589
FIRE:   83 15:11:17    -1059.561157        0.001589
FIRE:   84 15:11:17    -1059.561035        0.001588
FIRE:   85 15:11:17    -1059.561035        0.001587
FIRE:   86 15:11:17    -1059.561035        0.001586
FIRE:   87 15:11:17    -1059.561035        0.001585
FIRE:   88 15:11:17    -1059.561035        0.001583
FIRE:   89 15:11:17    -1059.561035        0.001581
FIRE:   90 15:11:17    -1059.561035        0.001578
FIRE:   91 15:11:17    -1059.561035        0.001574
FIRE:   92 15:11:17    -1059.561157        0.001570
FIRE:   93 15:11:17    -1059.561035        0.001565
FIRE:   94 15:11:17    -1059.561035        0.001558
FIRE:   95 15:11:17    -1059.561035        0.001550
FIRE:   96 15:11:17    -1059.561035        0.001541
FIRE:   97 15:11:17    -1059.561157        0.001529
FIRE:   98 15:11:17    -1059.561035        0.001516
FIRE:   99 15:11:17    -1059.561035        0.001498
FIRE:  100 15:11:17    -1059.561035        0.001476
FIRE:  101 15:11:17    -1059.561157        0.001447
FIRE:  102 15:11:17    -1059.561157        0.001411
FIRE:  103 15:11:17    -1059.561035        0.001368
FIRE:  104 15:11:17    -1059.561035        0.001314
FIRE:  105 15:11:17    -1059.561035        0.001251
FIRE:  106 15:11:17    -1059.561035        0.001180
FIRE:  107 15:11:17    -1059.561035        0.001100
FIRE:  108 15:11:17    -1059.561035        0.001015
FIRE:  109 15:11:18    -1059.561035        0.002778
FIRE:  110 15:11:18    -1059.561157        0.008126
FIRE:  111 15:11:18    -1059.561035        0.000829
