      Step     Time          Energy          fmax
FIRE:    0 15:08:41    -1074.982300        0.331298
FIRE:    1 15:08:41    -1074.993408        0.292905
FIRE:    2 15:08:41    -1075.010986        0.221472
FIRE:    3 15:08:41    -1075.028320        0.127198
FIRE:    4 15:08:41    -1075.039551        0.114625
FIRE:    5 15:08:41    -1075.042969        0.110244
FIRE:    6 15:08:41    -1075.043213        0.108534
FIRE:    7 15:08:41    -1075.043823        0.105146
FIRE:    8 15:08:41    -1075.044800        0.100149
FIRE:    9 15:08:41    -1075.045898        0.093644
FIRE:   10 15:08:41    -1075.046875        0.085764
FIRE:   11 15:08:41    -1075.048096        0.076679
FIRE:   12 15:08:41    -1075.049072        0.066604
FIRE:   13 15:08:41    -1075.050049        0.054648
FIRE:   14 15:08:41    -1075.051025        0.040994
FIRE:   15 15:08:41    -1075.051758        0.033723
FIRE:   16 15:08:42    -1075.052490        0.042697
FIRE:   17 15:08:42    -1075.053101        0.045725
FIRE:   18 15:08:42    -1075.053711        0.041164
FIRE:   19 15:08:42    -1075.054321        0.030311
FIRE:   20 15:08:42    -1075.054688        0.029010
FIRE:   21 15:08:42    -1075.054688        0.027412
FIRE:   22 15:08:42    -1075.054810        0.027415
FIRE:   23 15:08:42    -1075.054932        0.027420
FIRE:   24 15:08:42    -1075.054932        0.027426
FIRE:   25 15:08:42    -1075.055176        0.027430
FIRE:   26 15:08:42    -1075.055176        0.027427
FIRE:   27 15:08:42    -1075.055298        0.027415
FIRE:   28 15:08:42    -1075.055420        0.027387
FIRE:   29 15:08:42    -1075.055664        0.027330
FIRE:   30 15:08:42    -1075.055786        0.027231
FIRE:   31 15:08:42    -1075.056030        0.027068
FIRE:   32 15:08:42    -1075.056274        0.026817
FIRE:   33 15:08:42    -1075.056396        0.026452
FIRE:   34 15:08:42    -1075.056641        0.025954
FIRE:   35 15:08:42    -1075.056885        0.025316
FIRE:   36 15:08:42    -1075.057129        0.024543
FIRE:   37 15:08:42    -1075.057495        0.023651
FIRE:   38 15:08:42    -1075.057983        0.022636
FIRE:   39 15:08:42    -1075.058472        0.021460
FIRE:   40 15:08:42    -1075.059082        0.020025
FIRE:   41 15:08:42    -1075.059570        0.018204
FIRE:   42 15:08:42    -1075.060181        0.015953
FIRE:   43 15:08:42    -1075.060791        0.013412
FIRE:   44 15:08:42    -1075.061401        0.010759
FIRE:   45 15:08:42    -1075.061890        0.007795
FIRE:   46 15:08:42    -1075.062256        0.004234
FIRE:   47 15:08:42    -1075.062500        0.003519
FIRE:   48 15:08:42    -1075.062500        0.002972
FIRE:   49 15:08:43    -1075.062500        0.001976
FIRE:   50 15:08:43    -1075.062500        0.001701
FIRE:   51 15:08:43    -1075.062500        0.001128
FIRE:   52 15:08:43    -1075.062378        0.001329
FIRE:   53 15:08:43    -1075.062378        0.001273
FIRE:   54 15:08:43    -1075.062500        0.001165
FIRE:   55 15:08:43    -1075.062500        0.001011
FIRE:   56 15:08:43    -1075.062500        0.000816
