      Step     Time          Energy          fmax
FIRE:    0 15:05:29    -1070.263550        0.309757
FIRE:    1 15:05:29    -1070.277588        0.277847
FIRE:    2 15:05:29    -1070.301270        0.219762
FIRE:    3 15:05:29    -1070.327881        0.145581
FIRE:    4 15:05:29    -1070.351318        0.118379
FIRE:    5 15:05:29    -1070.368652        0.120495
FIRE:    6 15:05:29    -1070.380615        0.095462
FIRE:    7 15:05:29    -1070.388916        0.078886
FIRE:    8 15:05:29    -1070.394531        0.078776
FIRE:    9 15:05:29    -1070.395996        0.077099
FIRE:   10 15:05:29    -1070.396362        0.073806
FIRE:   11 15:05:29    -1070.397095        0.067386
FIRE:   12 15:05:29    -1070.398193        0.058914
FIRE:   13 15:05:29    -1070.399536        0.048498
FIRE:   14 15:05:29    -1070.400879        0.042498
FIRE:   15 15:05:29    -1070.402100        0.042486
FIRE:   16 15:05:29    -1070.403198        0.042460
FIRE:   17 15:05:29    -1070.404053        0.042410
FIRE:   18 15:05:30    -1070.404541        0.042322
FIRE:   19 15:05:30    -1070.405029        0.042179
FIRE:   20 15:05:30    -1070.405273        0.041969
FIRE:   21 15:05:30    -1070.405518        0.041669
FIRE:   22 15:05:30    -1070.406006        0.041251
FIRE:   23 15:05:30    -1070.406738        0.040663
FIRE:   24 15:05:30    -1070.407715        0.039836
FIRE:   25 15:05:30    -1070.408691        0.038686
FIRE:   26 15:05:30    -1070.409668        0.037142
FIRE:   27 15:05:30    -1070.410889        0.035188
FIRE:   28 15:05:30    -1070.412476        0.032846
FIRE:   29 15:05:30    -1070.414307        0.030164
FIRE:   30 15:05:30    -1070.415771        0.027227
FIRE:   31 15:05:30    -1070.417236        0.024106
FIRE:   32 15:05:30    -1070.418945        0.020748
FIRE:   33 15:05:30    -1070.420410        0.017028
FIRE:   34 15:05:30    -1070.421875        0.015205
FIRE:   35 15:05:30    -1070.422852        0.013929
FIRE:   36 15:05:30    -1070.423096        0.009624
FIRE:   37 15:05:30    -1070.423218        0.008117
FIRE:   38 15:05:30    -1070.423218        0.007916
FIRE:   39 15:05:30    -1070.423340        0.007842
FIRE:   40 15:05:30    -1070.423340        0.007810
FIRE:   41 15:05:30    -1070.423340        0.007762
FIRE:   42 15:05:30    -1070.423340        0.007696
FIRE:   43 15:05:30    -1070.423340        0.007610
FIRE:   44 15:05:30    -1070.423340        0.007506
FIRE:   45 15:05:30    -1070.423340        0.007388
FIRE:   46 15:05:30    -1070.423340        0.007250
FIRE:   47 15:05:30    -1070.423340        0.007091
FIRE:   48 15:05:30    -1070.423462        0.006910
FIRE:   49 15:05:30    -1070.423584        0.006706
FIRE:   50 15:05:30    -1070.423584        0.006477
FIRE:   51 15:05:31    -1070.423462        0.006219
FIRE:   52 15:05:31    -1070.423584        0.005929
FIRE:   53 15:05:31    -1070.423584        0.005596
FIRE:   54 15:05:31    -1070.423584        0.005201
FIRE:   55 15:05:31    -1070.423584        0.004720
FIRE:   56 15:05:31    -1070.423828        0.004165
FIRE:   57 15:05:31    -1070.423828        0.003526
FIRE:   58 15:05:31    -1070.423828        0.002773
FIRE:   59 15:05:31    -1070.423950        0.002321
FIRE:   60 15:05:31    -1070.423950        0.004550
FIRE:   61 15:05:31    -1070.423828        0.008651
FIRE:   62 15:05:31    -1070.423950        0.002774
FIRE:   63 15:05:31    -1070.423950        0.004706
FIRE:   64 15:05:31    -1070.423950        0.003850
FIRE:   65 15:05:31    -1070.423950        0.002286
FIRE:   66 15:05:31    -1070.423828        0.000480
