      Step     Time          Energy          fmax
FIRE:    0 15:04:58    -1070.409058        0.291574
FIRE:    1 15:04:58    -1070.417236        0.259900
FIRE:    2 15:04:58    -1070.430908        0.202062
FIRE:    3 15:04:58    -1070.445312        0.127746
FIRE:    4 15:04:58    -1070.456909        0.089336
FIRE:    5 15:04:58    -1070.464355        0.089139
FIRE:    6 15:04:58    -1070.468506        0.077430
FIRE:    7 15:04:58    -1070.471680        0.089829
FIRE:    8 15:04:58    -1070.474609        0.086399
FIRE:    9 15:04:58    -1070.476562        0.059323
FIRE:   10 15:04:58    -1070.476807        0.057507
FIRE:   11 15:04:58    -1070.477295        0.053939
FIRE:   12 15:04:58    -1070.478027        0.048744
FIRE:   13 15:04:59    -1070.479004        0.042109
FIRE:   14 15:04:59    -1070.479736        0.034282
FIRE:   15 15:04:59    -1070.480469        0.031854
FIRE:   16 15:04:59    -1070.481201        0.031835
FIRE:   17 15:04:59    -1070.481567        0.031783
FIRE:   18 15:04:59    -1070.481812        0.031674
FIRE:   19 15:04:59    -1070.481934        0.031493
FIRE:   20 15:04:59    -1070.481812        0.031486
FIRE:   21 15:04:59    -1070.481934        0.031470
FIRE:   22 15:04:59    -1070.481934        0.031447
FIRE:   23 15:04:59    -1070.481934        0.031417
FIRE:   24 15:04:59    -1070.482178        0.031378
FIRE:   25 15:04:59    -1070.482178        0.031330
FIRE:   26 15:04:59    -1070.482178        0.031274
FIRE:   27 15:04:59    -1070.482422        0.031201
FIRE:   28 15:04:59    -1070.482422        0.031107
FIRE:   29 15:04:59    -1070.482666        0.030987
FIRE:   30 15:04:59    -1070.482666        0.030833
FIRE:   31 15:04:59    -1070.482788        0.030638
FIRE:   32 15:04:59    -1070.482910        0.030396
FIRE:   33 15:04:59    -1070.483154        0.030100
FIRE:   34 15:04:59    -1070.483154        0.029743
FIRE:   35 15:04:59    -1070.483521        0.029316
FIRE:   36 15:04:59    -1070.483887        0.028806
FIRE:   37 15:04:59    -1070.484131        0.028192
FIRE:   38 15:04:59    -1070.484619        0.027447
FIRE:   39 15:04:59    -1070.485107        0.026538
FIRE:   40 15:04:59    -1070.485596        0.025431
FIRE:   41 15:04:59    -1070.486206        0.024089
FIRE:   42 15:04:59    -1070.486938        0.022463
FIRE:   43 15:04:59    -1070.487671        0.020495
FIRE:   44 15:04:59    -1070.488525        0.018173
FIRE:   45 15:04:59    -1070.489258        0.015504
FIRE:   46 15:05:00    -1070.490112        0.012462
FIRE:   47 15:05:00    -1070.490723        0.009010
FIRE:   48 15:05:00    -1070.491211        0.005086
FIRE:   49 15:05:00    -1070.491455        0.004445
FIRE:   50 15:05:00    -1070.491455        0.003145
FIRE:   51 15:05:00    -1070.491455        0.001016
FIRE:   52 15:05:00    -1070.491455        0.002218
FIRE:   53 15:05:00    -1070.491455        0.002019
FIRE:   54 15:05:00    -1070.491455        0.001639
FIRE:   55 15:05:00    -1070.491455        0.001121
FIRE:   56 15:05:00    -1070.491455        0.000823
