      Step     Time          Energy          fmax
FIRE:    0 15:05:15    -1060.656250        0.509113
FIRE:    1 15:05:15    -1060.672607        0.456429
FIRE:    2 15:05:15    -1060.699951        0.364872
FIRE:    3 15:05:15    -1060.730225        0.259526
FIRE:    4 15:05:15    -1060.757080        0.175526
FIRE:    5 15:05:15    -1060.777344        0.150544
FIRE:    6 15:05:15    -1060.791992        0.146852
FIRE:    7 15:05:15    -1060.803711        0.134259
FIRE:    8 15:05:15    -1060.813599        0.109556
FIRE:    9 15:05:15    -1060.819458        0.080492
FIRE:   10 15:05:15    -1060.818848        0.088069
FIRE:   11 15:05:15    -1060.819580        0.084708
FIRE:   12 15:05:15    -1060.820801        0.078174
FIRE:   13 15:05:15    -1060.822510        0.068848
FIRE:   14 15:05:15    -1060.824585        0.057301
FIRE:   15 15:05:15    -1060.826416        0.044436
FIRE:   16 15:05:15    -1060.828125        0.042273
FIRE:   17 15:05:15    -1060.829590        0.046350
FIRE:   18 15:05:15    -1060.830811        0.049918
FIRE:   19 15:05:15    -1060.831665        0.048102
FIRE:   20 15:05:15    -1060.832031        0.038793
FIRE:   21 15:05:15    -1060.832153        0.028396
FIRE:   22 15:05:16    -1060.832275        0.027864
FIRE:   23 15:05:16    -1060.832275        0.026822
FIRE:   24 15:05:16    -1060.832397        0.025318
FIRE:   25 15:05:16    -1060.832520        0.023423
FIRE:   26 15:05:16    -1060.832520        0.021232
FIRE:   27 15:05:16    -1060.832764        0.018856
FIRE:   28 15:05:16    -1060.832886        0.016425
FIRE:   29 15:05:16    -1060.832886        0.015132
FIRE:   30 15:05:16    -1060.833008        0.014975
FIRE:   31 15:05:16    -1060.833130        0.014784
FIRE:   32 15:05:16    -1060.833130        0.014555
FIRE:   33 15:05:16    -1060.833252        0.014295
FIRE:   34 15:05:16    -1060.833252        0.014013
FIRE:   35 15:05:16    -1060.833252        0.013717
FIRE:   36 15:05:16    -1060.833252        0.013413
FIRE:   37 15:05:16    -1060.833252        0.013104
FIRE:   38 15:05:16    -1060.833496        0.012787
FIRE:   39 15:05:16    -1060.833618        0.012450
FIRE:   40 15:05:16    -1060.833740        0.012068
FIRE:   41 15:05:16    -1060.833740        0.011599
FIRE:   42 15:05:16    -1060.833984        0.010997
FIRE:   43 15:05:16    -1060.833984        0.010242
FIRE:   44 15:05:16    -1060.834229        0.009332
FIRE:   45 15:05:16    -1060.834473        0.008281
FIRE:   46 15:05:16    -1060.834473        0.007541
FIRE:   47 15:05:16    -1060.834717        0.005881
FIRE:   48 15:05:16    -1060.834717        0.005441
FIRE:   49 15:05:16    -1060.834961        0.005542
FIRE:   50 15:05:16    -1060.834961        0.003329
FIRE:   51 15:05:16    -1060.834961        0.003118
FIRE:   52 15:05:16    -1060.834961        0.004182
FIRE:   53 15:05:16    -1060.834961        0.003739
FIRE:   54 15:05:16    -1060.834961        0.003051
FIRE:   55 15:05:17    -1060.834961        0.003039
FIRE:   56 15:05:17    -1060.834961        0.003022
FIRE:   57 15:05:17    -1060.834961        0.003001
FIRE:   58 15:05:17    -1060.834961        0.002976
FIRE:   59 15:05:17    -1060.834961        0.002947
FIRE:   60 15:05:17    -1060.834961        0.002913
FIRE:   61 15:05:17    -1060.834961        0.002872
FIRE:   62 15:05:17    -1060.834961        0.002824
FIRE:   63 15:05:17    -1060.834961        0.002765
FIRE:   64 15:05:17    -1060.834961        0.002693
FIRE:   65 15:05:17    -1060.834961        0.002606
FIRE:   66 15:05:17    -1060.834961        0.002504
FIRE:   67 15:05:17    -1060.834961        0.002381
FIRE:   68 15:05:17    -1060.834961        0.002241
FIRE:   69 15:05:17    -1060.834961        0.002087
FIRE:   70 15:05:17    -1060.834961        0.001922
FIRE:   71 15:05:17    -1060.834961        0.001740
FIRE:   72 15:05:17    -1060.834961        0.001524
FIRE:   73 15:05:17    -1060.834961        0.001269
FIRE:   74 15:05:17    -1060.835083        0.001823
FIRE:   75 15:05:17    -1060.834961        0.002091
FIRE:   76 15:05:17    -1060.835083        0.004131
FIRE:   77 15:05:17    -1060.835083        0.001538
FIRE:   78 15:05:17    -1060.834961        0.003530
FIRE:   79 15:05:17    -1060.834961        0.002772
FIRE:   80 15:05:17    -1060.835083        0.001529
FIRE:   81 15:05:17    -1060.835083        0.001526
FIRE:   82 15:05:17    -1060.835083        0.001556
FIRE:   83 15:05:17    -1060.835083        0.001521
FIRE:   84 15:05:17    -1060.835083        0.001521
FIRE:   85 15:05:17    -1060.835083        0.001520
FIRE:   86 15:05:17    -1060.835083        0.001520
FIRE:   87 15:05:17    -1060.835083        0.001519
FIRE:   88 15:05:18    -1060.835083        0.001517
FIRE:   89 15:05:18    -1060.835083        0.001516
FIRE:   90 15:05:18    -1060.834961        0.001514
FIRE:   91 15:05:18    -1060.834961        0.001512
FIRE:   92 15:05:18    -1060.835083        0.001509
FIRE:   93 15:05:18    -1060.834961        0.001505
FIRE:   94 15:05:18    -1060.834961        0.001500
FIRE:   95 15:05:18    -1060.835083        0.001495
FIRE:   96 15:05:18    -1060.835083        0.001488
FIRE:   97 15:05:18    -1060.835083        0.001479
FIRE:   98 15:05:18    -1060.835083        0.001468
FIRE:   99 15:05:18    -1060.835083        0.001456
FIRE:  100 15:05:18    -1060.835083        0.001440
FIRE:  101 15:05:18    -1060.835083        0.001421
FIRE:  102 15:05:18    -1060.835083        0.001397
FIRE:  103 15:05:18    -1060.835083        0.001369
FIRE:  104 15:05:18    -1060.835083        0.001334
FIRE:  105 15:05:18    -1060.835083        0.001293
FIRE:  106 15:05:18    -1060.835083        0.001244
FIRE:  107 15:05:18    -1060.834961        0.001188
FIRE:  108 15:05:18    -1060.834961        0.001125
FIRE:  109 15:05:18    -1060.835083        0.001055
FIRE:  110 15:05:18    -1060.835083        0.001913
FIRE:  111 15:05:18    -1060.835083        0.004594
FIRE:  112 15:05:18    -1060.835083        0.012052
FIRE:  113 15:05:18    -1060.835083        0.001055
FIRE:  114 15:05:18    -1060.835083        0.000810
