      Step     Time          Energy          fmax
FIRE:    0 15:04:19    -1071.778809        0.217126
FIRE:    1 15:04:19    -1071.783203        0.207571
FIRE:    2 15:04:19    -1071.791260        0.188982
FIRE:    3 15:04:19    -1071.801025        0.162394
FIRE:    4 15:04:19    -1071.810913        0.129355
FIRE:    5 15:04:19    -1071.819336        0.092019
FIRE:    6 15:04:19    -1071.825317        0.053342
FIRE:    7 15:04:20    -1071.829224        0.044989
FIRE:    8 15:04:20    -1071.831665        0.043388
FIRE:    9 15:04:20    -1071.832520        0.043088
FIRE:   10 15:04:20    -1071.832764        0.042169
FIRE:   11 15:04:20    -1071.833008        0.041739
FIRE:   12 15:04:20    -1071.833496        0.041757
FIRE:   13 15:04:20    -1071.833984        0.041774
FIRE:   14 15:04:20    -1071.834473        0.041785
FIRE:   15 15:04:20    -1071.835205        0.041781
FIRE:   16 15:04:20    -1071.835693        0.041753
FIRE:   17 15:04:20    -1071.836060        0.041682
FIRE:   18 15:04:20    -1071.836548        0.041542
FIRE:   19 15:04:20    -1071.836914        0.041298
FIRE:   20 15:04:20    -1071.837158        0.040921
FIRE:   21 15:04:20    -1071.837524        0.040388
FIRE:   22 15:04:20    -1071.837891        0.039676
FIRE:   23 15:04:20    -1071.838623        0.038756
FIRE:   24 15:04:20    -1071.839355        0.037595
FIRE:   25 15:04:20    -1071.840454        0.036158
FIRE:   26 15:04:20    -1071.841553        0.034424
FIRE:   27 15:04:20    -1071.842651        0.032397
FIRE:   28 15:04:20    -1071.843750        0.030098
FIRE:   29 15:04:20    -1071.845093        0.027523
FIRE:   30 15:04:20    -1071.846680        0.024596
FIRE:   31 15:04:20    -1071.848022        0.021158
FIRE:   32 15:04:20    -1071.849365        0.017122
FIRE:   33 15:04:20    -1071.850586        0.012558
FIRE:   34 15:04:20    -1071.851440        0.008481
FIRE:   35 15:04:20    -1071.852051        0.006562
FIRE:   36 15:04:20    -1071.851807        0.007253
FIRE:   37 15:04:20    -1071.851929        0.005064
FIRE:   38 15:04:20    -1071.852051        0.003486
FIRE:   39 15:04:20    -1071.852051        0.003988
FIRE:   40 15:04:21    -1071.852051        0.003618
FIRE:   41 15:04:21    -1071.852051        0.003231
FIRE:   42 15:04:21    -1071.852051        0.003209
FIRE:   43 15:04:21    -1071.852051        0.003180
FIRE:   44 15:04:21    -1071.852051        0.003141
FIRE:   45 15:04:21    -1071.852051        0.003092
FIRE:   46 15:04:21    -1071.852051        0.003091
FIRE:   47 15:04:21    -1071.852051        0.003088
FIRE:   48 15:04:21    -1071.852051        0.003083
FIRE:   49 15:04:21    -1071.852051        0.003078
FIRE:   50 15:04:21    -1071.852051        0.003071
FIRE:   51 15:04:21    -1071.852051        0.003062
FIRE:   52 15:04:21    -1071.852051        0.003052
FIRE:   53 15:04:21    -1071.852051        0.003039
FIRE:   54 15:04:21    -1071.852051        0.003022
FIRE:   55 15:04:21    -1071.852051        0.003001
FIRE:   56 15:04:21    -1071.852051        0.002975
FIRE:   57 15:04:21    -1071.852051        0.002943
FIRE:   58 15:04:21    -1071.852051        0.002904
FIRE:   59 15:04:21    -1071.852051        0.002857
FIRE:   60 15:04:21    -1071.852051        0.002801
FIRE:   61 15:04:21    -1071.852051        0.002733
FIRE:   62 15:04:21    -1071.852173        0.002648
FIRE:   63 15:04:21    -1071.852051        0.002543
FIRE:   64 15:04:21    -1071.852051        0.002416
FIRE:   65 15:04:21    -1071.852051        0.002263
FIRE:   66 15:04:21    -1071.852051        0.002084
FIRE:   67 15:04:21    -1071.852051        0.001875
FIRE:   68 15:04:21    -1071.852051        0.001635
FIRE:   69 15:04:21    -1071.852051        0.001356
FIRE:   70 15:04:21    -1071.852173        0.001027
FIRE:   71 15:04:21    -1071.852173        0.000656
