      Step     Time          Energy          fmax
FIRE:    0 15:04:54    -1062.019531        0.367165
FIRE:    1 15:04:54    -1062.033691        0.345547
FIRE:    2 15:04:54    -1062.059082        0.304915
FIRE:    3 15:04:54    -1062.090820        0.250125
FIRE:    4 15:04:54    -1062.123047        0.187547
FIRE:    5 15:04:54    -1062.151733        0.131463
FIRE:    6 15:04:54    -1062.173706        0.112434
FIRE:    7 15:04:54    -1062.189209        0.097306
FIRE:    8 15:04:54    -1062.200073        0.083271
FIRE:    9 15:04:54    -1062.206299        0.062143
FIRE:   10 15:04:54    -1062.207031        0.080628
FIRE:   11 15:04:54    -1062.207642        0.078606
FIRE:   12 15:04:55    -1062.208618        0.074625
FIRE:   13 15:04:55    -1062.210083        0.068808
FIRE:   14 15:04:55    -1062.211914        0.062514
FIRE:   15 15:04:55    -1062.213867        0.056902
FIRE:   16 15:04:55    -1062.215698        0.050380
FIRE:   17 15:04:55    -1062.217407        0.043058
FIRE:   18 15:04:55    -1062.218872        0.034190
FIRE:   19 15:04:55    -1062.219971        0.025468
FIRE:   20 15:04:55    -1062.220459        0.029091
FIRE:   21 15:04:55    -1062.220215        0.025923
FIRE:   22 15:04:55    -1062.220337        0.025440
FIRE:   23 15:04:55    -1062.220459        0.024484
FIRE:   24 15:04:55    -1062.220459        0.023083
FIRE:   25 15:04:55    -1062.220459        0.021276
FIRE:   26 15:04:55    -1062.220703        0.019120
FIRE:   27 15:04:55    -1062.220703        0.016684
FIRE:   28 15:04:55    -1062.220825        0.014046
FIRE:   29 15:04:55    -1062.220947        0.013259
FIRE:   30 15:04:55    -1062.221069        0.013119
FIRE:   31 15:04:55    -1062.221191        0.012947
FIRE:   32 15:04:55    -1062.221191        0.012739
FIRE:   33 15:04:55    -1062.221313        0.012494
FIRE:   34 15:04:55    -1062.221436        0.012218
FIRE:   35 15:04:55    -1062.221436        0.011923
FIRE:   36 15:04:55    -1062.221313        0.011617
FIRE:   37 15:04:55    -1062.221558        0.011307
FIRE:   38 15:04:55    -1062.221558        0.010993
FIRE:   39 15:04:55    -1062.221680        0.010669
FIRE:   40 15:04:55    -1062.221924        0.010315
FIRE:   41 15:04:55    -1062.221924        0.009888
FIRE:   42 15:04:55    -1062.222046        0.009332
FIRE:   43 15:04:55    -1062.222168        0.008604
FIRE:   44 15:04:55    -1062.222290        0.007688
FIRE:   45 15:04:56    -1062.222412        0.006598
FIRE:   46 15:04:56    -1062.222534        0.008096
FIRE:   47 15:04:56    -1062.222656        0.008244
FIRE:   48 15:04:56    -1062.222778        0.005900
FIRE:   49 15:04:56    -1062.222900        0.003862
FIRE:   50 15:04:56    -1062.222900        0.006295
FIRE:   51 15:04:56    -1062.222900        0.004676
FIRE:   52 15:04:56    -1062.222900        0.002577
FIRE:   53 15:04:56    -1062.222900        0.002371
FIRE:   54 15:04:56    -1062.222900        0.002179
FIRE:   55 15:04:56    -1062.222900        0.001820
FIRE:   56 15:04:56    -1062.222900        0.001339
FIRE:   57 15:04:56    -1062.222900        0.000916
