      Step     Time          Energy          fmax
FIRE:    0 15:07:44    -1077.142700        1.509120
FIRE:    1 15:07:44    -1077.327637        1.289177
FIRE:    2 15:07:44    -1077.610352        0.965580
FIRE:    3 15:07:44    -1077.876465        0.585130
FIRE:    4 15:07:44    -1078.042725        0.277165
FIRE:    5 15:07:44    -1078.087524        0.260329
FIRE:    6 15:07:44    -1078.089233        0.252724
FIRE:    7 15:07:44    -1078.092529        0.237742
FIRE:    8 15:07:44    -1078.097168        0.215858
FIRE:    9 15:07:44    -1078.102905        0.187781
FIRE:   10 15:07:44    -1078.109375        0.154463
FIRE:   11 15:07:44    -1078.115845        0.117096
FIRE:   12 15:07:44    -1078.122314        0.097871
FIRE:   13 15:07:44    -1078.128906        0.083288
FIRE:   14 15:07:44    -1078.134888        0.066171
FIRE:   15 15:07:44    -1078.139893        0.063663
FIRE:   16 15:07:44    -1078.143311        0.102550
FIRE:   17 15:07:44    -1078.145386        0.125349
FIRE:   18 15:07:44    -1078.146484        0.126840
FIRE:   19 15:07:44    -1078.146484        0.124513
FIRE:   20 15:07:44    -1078.146973        0.119912
FIRE:   21 15:07:44    -1078.147461        0.113150
FIRE:   22 15:07:44    -1078.148071        0.104387
FIRE:   23 15:07:45    -1078.148682        0.093844
FIRE:   24 15:07:45    -1078.149414        0.081777
FIRE:   25 15:07:45    -1078.150146        0.068506
FIRE:   26 15:07:45    -1078.150879        0.052869
FIRE:   27 15:07:45    -1078.151611        0.035047
FIRE:   28 15:07:45    -1078.152100        0.033459
FIRE:   29 15:07:45    -1078.152466        0.032378
FIRE:   30 15:07:45    -1078.152588        0.031279
FIRE:   31 15:07:45    -1078.152588        0.032921
FIRE:   32 15:07:45    -1078.152710        0.032301
FIRE:   33 15:07:45    -1078.152832        0.031069
FIRE:   34 15:07:45    -1078.152832        0.030372
FIRE:   35 15:07:45    -1078.152832        0.030440
FIRE:   36 15:07:45    -1078.153076        0.030523
FIRE:   37 15:07:45    -1078.153076        0.030618
FIRE:   38 15:07:45    -1078.153198        0.030724
FIRE:   39 15:07:45    -1078.153320        0.030848
FIRE:   40 15:07:45    -1078.153564        0.030990
FIRE:   41 15:07:45    -1078.153687        0.031146
FIRE:   42 15:07:45    -1078.153809        0.031303
FIRE:   43 15:07:45    -1078.153931        0.031444
FIRE:   44 15:07:45    -1078.154053        0.031539
FIRE:   45 15:07:45    -1078.154297        0.031554
FIRE:   46 15:07:45    -1078.154419        0.031450
FIRE:   47 15:07:45    -1078.154785        0.031188
FIRE:   48 15:07:45    -1078.155151        0.030731
FIRE:   49 15:07:45    -1078.155518        0.030048
FIRE:   50 15:07:45    -1078.156006        0.029131
FIRE:   51 15:07:45    -1078.156494        0.028021
FIRE:   52 15:07:45    -1078.156982        0.026832
FIRE:   53 15:07:45    -1078.157715        0.025705
FIRE:   54 15:07:45    -1078.158447        0.024717
FIRE:   55 15:07:45    -1078.159180        0.023785
FIRE:   56 15:07:46    -1078.160034        0.022542
FIRE:   57 15:07:46    -1078.160889        0.020523
FIRE:   58 15:07:46    -1078.161743        0.017553
FIRE:   59 15:07:46    -1078.162598        0.014067
FIRE:   60 15:07:46    -1078.163452        0.010834
FIRE:   61 15:07:46    -1078.164062        0.007460
FIRE:   62 15:07:46    -1078.164307        0.006291
FIRE:   63 15:07:46    -1078.164185        0.017362
FIRE:   64 15:07:46    -1078.164307        0.007823
FIRE:   65 15:07:46    -1078.164307        0.005835
FIRE:   66 15:07:46    -1078.164307        0.005058
FIRE:   67 15:07:46    -1078.164307        0.003814
FIRE:   68 15:07:46    -1078.164307        0.003776
FIRE:   69 15:07:46    -1078.164185        0.003730
FIRE:   70 15:07:46    -1078.164307        0.003680
FIRE:   71 15:07:46    -1078.164307        0.003630
FIRE:   72 15:07:46    -1078.164307        0.003583
FIRE:   73 15:07:46    -1078.164307        0.003534
FIRE:   74 15:07:46    -1078.164307        0.003480
FIRE:   75 15:07:46    -1078.164307        0.003414
FIRE:   76 15:07:46    -1078.164307        0.003323
FIRE:   77 15:07:46    -1078.164307        0.003199
FIRE:   78 15:07:46    -1078.164307        0.003040
FIRE:   79 15:07:46    -1078.164307        0.002855
FIRE:   80 15:07:46    -1078.164307        0.002665
FIRE:   81 15:07:46    -1078.164307        0.002468
FIRE:   82 15:07:46    -1078.164307        0.002222
FIRE:   83 15:07:46    -1078.164307        0.001903
FIRE:   84 15:07:46    -1078.164307        0.002094
FIRE:   85 15:07:46    -1078.164429        0.002068
FIRE:   86 15:07:46    -1078.164429        0.000957
