      Step     Time          Energy          fmax
FIRE:    0 15:07:31    -1073.959351        0.899634
FIRE:    1 15:07:31    -1074.032959        0.814574
FIRE:    2 15:07:31    -1074.151367        0.652915
FIRE:    3 15:07:31    -1074.268799        0.424805
FIRE:    4 15:07:31    -1074.340332        0.162001
FIRE:    5 15:07:31    -1074.349365        0.168346
FIRE:    6 15:07:31    -1074.350342        0.165091
FIRE:    7 15:07:31    -1074.352417        0.158637
FIRE:    8 15:07:31    -1074.355103        0.149100
FIRE:    9 15:07:31    -1074.358398        0.136652
FIRE:   10 15:07:31    -1074.362061        0.121532
FIRE:   11 15:07:31    -1074.365601        0.104049
FIRE:   12 15:07:31    -1074.368896        0.084602
FIRE:   13 15:07:31    -1074.372192        0.064931
FIRE:   14 15:07:31    -1074.374756        0.045712
FIRE:   15 15:07:31    -1074.376343        0.046190
FIRE:   16 15:07:32    -1074.377075        0.060257
FIRE:   17 15:07:32    -1074.377319        0.066856
FIRE:   18 15:07:32    -1074.377319        0.065809
FIRE:   19 15:07:32    -1074.377563        0.063733
FIRE:   20 15:07:32    -1074.377808        0.060666
FIRE:   21 15:07:32    -1074.378174        0.056662
FIRE:   22 15:07:32    -1074.378540        0.051796
FIRE:   23 15:07:32    -1074.378906        0.046157
FIRE:   24 15:07:32    -1074.379395        0.039851
FIRE:   25 15:07:32    -1074.379883        0.032249
FIRE:   26 15:07:32    -1074.380127        0.023304
FIRE:   27 15:07:32    -1074.380615        0.016622
FIRE:   28 15:07:32    -1074.380737        0.016011
FIRE:   29 15:07:32    -1074.380737        0.015375
FIRE:   30 15:07:32    -1074.380737        0.015379
FIRE:   31 15:07:32    -1074.380859        0.015386
FIRE:   32 15:07:32    -1074.380859        0.015396
FIRE:   33 15:07:32    -1074.380859        0.015408
FIRE:   34 15:07:32    -1074.380859        0.015423
FIRE:   35 15:07:32    -1074.380859        0.015440
FIRE:   36 15:07:32    -1074.380859        0.015459
FIRE:   37 15:07:32    -1074.380981        0.015481
FIRE:   38 15:07:32    -1074.380981        0.015505
FIRE:   39 15:07:32    -1074.380981        0.015530
FIRE:   40 15:07:32    -1074.381104        0.015552
FIRE:   41 15:07:32    -1074.381104        0.015568
FIRE:   42 15:07:32    -1074.381104        0.015570
FIRE:   43 15:07:32    -1074.381348        0.015546
FIRE:   44 15:07:32    -1074.381348        0.015481
FIRE:   45 15:07:32    -1074.381348        0.015362
FIRE:   46 15:07:32    -1074.381348        0.015170
FIRE:   47 15:07:32    -1074.381592        0.014891
FIRE:   48 15:07:32    -1074.381592        0.014514
FIRE:   49 15:07:32    -1074.381836        0.014036
FIRE:   50 15:07:33    -1074.381836        0.013476
FIRE:   51 15:07:33    -1074.381958        0.012877
FIRE:   52 15:07:33    -1074.381958        0.012282
FIRE:   53 15:07:33    -1074.382080        0.011709
FIRE:   54 15:07:33    -1074.382324        0.011132
FIRE:   55 15:07:33    -1074.382568        0.010447
FIRE:   56 15:07:33    -1074.382812        0.009501
FIRE:   57 15:07:33    -1074.382935        0.008205
FIRE:   58 15:07:33    -1074.383057        0.006671
FIRE:   59 15:07:33    -1074.383301        0.005178
FIRE:   60 15:07:33    -1074.383545        0.003650
FIRE:   61 15:07:33    -1074.383545        0.002184
FIRE:   62 15:07:33    -1074.383545        0.006580
FIRE:   63 15:07:33    -1074.383545        0.004318
FIRE:   64 15:07:33    -1074.383545        0.001713
FIRE:   65 15:07:33    -1074.383545        0.002769
FIRE:   66 15:07:33    -1074.383545        0.002478
FIRE:   67 15:07:33    -1074.383667        0.001981
FIRE:   68 15:07:33    -1074.383667        0.001500
FIRE:   69 15:07:33    -1074.383545        0.000963
