      Step     Time          Energy          fmax
FIRE:    0 15:07:33    -1064.539062        0.973261
FIRE:    1 15:07:33    -1064.616455        0.884211
FIRE:    2 15:07:33    -1064.737427        0.714018
FIRE:    3 15:07:33    -1064.852295        0.475503
FIRE:    4 15:07:33    -1064.920532        0.216083
FIRE:    5 15:07:34    -1064.935425        0.318805
FIRE:    6 15:07:34    -1064.937256        0.313132
FIRE:    7 15:07:34    -1064.941162        0.301862
FIRE:    8 15:07:34    -1064.946289        0.285169
FIRE:    9 15:07:34    -1064.952637        0.263330
FIRE:   10 15:07:34    -1064.959717        0.236767
FIRE:   11 15:07:34    -1064.967041        0.206079
FIRE:   12 15:07:34    -1064.974121        0.172111
FIRE:   13 15:07:34    -1064.981079        0.145558
FIRE:   14 15:07:34    -1064.987793        0.166844
FIRE:   15 15:07:34    -1064.993652        0.187505
FIRE:   16 15:07:34    -1064.998901        0.203936
FIRE:   17 15:07:34    -1065.004150        0.212235
FIRE:   18 15:07:34    -1065.010010        0.209223
FIRE:   19 15:07:34    -1065.017090        0.192650
FIRE:   20 15:07:34    -1065.024170        0.164856
FIRE:   21 15:07:34    -1065.029785        0.130778
FIRE:   22 15:07:34    -1065.032959        0.099434
FIRE:   23 15:07:34    -1065.035156        0.106251
FIRE:   24 15:07:34    -1065.039062        0.100782
FIRE:   25 15:07:34    -1065.045410        0.076084
FIRE:   26 15:07:34    -1065.050537        0.083443
FIRE:   27 15:07:34    -1065.053833        0.089062
FIRE:   28 15:07:34    -1065.059082        0.079438
FIRE:   29 15:07:34    -1065.063965        0.038804
FIRE:   30 15:07:34    -1065.064697        0.050411
FIRE:   31 15:07:34    -1065.065552        0.043366
FIRE:   32 15:07:34    -1065.066772        0.030501
FIRE:   33 15:07:34    -1065.067627        0.016802
FIRE:   34 15:07:34    -1065.067871        0.030041
FIRE:   35 15:07:34    -1065.067871        0.028689
FIRE:   36 15:07:34    -1065.067871        0.026061
FIRE:   37 15:07:34    -1065.068115        0.022299
FIRE:   38 15:07:35    -1065.068115        0.017626
FIRE:   39 15:07:35    -1065.068359        0.012331
FIRE:   40 15:07:35    -1065.068359        0.008716
FIRE:   41 15:07:35    -1065.068604        0.009253
FIRE:   42 15:07:35    -1065.068481        0.010535
FIRE:   43 15:07:35    -1065.068604        0.011564
FIRE:   44 15:07:35    -1065.068726        0.011799
FIRE:   45 15:07:35    -1065.068848        0.010894
FIRE:   46 15:07:35    -1065.068970        0.008658
FIRE:   47 15:07:35    -1065.069092        0.007960
FIRE:   48 15:07:35    -1065.069092        0.007516
FIRE:   49 15:07:35    -1065.069214        0.009148
FIRE:   50 15:07:35    -1065.069214        0.009328
FIRE:   51 15:07:35    -1065.069336        0.006353
FIRE:   52 15:07:35    -1065.069336        0.006054
FIRE:   53 15:07:35    -1065.069336        0.008819
FIRE:   54 15:07:35    -1065.069336        0.007759
FIRE:   55 15:07:35    -1065.069458        0.005788
FIRE:   56 15:07:35    -1065.069458        0.005427
FIRE:   57 15:07:35    -1065.069580        0.005324
FIRE:   58 15:07:35    -1065.069580        0.005222
FIRE:   59 15:07:35    -1065.069458        0.005133
FIRE:   60 15:07:35    -1065.069580        0.005065
FIRE:   61 15:07:35    -1065.069580        0.005016
FIRE:   62 15:07:35    -1065.069580        0.004984
FIRE:   63 15:07:35    -1065.069580        0.004954
FIRE:   64 15:07:35    -1065.069580        0.004887
FIRE:   65 15:07:35    -1065.069702        0.004741
FIRE:   66 15:07:35    -1065.069580        0.004493
FIRE:   67 15:07:35    -1065.069702        0.004144
FIRE:   68 15:07:35    -1065.069702        0.003761
FIRE:   69 15:07:35    -1065.069824        0.003409
FIRE:   70 15:07:35    -1065.069824        0.003050
FIRE:   71 15:07:36    -1065.069824        0.002511
FIRE:   72 15:07:36    -1065.069946        0.002297
FIRE:   73 15:07:36    -1065.069824        0.001493
FIRE:   74 15:07:36    -1065.069946        0.003879
FIRE:   75 15:07:36    -1065.069946        0.002057
FIRE:   76 15:07:36    -1065.069824        0.000722
