      Step     Time          Energy          fmax
FIRE:    0 15:03:27    -1072.485352        0.446312
FIRE:    1 15:03:27    -1072.508423        0.404760
FIRE:    2 15:03:27    -1072.546875        0.325230
FIRE:    3 15:03:27    -1072.588501        0.214987
FIRE:    4 15:03:27    -1072.620239        0.174543
FIRE:    5 15:03:27    -1072.634766        0.149724
FIRE:    6 15:03:27    -1072.635620        0.146897
FIRE:    7 15:03:28    -1072.636475        0.142245
FIRE:    8 15:03:28    -1072.638428        0.133086
FIRE:    9 15:03:28    -1072.640869        0.119697
FIRE:   10 15:03:28    -1072.643921        0.102503
FIRE:   11 15:03:28    -1072.647095        0.085620
FIRE:   12 15:03:28    -1072.650146        0.076018
FIRE:   13 15:03:28    -1072.652588        0.065409
FIRE:   14 15:03:28    -1072.654663        0.052822
FIRE:   15 15:03:28    -1072.655884        0.038403
FIRE:   16 15:03:28    -1072.656494        0.050044
FIRE:   17 15:03:28    -1072.656372        0.049502
FIRE:   18 15:03:28    -1072.656494        0.048421
FIRE:   19 15:03:28    -1072.656616        0.046822
FIRE:   20 15:03:28    -1072.656738        0.044721
FIRE:   21 15:03:28    -1072.656982        0.042148
FIRE:   22 15:03:28    -1072.657227        0.039140
FIRE:   23 15:03:28    -1072.657349        0.035744
FIRE:   24 15:03:28    -1072.657593        0.031600
FIRE:   25 15:03:28    -1072.657959        0.026639
FIRE:   26 15:03:28    -1072.658203        0.026167
FIRE:   27 15:03:28    -1072.658447        0.025910
FIRE:   28 15:03:28    -1072.658691        0.025609
FIRE:   29 15:03:28    -1072.659058        0.025265
FIRE:   30 15:03:28    -1072.659424        0.024884
FIRE:   31 15:03:28    -1072.659668        0.024479
FIRE:   32 15:03:28    -1072.659912        0.024061
FIRE:   33 15:03:28    -1072.660156        0.023640
FIRE:   34 15:03:28    -1072.660645        0.023216
FIRE:   35 15:03:28    -1072.660767        0.022770
FIRE:   36 15:03:28    -1072.660889        0.022253
FIRE:   37 15:03:28    -1072.661011        0.021607
FIRE:   38 15:03:28    -1072.661133        0.020788
FIRE:   39 15:03:28    -1072.661377        0.019769
FIRE:   40 15:03:29    -1072.661865        0.018539
FIRE:   41 15:03:29    -1072.662598        0.017144
FIRE:   42 15:03:29    -1072.663086        0.015704
FIRE:   43 15:03:29    -1072.663818        0.014313
FIRE:   44 15:03:29    -1072.664185        0.012854
FIRE:   45 15:03:29    -1072.664429        0.015252
FIRE:   46 15:03:29    -1072.664795        0.008232
FIRE:   47 15:03:29    -1072.665283        0.010553
FIRE:   48 15:03:29    -1072.665771        0.002906
FIRE:   49 15:03:29    -1072.665527        0.008370
FIRE:   50 15:03:29    -1072.665649        0.006278
FIRE:   51 15:03:29    -1072.665771        0.003263
FIRE:   52 15:03:29    -1072.665649        0.008262
FIRE:   53 15:03:29    -1072.665771        0.007408
FIRE:   54 15:03:29    -1072.665771        0.005792
FIRE:   55 15:03:29    -1072.665771        0.003601
FIRE:   56 15:03:29    -1072.665771        0.001466
FIRE:   57 15:03:29    -1072.665771        0.001795
FIRE:   58 15:03:29    -1072.665771        0.001772
FIRE:   59 15:03:29    -1072.665771        0.001726
FIRE:   60 15:03:29    -1072.665771        0.001658
FIRE:   61 15:03:29    -1072.665649        0.001571
FIRE:   62 15:03:29    -1072.665771        0.001465
FIRE:   63 15:03:29    -1072.665771        0.001343
FIRE:   64 15:03:29    -1072.665771        0.001205
FIRE:   65 15:03:29    -1072.665771        0.001043
FIRE:   66 15:03:29    -1072.665771        0.000855
