      Step     Time          Energy          fmax
FIRE:    0 15:03:30    -1062.779541        0.498940
FIRE:    1 15:03:30    -1062.805908        0.457110
FIRE:    2 15:03:30    -1062.850952        0.376758
FIRE:    3 15:03:30    -1062.901611        0.286254
FIRE:    4 15:03:30    -1062.945312        0.249642
FIRE:    5 15:03:30    -1062.974854        0.202330
FIRE:    6 15:03:30    -1062.991211        0.197189
FIRE:    7 15:03:30    -1063.000488        0.208986
FIRE:    8 15:03:30    -1063.007446        0.187419
FIRE:    9 15:03:30    -1063.010742        0.119657
FIRE:   10 15:03:30    -1063.011963        0.115719
FIRE:   11 15:03:30    -1063.014160        0.107982
FIRE:   12 15:03:30    -1063.017212        0.098101
FIRE:   13 15:03:30    -1063.020752        0.085904
FIRE:   14 15:03:30    -1063.024658        0.077326
FIRE:   15 15:03:30    -1063.028320        0.069180
FIRE:   16 15:03:30    -1063.031616        0.059523
FIRE:   17 15:03:30    -1063.034424        0.047105
FIRE:   18 15:03:30    -1063.036377        0.035497
FIRE:   19 15:03:30    -1063.037231        0.035206
FIRE:   20 15:03:30    -1063.037109        0.046643
FIRE:   21 15:03:30    -1063.037354        0.046321
FIRE:   22 15:03:30    -1063.037354        0.045678
FIRE:   23 15:03:30    -1063.037598        0.044718
FIRE:   24 15:03:30    -1063.037842        0.043443
FIRE:   25 15:03:30    -1063.038086        0.041858
FIRE:   26 15:03:30    -1063.038330        0.039964
FIRE:   27 15:03:30    -1063.038574        0.037765
FIRE:   28 15:03:30    -1063.038818        0.034986
FIRE:   29 15:03:30    -1063.039185        0.031511
FIRE:   30 15:03:30    -1063.039307        0.027218
FIRE:   31 15:03:30    -1063.039551        0.022052
FIRE:   32 15:03:31    -1063.039673        0.020117
FIRE:   33 15:03:31    -1063.039673        0.018824
FIRE:   34 15:03:31    -1063.039795        0.018762
FIRE:   35 15:03:31    -1063.040039        0.016396
FIRE:   36 15:03:31    -1063.040039        0.014031
FIRE:   37 15:03:31    -1063.040283        0.013217
FIRE:   38 15:03:31    -1063.040527        0.013586
FIRE:   39 15:03:31    -1063.040527        0.010359
FIRE:   40 15:03:31    -1063.040527        0.009068
FIRE:   41 15:03:31    -1063.040527        0.008490
FIRE:   42 15:03:31    -1063.040527        0.007545
FIRE:   43 15:03:31    -1063.040649        0.006257
FIRE:   44 15:03:31    -1063.040649        0.005631
FIRE:   45 15:03:31    -1063.040649        0.005572
FIRE:   46 15:03:31    -1063.040771        0.005508
FIRE:   47 15:03:31    -1063.040649        0.005443
FIRE:   48 15:03:31    -1063.040771        0.005376
FIRE:   49 15:03:31    -1063.040771        0.005313
FIRE:   50 15:03:31    -1063.040649        0.005254
FIRE:   51 15:03:31    -1063.040771        0.005202
FIRE:   52 15:03:31    -1063.040771        0.005150
FIRE:   53 15:03:31    -1063.040771        0.005087
FIRE:   54 15:03:31    -1063.040771        0.004985
FIRE:   55 15:03:31    -1063.040771        0.004821
FIRE:   56 15:03:31    -1063.040771        0.004582
FIRE:   57 15:03:31    -1063.040894        0.004265
FIRE:   58 15:03:31    -1063.040894        0.003885
FIRE:   59 15:03:31    -1063.040894        0.003469
FIRE:   60 15:03:31    -1063.041016        0.003026
FIRE:   61 15:03:31    -1063.041016        0.002519
FIRE:   62 15:03:31    -1063.041016        0.001901
FIRE:   63 15:03:31    -1063.041016        0.002801
FIRE:   64 15:03:31    -1063.041016        0.002070
FIRE:   65 15:03:31    -1063.041016        0.001287
FIRE:   66 15:03:32    -1063.041016        0.001216
FIRE:   67 15:03:32    -1063.041016        0.001632
FIRE:   68 15:03:32    -1063.041016        0.001523
FIRE:   69 15:03:32    -1063.041016        0.001315
FIRE:   70 15:03:32    -1063.041016        0.001129
FIRE:   71 15:03:32    -1063.041016        0.001123
FIRE:   72 15:03:32    -1063.041016        0.001116
FIRE:   73 15:03:32    -1063.041016        0.001108
FIRE:   74 15:03:32    -1063.041138        0.001099
FIRE:   75 15:03:32    -1063.041016        0.001089
FIRE:   76 15:03:32    -1063.041016        0.001077
FIRE:   77 15:03:32    -1063.041016        0.001062
FIRE:   78 15:03:32    -1063.041016        0.001044
FIRE:   79 15:03:32    -1063.041016        0.001019
FIRE:   80 15:03:32    -1063.041016        0.000984
