      Step     Time          Energy          fmax
FIRE:    0 14:48:37    -1071.075806        0.381946
FIRE:    1 14:48:37    -1071.089600        0.350010
FIRE:    2 14:48:37    -1071.112915        0.291161
FIRE:    3 14:48:37    -1071.138428        0.213695
FIRE:    4 14:48:37    -1071.159668        0.127030
FIRE:    5 14:48:37    -1071.172363        0.090652
FIRE:    6 14:48:37    -1071.176392        0.099096
FIRE:    7 14:48:37    -1071.176636        0.097287
FIRE:    8 14:48:37    -1071.177368        0.093701
FIRE:    9 14:48:37    -1071.178223        0.088415
FIRE:   10 14:48:37    -1071.179321        0.081540
FIRE:   11 14:48:37    -1071.180664        0.073222
FIRE:   12 14:48:37    -1071.181885        0.063647
FIRE:   13 14:48:37    -1071.183105        0.053048
FIRE:   14 14:48:37    -1071.184326        0.040470
FIRE:   15 14:48:37    -1071.185425        0.030837
FIRE:   16 14:48:37    -1071.186279        0.024333
FIRE:   17 14:48:37    -1071.186768        0.032611
FIRE:   18 14:48:37    -1071.187134        0.037563
FIRE:   19 14:48:37    -1071.187500        0.037830
FIRE:   20 14:48:37    -1071.187744        0.034008
FIRE:   21 14:48:37    -1071.187866        0.033228
FIRE:   22 14:48:37    -1071.187988        0.026257
FIRE:   23 14:48:37    -1071.187988        0.025658
FIRE:   24 14:48:37    -1071.187988        0.024477
FIRE:   25 14:48:37    -1071.188110        0.022746
FIRE:   26 14:48:37    -1071.188232        0.020518
FIRE:   27 14:48:37    -1071.188232        0.017855
FIRE:   28 14:48:38    -1071.188354        0.014843
FIRE:   29 14:48:38    -1071.188477        0.011580
FIRE:   30 14:48:38    -1071.188477        0.007830
FIRE:   31 14:48:38    -1071.188477        0.006857
FIRE:   32 14:48:38    -1071.188721        0.008053
FIRE:   33 14:48:38    -1071.188721        0.008374
FIRE:   34 14:48:38    -1071.188721        0.007517
FIRE:   35 14:48:38    -1071.188721        0.007378
FIRE:   36 14:48:38    -1071.188599        0.007104
FIRE:   37 14:48:38    -1071.188721        0.006696
FIRE:   38 14:48:38    -1071.188721        0.006169
FIRE:   39 14:48:38    -1071.188721        0.005528
FIRE:   40 14:48:38    -1071.188721        0.004788
FIRE:   41 14:48:38    -1071.188721        0.003964
FIRE:   42 14:48:38    -1071.188721        0.002978
FIRE:   43 14:48:38    -1071.188721        0.001830
FIRE:   44 14:48:38    -1071.188721        0.001553
FIRE:   45 14:48:38    -1071.188721        0.001569
FIRE:   46 14:48:38    -1071.188721        0.001569
FIRE:   47 14:48:38    -1071.188721        0.001567
FIRE:   48 14:48:38    -1071.188721        0.001566
FIRE:   49 14:48:38    -1071.188721        0.001564
FIRE:   50 14:48:38    -1071.188843        0.001561
FIRE:   51 14:48:38    -1071.188843        0.001558
FIRE:   52 14:48:38    -1071.188721        0.001554
FIRE:   53 14:48:38    -1071.188721        0.001550
FIRE:   54 14:48:38    -1071.188721        0.001544
FIRE:   55 14:48:38    -1071.188721        0.001537
FIRE:   56 14:48:38    -1071.188721        0.001528
FIRE:   57 14:48:38    -1071.188721        0.001518
FIRE:   58 14:48:38    -1071.188721        0.001506
FIRE:   59 14:48:38    -1071.188721        0.001493
FIRE:   60 14:48:38    -1071.188721        0.001476
FIRE:   61 14:48:38    -1071.188721        0.001459
FIRE:   62 14:48:39    -1071.188721        0.001439
FIRE:   63 14:48:39    -1071.188843        0.001418
FIRE:   64 14:48:39    -1071.188721        0.001394
FIRE:   65 14:48:39    -1071.188721        0.001365
FIRE:   66 14:48:39    -1071.188721        0.001328
FIRE:   67 14:48:39    -1071.188721        0.001281
FIRE:   68 14:48:39    -1071.188721        0.001220
FIRE:   69 14:48:39    -1071.188721        0.001142
FIRE:   70 14:48:39    -1071.188843        0.001048
FIRE:   71 14:48:39    -1071.188721        0.000937
      Step     Time          Energy          fmax
FIRE:    0 14:57:51    -1071.075806        0.381946
FIRE:    1 14:57:51    -1071.089722        0.350010
FIRE:    2 14:57:51    -1071.112915        0.291161
FIRE:    3 14:57:51    -1071.138428        0.213695
FIRE:    4 14:57:51    -1071.159668        0.127030
FIRE:    5 14:57:51    -1071.172363        0.090652
FIRE:    6 14:57:51    -1071.176392        0.099096
FIRE:    7 14:57:51    -1071.176636        0.097287
FIRE:    8 14:57:51    -1071.177368        0.093701
