      Step     Time          Energy          fmax
FIRE:    0 14:49:02    -1061.290039        0.887042
FIRE:    1 14:49:02    -1061.317383        0.819178
FIRE:    2 14:49:02    -1061.364258        0.696002
FIRE:    3 14:49:02    -1061.418213        0.537763
FIRE:    4 14:49:02    -1061.466919        0.362391
FIRE:    5 14:49:02    -1061.502319        0.196166
FIRE:    6 14:49:02    -1061.522217        0.107320
FIRE:    7 14:49:02    -1061.530762        0.120379
FIRE:    8 14:49:02    -1061.534302        0.168405
FIRE:    9 14:49:02    -1061.535400        0.165174
FIRE:   10 14:49:02    -1061.537354        0.158772
FIRE:   11 14:49:02    -1061.540161        0.149326
FIRE:   12 14:49:02    -1061.543701        0.137026
FIRE:   13 14:49:02    -1061.547363        0.122133
FIRE:   14 14:49:02    -1061.551147        0.104978
FIRE:   15 14:49:02    -1061.554688        0.085979
FIRE:   16 14:49:02    -1061.557861        0.080068
FIRE:   17 14:49:02    -1061.560791        0.072089
FIRE:   18 14:49:02    -1061.562622        0.060981
FIRE:   19 14:49:02    -1061.563477        0.046212
FIRE:   20 14:49:02    -1061.563477        0.054858
FIRE:   21 14:49:02    -1061.563721        0.054019
FIRE:   22 14:49:02    -1061.563965        0.052353
FIRE:   23 14:49:02    -1061.564087        0.050938
FIRE:   24 14:49:03    -1061.564453        0.049199
FIRE:   25 14:49:03    -1061.564941        0.047077
FIRE:   26 14:49:03    -1061.565186        0.044599
FIRE:   27 14:49:03    -1061.565674        0.041806
FIRE:   28 14:49:03    -1061.566162        0.038403
FIRE:   29 14:49:03    -1061.566528        0.034334
FIRE:   30 14:49:03    -1061.566895        0.029590
FIRE:   31 14:49:03    -1061.567261        0.024256
FIRE:   32 14:49:03    -1061.567627        0.022144
FIRE:   33 14:49:03    -1061.567627        0.022286
FIRE:   34 14:49:03    -1061.567871        0.022641
FIRE:   35 14:49:03    -1061.568237        0.023737
FIRE:   36 14:49:03    -1061.568604        0.022085
FIRE:   37 14:49:03    -1061.569092        0.021715
FIRE:   38 14:49:03    -1061.569458        0.021156
FIRE:   39 14:49:03    -1061.569702        0.020409
FIRE:   40 14:49:03    -1061.569946        0.019536
FIRE:   41 14:49:03    -1061.570068        0.018611
FIRE:   42 14:49:03    -1061.570435        0.017665
FIRE:   43 14:49:03    -1061.570801        0.016651
FIRE:   44 14:49:03    -1061.571289        0.015408
FIRE:   45 14:49:03    -1061.571777        0.015444
FIRE:   46 14:49:03    -1061.572388        0.017448
FIRE:   47 14:49:03    -1061.572754        0.013556
FIRE:   48 14:49:03    -1061.573242        0.009506
FIRE:   49 14:49:03    -1061.573364        0.009349
FIRE:   50 14:49:03    -1061.573486        0.007941
FIRE:   51 14:49:03    -1061.573608        0.006423
FIRE:   52 14:49:03    -1061.573608        0.004732
FIRE:   53 14:49:03    -1061.573608        0.004707
FIRE:   54 14:49:03    -1061.573730        0.004506
FIRE:   55 14:49:03    -1061.573730        0.004119
FIRE:   56 14:49:03    -1061.573730        0.003573
FIRE:   57 14:49:03    -1061.573730        0.003326
FIRE:   58 14:49:04    -1061.573730        0.003340
FIRE:   59 14:49:04    -1061.573730        0.003349
FIRE:   60 14:49:04    -1061.573730        0.003348
FIRE:   61 14:49:04    -1061.573730        0.003333
FIRE:   62 14:49:04    -1061.573730        0.003303
FIRE:   63 14:49:04    -1061.573730        0.003253
FIRE:   64 14:49:04    -1061.573730        0.003182
FIRE:   65 14:49:04    -1061.573730        0.003090
FIRE:   66 14:49:04    -1061.573730        0.002981
FIRE:   67 14:49:04    -1061.573730        0.002863
FIRE:   68 14:49:04    -1061.573853        0.002862
FIRE:   69 14:49:04    -1061.573853        0.002860
FIRE:   70 14:49:04    -1061.573730        0.002856
FIRE:   71 14:49:04    -1061.573730        0.002849
FIRE:   72 14:49:04    -1061.573730        0.002838
FIRE:   73 14:49:04    -1061.573730        0.002821
FIRE:   74 14:49:04    -1061.573730        0.002797
FIRE:   75 14:49:04    -1061.573730        0.002762
FIRE:   76 14:49:04    -1061.573730        0.002715
FIRE:   77 14:49:04    -1061.573730        0.002652
FIRE:   78 14:49:04    -1061.573853        0.002573
FIRE:   79 14:49:04    -1061.573853        0.002477
FIRE:   80 14:49:04    -1061.573730        0.002364
FIRE:   81 14:49:04    -1061.573730        0.002240
FIRE:   82 14:49:04    -1061.573730        0.002110
FIRE:   83 14:49:04    -1061.573853        0.001971
FIRE:   84 14:49:04    -1061.573853        0.001810
FIRE:   85 14:49:04    -1061.573853        0.001608
FIRE:   86 14:49:04    -1061.573853        0.001360
FIRE:   87 14:49:04    -1061.573853        0.001082
FIRE:   88 14:49:04    -1061.573853        0.000801
      Step     Time          Energy          fmax
FIRE:    0 14:58:16    -1061.290039        0.887042
FIRE:    1 14:58:16    -1061.317383        0.819178
FIRE:    2 14:58:16    -1061.364258        0.696002
FIRE:    3 14:58:16    -1061.418213        0.537764
FIRE:    4 14:58:16    -1061.466919        0.362390
FIRE:    5 14:58:16    -1061.502319        0.196166
FIRE:    6 14:58:16    -1061.522217        0.107319
FIRE:    7 14:58:16    -1061.530762        0.120378
FIRE:    8 14:58:16    -1061.534302        0.168405
FIRE:    9 14:58:16    -1061.535400        0.165174
FIRE:   10 14:58:16    -1061.537354        0.158771
FIRE:   11 14:58:16    -1061.540161        0.149325
FIRE:   12 14:58:16    -1061.543701        0.137025
FIRE:   13 14:58:16    -1061.547363        0.122133
FIRE:   14 14:58:16    -1061.551147        0.104978
FIRE:   15 14:58:16    -1061.554688        0.085979
FIRE:   16 14:58:16    -1061.557983        0.080069
FIRE:   17 14:58:16    -1061.560791        0.072089
FIRE:   18 14:58:16    -1061.562622        0.060980
FIRE:   19 14:58:16    -1061.563477        0.046211
FIRE:   20 14:58:16    -1061.563477        0.054858
FIRE:   21 14:58:17    -1061.563721        0.054019
FIRE:   22 14:58:17    -1061.563843        0.052353
FIRE:   23 14:58:17    -1061.564087        0.050938
FIRE:   24 14:58:17    -1061.564453        0.049199
FIRE:   25 14:58:17    -1061.564941        0.047076
FIRE:   26 14:58:17    -1061.565186        0.044599
FIRE:   27 14:58:17    -1061.565674        0.041806
FIRE:   28 14:58:17    -1061.566040        0.038403
FIRE:   29 14:58:17    -1061.566528        0.034334
FIRE:   30 14:58:17    -1061.566895        0.029590
FIRE:   31 14:58:17    -1061.567261        0.024256
FIRE:   32 14:58:17    -1061.567627        0.022144
FIRE:   33 14:58:17    -1061.567627        0.022286
FIRE:   34 14:58:17    -1061.567871        0.022641
FIRE:   35 14:58:17    -1061.568237        0.023737
FIRE:   36 14:58:17    -1061.568604        0.022085
FIRE:   37 14:58:17    -1061.569092        0.021715
FIRE:   38 14:58:17    -1061.569458        0.021156
FIRE:   39 14:58:17    -1061.569702        0.020409
FIRE:   40 14:58:17    -1061.569946        0.019536
FIRE:   41 14:58:17    -1061.570068        0.018611
FIRE:   42 14:58:17    -1061.570435        0.017665
FIRE:   43 14:58:17    -1061.570801        0.016651
FIRE:   44 14:58:17    -1061.571289        0.015408
FIRE:   45 14:58:17    -1061.571777        0.015445
FIRE:   46 14:58:17    -1061.572388        0.017449
FIRE:   47 14:58:17    -1061.572754        0.013555
FIRE:   48 14:58:17    -1061.573242        0.009507
FIRE:   49 14:58:17    -1061.573364        0.009348
FIRE:   50 14:58:17    -1061.573486        0.007942
FIRE:   51 14:58:17    -1061.573608        0.006423
FIRE:   52 14:58:17    -1061.573608        0.004732
FIRE:   53 14:58:17    -1061.573608        0.004708
FIRE:   54 14:58:17    -1061.573730        0.004506
FIRE:   55 14:58:18    -1061.573730        0.004119
FIRE:   56 14:58:18    -1061.573730        0.003573
FIRE:   57 14:58:18    -1061.573730        0.003326
FIRE:   58 14:58:18    -1061.573730        0.003340
FIRE:   59 14:58:18    -1061.573730        0.003349
FIRE:   60 14:58:18    -1061.573730        0.003348
FIRE:   61 14:58:18    -1061.573730        0.003333
FIRE:   62 14:58:18    -1061.573730        0.003303
FIRE:   63 14:58:18    -1061.573730        0.003253
FIRE:   64 14:58:18    -1061.573730        0.003182
FIRE:   65 14:58:18    -1061.573730        0.003090
FIRE:   66 14:58:18    -1061.573730        0.002981
FIRE:   67 14:58:18    -1061.573730        0.002863
FIRE:   68 14:58:18    -1061.573853        0.002862
FIRE:   69 14:58:18    -1061.573853        0.002860
FIRE:   70 14:58:18    -1061.573730        0.002856
FIRE:   71 14:58:18    -1061.573730        0.002849
FIRE:   72 14:58:18    -1061.573730        0.002838
FIRE:   73 14:58:18    -1061.573730        0.002821
FIRE:   74 14:58:18    -1061.573730        0.002797
FIRE:   75 14:58:18    -1061.573730        0.002762
FIRE:   76 14:58:18    -1061.573730        0.002715
FIRE:   77 14:58:18    -1061.573730        0.002652
FIRE:   78 14:58:18    -1061.573853        0.002573
FIRE:   79 14:58:18    -1061.573853        0.002477
FIRE:   80 14:58:18    -1061.573730        0.002364
FIRE:   81 14:58:18    -1061.573730        0.002240
FIRE:   82 14:58:18    -1061.573730        0.002110
FIRE:   83 14:58:18    -1061.573853        0.001971
FIRE:   84 14:58:18    -1061.573853        0.001810
FIRE:   85 14:58:18    -1061.573853        0.001608
FIRE:   86 14:58:18    -1061.573853        0.001361
FIRE:   87 14:58:18    -1061.573853        0.001082
FIRE:   88 14:58:19    -1061.573853        0.000801
