      Step     Time          Energy          fmax
FIRE:    0 14:49:11    -1073.247681        0.686072
FIRE:    1 14:49:11    -1073.260254        0.597061
FIRE:    2 14:49:11    -1073.279541        0.435120
FIRE:    3 14:49:11    -1073.297119        0.230599
FIRE:    4 14:49:11    -1073.307373        0.155975
FIRE:    5 14:49:11    -1073.309326        0.164357
FIRE:    6 14:49:11    -1073.309570        0.160676
FIRE:    7 14:49:11    -1073.310547        0.153431
FIRE:    8 14:49:11    -1073.311523        0.142859
FIRE:    9 14:49:11    -1073.312744        0.129302
FIRE:   10 14:49:11    -1073.314209        0.113219
FIRE:   11 14:49:11    -1073.315430        0.095175
FIRE:   12 14:49:11    -1073.316528        0.075855
FIRE:   13 14:49:11    -1073.317627        0.054035
FIRE:   14 14:49:11    -1073.318481        0.055004
FIRE:   15 14:49:11    -1073.318970        0.081222
FIRE:   16 14:49:11    -1073.319458        0.097369
FIRE:   17 14:49:11    -1073.320068        0.099495
FIRE:   18 14:49:11    -1073.320557        0.084976
FIRE:   19 14:49:11    -1073.321167        0.053117
FIRE:   20 14:49:11    -1073.321533        0.020235
FIRE:   21 14:49:11    -1073.321411        0.019841
FIRE:   22 14:49:11    -1073.321533        0.019064
FIRE:   23 14:49:11    -1073.321533        0.017926
FIRE:   24 14:49:11    -1073.321533        0.016462
FIRE:   25 14:49:11    -1073.321533        0.014714
FIRE:   26 14:49:11    -1073.321655        0.012738
FIRE:   27 14:49:11    -1073.321655        0.010600
FIRE:   28 14:49:11    -1073.321777        0.008144
FIRE:   29 14:49:11    -1073.321777        0.009058
FIRE:   30 14:49:12    -1073.321777        0.010108
FIRE:   31 14:49:12    -1073.321777        0.009718
FIRE:   32 14:49:12    -1073.321777        0.007545
FIRE:   33 14:49:12    -1073.321777        0.004846
FIRE:   34 14:49:12    -1073.321777        0.004742
FIRE:   35 14:49:12    -1073.321777        0.004536
FIRE:   36 14:49:12    -1073.321777        0.004468
FIRE:   37 14:49:12    -1073.321777        0.004463
FIRE:   38 14:49:12    -1073.321777        0.004458
FIRE:   39 14:49:12    -1073.321777        0.004451
FIRE:   40 14:49:12    -1073.321777        0.004442
FIRE:   41 14:49:12    -1073.321777        0.004429
FIRE:   42 14:49:12    -1073.321777        0.004412
FIRE:   43 14:49:12    -1073.321899        0.004388
FIRE:   44 14:49:12    -1073.321777        0.004355
FIRE:   45 14:49:12    -1073.321777        0.004311
FIRE:   46 14:49:12    -1073.321899        0.004254
FIRE:   47 14:49:12    -1073.321777        0.004184
FIRE:   48 14:49:12    -1073.321777        0.004100
FIRE:   49 14:49:12    -1073.321777        0.003999
FIRE:   50 14:49:12    -1073.321777        0.003882
FIRE:   51 14:49:12    -1073.322021        0.003747
FIRE:   52 14:49:12    -1073.321899        0.003596
FIRE:   53 14:49:12    -1073.321777        0.003428
FIRE:   54 14:49:12    -1073.321777        0.003239
FIRE:   55 14:49:12    -1073.321899        0.003014
FIRE:   56 14:49:12    -1073.322021        0.002734
FIRE:   57 14:49:12    -1073.322021        0.002386
FIRE:   58 14:49:12    -1073.322021        0.001970
FIRE:   59 14:49:12    -1073.322021        0.002371
FIRE:   60 14:49:12    -1073.322021        0.001113
FIRE:   61 14:49:12    -1073.322021        0.002308
FIRE:   62 14:49:12    -1073.322021        0.001480
FIRE:   63 14:49:12    -1073.322021        0.000946
      Step     Time          Energy          fmax
FIRE:    0 14:58:26    -1073.247681        0.686072
FIRE:    1 14:58:26    -1073.260254        0.597061
FIRE:    2 14:58:26    -1073.279541        0.435120
FIRE:    3 14:58:26    -1073.297119        0.230599
FIRE:    4 14:58:26    -1073.307373        0.155975
FIRE:    5 14:58:26    -1073.309326        0.164356
FIRE:    6 14:58:26    -1073.309570        0.160676
FIRE:    7 14:58:26    -1073.310547        0.153431
FIRE:    8 14:58:26    -1073.311523        0.142859
FIRE:    9 14:58:26    -1073.312744        0.129302
FIRE:   10 14:58:26    -1073.314209        0.113219
FIRE:   11 14:58:26    -1073.315430        0.095175
FIRE:   12 14:58:26    -1073.316528        0.075855
FIRE:   13 14:58:26    -1073.317627        0.054035
FIRE:   14 14:58:26    -1073.318481        0.055004
FIRE:   15 14:58:26    -1073.318970        0.081222
FIRE:   16 14:58:26    -1073.319458        0.097369
FIRE:   17 14:58:26    -1073.320068        0.099495
FIRE:   18 14:58:26    -1073.320557        0.084976
FIRE:   19 14:58:27    -1073.321167        0.053117
FIRE:   20 14:58:27    -1073.321411        0.020235
FIRE:   21 14:58:27    -1073.321411        0.019841
FIRE:   22 14:58:27    -1073.321533        0.019064
FIRE:   23 14:58:27    -1073.321533        0.017926
FIRE:   24 14:58:27    -1073.321533        0.016462
FIRE:   25 14:58:27    -1073.321533        0.014714
FIRE:   26 14:58:27    -1073.321655        0.012738
FIRE:   27 14:58:27    -1073.321655        0.010600
FIRE:   28 14:58:27    -1073.321777        0.008144
FIRE:   29 14:58:27    -1073.321777        0.009058
FIRE:   30 14:58:27    -1073.321777        0.010108
FIRE:   31 14:58:27    -1073.321777        0.009718
FIRE:   32 14:58:27    -1073.321777        0.007545
FIRE:   33 14:58:27    -1073.321777        0.004846
FIRE:   34 14:58:27    -1073.321777        0.004742
FIRE:   35 14:58:27    -1073.321777        0.004536
FIRE:   36 14:58:27    -1073.321777        0.004468
FIRE:   37 14:58:27    -1073.321777        0.004463
FIRE:   38 14:58:27    -1073.321777        0.004458
FIRE:   39 14:58:27    -1073.321777        0.004451
FIRE:   40 14:58:27    -1073.321777        0.004442
FIRE:   41 14:58:27    -1073.321777        0.004429
FIRE:   42 14:58:27    -1073.321777        0.004412
FIRE:   43 14:58:27    -1073.321899        0.004388
FIRE:   44 14:58:27    -1073.321777        0.004355
FIRE:   45 14:58:27    -1073.321777        0.004311
FIRE:   46 14:58:27    -1073.321899        0.004254
FIRE:   47 14:58:27    -1073.321777        0.004184
FIRE:   48 14:58:27    -1073.321777        0.004100
FIRE:   49 14:58:27    -1073.321777        0.003999
FIRE:   50 14:58:27    -1073.321777        0.003882
FIRE:   51 14:58:27    -1073.321899        0.003747
FIRE:   52 14:58:27    -1073.321777        0.003596
FIRE:   53 14:58:28    -1073.321899        0.003428
FIRE:   54 14:58:28    -1073.321777        0.003239
FIRE:   55 14:58:28    -1073.321899        0.003014
FIRE:   56 14:58:28    -1073.322021        0.002734
FIRE:   57 14:58:28    -1073.322021        0.002386
FIRE:   58 14:58:28    -1073.322021        0.001970
FIRE:   59 14:58:28    -1073.321899        0.002370
FIRE:   60 14:58:28    -1073.322021        0.001114
FIRE:   61 14:58:28    -1073.322021        0.002310
FIRE:   62 14:58:28    -1073.322021        0.001485
FIRE:   63 14:58:28    -1073.322021        0.000949
