      Step     Time          Energy          fmax
FIRE:    0 14:49:07    -1072.088745        0.087546
FIRE:    1 14:49:07    -1072.090332        0.082219
FIRE:    2 14:49:07    -1072.093262        0.071985
FIRE:    3 14:49:07    -1072.096680        0.061567
FIRE:    4 14:49:07    -1072.099609        0.050667
FIRE:    5 14:49:07    -1072.101807        0.037154
FIRE:    6 14:49:07    -1072.102783        0.021261
FIRE:    7 14:49:07    -1072.102905        0.020866
FIRE:    8 14:49:07    -1072.102905        0.020483
FIRE:    9 14:49:07    -1072.103027        0.019726
FIRE:   10 14:49:07    -1072.103149        0.018609
FIRE:   11 14:49:07    -1072.103271        0.017157
FIRE:   12 14:49:07    -1072.103516        0.015400
FIRE:   13 14:49:07    -1072.103760        0.013372
FIRE:   14 14:49:08    -1072.103882        0.011121
FIRE:   15 14:49:08    -1072.104004        0.009192
FIRE:   16 14:49:08    -1072.104126        0.006966
FIRE:   17 14:49:08    -1072.104126        0.004649
FIRE:   18 14:49:08    -1072.104126        0.007305
FIRE:   19 14:49:08    -1072.104248        0.007228
FIRE:   20 14:49:08    -1072.104248        0.007071
FIRE:   21 14:49:08    -1072.104248        0.006840
FIRE:   22 14:49:08    -1072.104248        0.006534
FIRE:   23 14:49:08    -1072.104126        0.006160
FIRE:   24 14:49:08    -1072.104248        0.005721
FIRE:   25 14:49:08    -1072.104248        0.005229
FIRE:   26 14:49:08    -1072.104248        0.004763
FIRE:   27 14:49:08    -1072.104248        0.004199
FIRE:   28 14:49:08    -1072.104248        0.003531
FIRE:   29 14:49:08    -1072.104248        0.002760
FIRE:   30 14:49:08    -1072.104248        0.002260
FIRE:   31 14:49:08    -1072.104248        0.002287
FIRE:   32 14:49:08    -1072.104370        0.002181
FIRE:   33 14:49:08    -1072.104248        0.002081
FIRE:   34 14:49:08    -1072.104248        0.002608
FIRE:   35 14:49:08    -1072.104248        0.002719
FIRE:   36 14:49:08    -1072.104248        0.002356
FIRE:   37 14:49:08    -1072.104248        0.001510
FIRE:   38 14:49:08    -1072.104248        0.001476
FIRE:   39 14:49:08    -1072.104248        0.001407
FIRE:   40 14:49:08    -1072.104248        0.001305
FIRE:   41 14:49:08    -1072.104370        0.001174
FIRE:   42 14:49:08    -1072.104248        0.001016
FIRE:   43 14:49:08    -1072.104248        0.000896
      Step     Time          Energy          fmax
FIRE:    0 14:58:22    -1072.088623        0.087546
FIRE:    1 14:58:22    -1072.090332        0.082220
FIRE:    2 14:58:22    -1072.093262        0.071985
FIRE:    3 14:58:22    -1072.096680        0.061567
FIRE:    4 14:58:22    -1072.099609        0.050667
FIRE:    5 14:58:22    -1072.101807        0.037154
FIRE:    6 14:58:22    -1072.102783        0.021261
FIRE:    7 14:58:22    -1072.102783        0.020866
FIRE:    8 14:58:22    -1072.102905        0.020483
FIRE:    9 14:58:22    -1072.103027        0.019726
FIRE:   10 14:58:22    -1072.103149        0.018609
FIRE:   11 14:58:22    -1072.103271        0.017158
FIRE:   12 14:58:22    -1072.103516        0.015400
FIRE:   13 14:58:22    -1072.103760        0.013372
FIRE:   14 14:58:22    -1072.103882        0.011121
FIRE:   15 14:58:22    -1072.104004        0.009192
FIRE:   16 14:58:22    -1072.104004        0.006966
FIRE:   17 14:58:22    -1072.104126        0.004649
FIRE:   18 14:58:22    -1072.104126        0.007305
FIRE:   19 14:58:22    -1072.104248        0.007228
FIRE:   20 14:58:22    -1072.104248        0.007071
FIRE:   21 14:58:22    -1072.104248        0.006839
FIRE:   22 14:58:23    -1072.104248        0.006534
FIRE:   23 14:58:23    -1072.104126        0.006160
FIRE:   24 14:58:23    -1072.104248        0.005721
FIRE:   25 14:58:23    -1072.104248        0.005229
FIRE:   26 14:58:23    -1072.104248        0.004763
FIRE:   27 14:58:23    -1072.104248        0.004199
FIRE:   28 14:58:23    -1072.104248        0.003531
FIRE:   29 14:58:23    -1072.104248        0.002760
FIRE:   30 14:58:23    -1072.104248        0.002260
FIRE:   31 14:58:23    -1072.104248        0.002287
FIRE:   32 14:58:23    -1072.104370        0.002181
FIRE:   33 14:58:23    -1072.104248        0.002082
FIRE:   34 14:58:23    -1072.104248        0.002608
FIRE:   35 14:58:23    -1072.104248        0.002719
FIRE:   36 14:58:23    -1072.104248        0.002356
FIRE:   37 14:58:23    -1072.104248        0.001510
FIRE:   38 14:58:23    -1072.104248        0.001476
FIRE:   39 14:58:23    -1072.104248        0.001407
FIRE:   40 14:58:23    -1072.104248        0.001305
FIRE:   41 14:58:23    -1072.104370        0.001174
FIRE:   42 14:58:23    -1072.104248        0.001016
FIRE:   43 14:58:23    -1072.104248        0.000897
