      Step     Time          Energy          fmax
FIRE:    0 14:49:19    -1062.290771        0.312701
FIRE:    1 14:49:19    -1062.299561        0.297265
FIRE:    2 14:49:19    -1062.315552        0.267665
FIRE:    3 14:49:19    -1062.335693        0.226433
FIRE:    4 14:49:19    -1062.356445        0.177283
FIRE:    5 14:49:19    -1062.374878        0.125087
FIRE:    6 14:49:19    -1062.389282        0.085784
FIRE:    7 14:49:19    -1062.399536        0.083602
FIRE:    8 14:49:19    -1062.406860        0.083315
FIRE:    9 14:49:19    -1062.411499        0.068864
FIRE:   10 14:49:19    -1062.413208        0.062948
FIRE:   11 14:49:19    -1062.413574        0.061340
FIRE:   12 14:49:19    -1062.414307        0.058177
FIRE:   13 14:49:19    -1062.415405        0.053562
FIRE:   14 14:49:19    -1062.416626        0.047652
FIRE:   15 14:49:19    -1062.417969        0.040653
FIRE:   16 14:49:19    -1062.419189        0.032831
FIRE:   17 14:49:19    -1062.420288        0.024536
FIRE:   18 14:49:19    -1062.421265        0.020209
FIRE:   19 14:49:19    -1062.421997        0.019668
FIRE:   20 14:49:19    -1062.422241        0.019068
FIRE:   21 14:49:19    -1062.422363        0.019065
FIRE:   22 14:49:19    -1062.422241        0.019061
FIRE:   23 14:49:19    -1062.422241        0.019053
FIRE:   24 14:49:19    -1062.422363        0.019043
FIRE:   25 14:49:19    -1062.422363        0.019030
FIRE:   26 14:49:19    -1062.422363        0.019014
FIRE:   27 14:49:19    -1062.422485        0.018994
FIRE:   28 14:49:19    -1062.422485        0.018967
FIRE:   29 14:49:19    -1062.422607        0.018930
FIRE:   30 14:49:20    -1062.422607        0.018879
FIRE:   31 14:49:20    -1062.422729        0.018809
FIRE:   32 14:49:20    -1062.422729        0.018713
FIRE:   33 14:49:20    -1062.422852        0.018583
FIRE:   34 14:49:20    -1062.422852        0.018408
FIRE:   35 14:49:20    -1062.422974        0.018177
FIRE:   36 14:49:20    -1062.423096        0.017881
FIRE:   37 14:49:20    -1062.423218        0.017507
FIRE:   38 14:49:20    -1062.423340        0.017044
FIRE:   39 14:49:20    -1062.423584        0.016480
FIRE:   40 14:49:20    -1062.423828        0.015809
FIRE:   41 14:49:20    -1062.423950        0.015027
FIRE:   42 14:49:20    -1062.424194        0.014127
FIRE:   43 14:49:20    -1062.424438        0.013081
FIRE:   44 14:49:20    -1062.424805        0.011833
FIRE:   45 14:49:20    -1062.425049        0.010316
FIRE:   46 14:49:20    -1062.425415        0.008509
FIRE:   47 14:49:20    -1062.425537        0.006445
FIRE:   48 14:49:20    -1062.425781        0.004194
FIRE:   49 14:49:20    -1062.425903        0.002194
FIRE:   50 14:49:20    -1062.425781        0.002129
FIRE:   51 14:49:20    -1062.426025        0.001751
FIRE:   52 14:49:20    -1062.425781        0.001662
FIRE:   53 14:49:20    -1062.425903        0.001620
FIRE:   54 14:49:20    -1062.426025        0.001568
FIRE:   55 14:49:20    -1062.425903        0.001567
FIRE:   56 14:49:20    -1062.425903        0.001563
FIRE:   57 14:49:20    -1062.426025        0.001558
FIRE:   58 14:49:20    -1062.425903        0.001551
FIRE:   59 14:49:20    -1062.426025        0.001541
FIRE:   60 14:49:20    -1062.425903        0.001529
FIRE:   61 14:49:20    -1062.425903        0.001513
FIRE:   62 14:49:20    -1062.425903        0.001494
FIRE:   63 14:49:20    -1062.425903        0.001470
FIRE:   64 14:49:21    -1062.425781        0.001440
FIRE:   65 14:49:21    -1062.425903        0.001405
FIRE:   66 14:49:21    -1062.426025        0.001362
FIRE:   67 14:49:21    -1062.426025        0.001311
FIRE:   68 14:49:21    -1062.426025        0.001251
FIRE:   69 14:49:21    -1062.425903        0.001180
FIRE:   70 14:49:21    -1062.425903        0.001096
FIRE:   71 14:49:21    -1062.425903        0.000996
      Step     Time          Energy          fmax
FIRE:    0 14:58:34    -1062.290771        0.312701
FIRE:    1 14:58:34    -1062.299561        0.297265
FIRE:    2 14:58:34    -1062.315552        0.267665
FIRE:    3 14:58:34    -1062.335693        0.226433
FIRE:    4 14:58:34    -1062.356445        0.177283
FIRE:    5 14:58:34    -1062.374878        0.125087
FIRE:    6 14:58:34    -1062.389282        0.085783
FIRE:    7 14:58:34    -1062.399536        0.083602
FIRE:    8 14:58:34    -1062.406860        0.083315
FIRE:    9 14:58:34    -1062.411499        0.068864
FIRE:   10 14:58:34    -1062.413208        0.062948
FIRE:   11 14:58:34    -1062.413574        0.061340
FIRE:   12 14:58:34    -1062.414307        0.058177
FIRE:   13 14:58:34    -1062.415405        0.053562
FIRE:   14 14:58:34    -1062.416504        0.047652
FIRE:   15 14:58:34    -1062.417969        0.040654
FIRE:   16 14:58:34    -1062.419189        0.032832
FIRE:   17 14:58:34    -1062.420288        0.024536
FIRE:   18 14:58:35    -1062.421265        0.020209
FIRE:   19 14:58:35    -1062.421875        0.019668
FIRE:   20 14:58:35    -1062.422241        0.019068
FIRE:   21 14:58:35    -1062.422241        0.019065
FIRE:   22 14:58:35    -1062.422241        0.019061
FIRE:   23 14:58:35    -1062.422241        0.019054
FIRE:   24 14:58:35    -1062.422363        0.019043
FIRE:   25 14:58:35    -1062.422363        0.019030
FIRE:   26 14:58:35    -1062.422363        0.019014
FIRE:   27 14:58:35    -1062.422485        0.018994
FIRE:   28 14:58:35    -1062.422485        0.018967
FIRE:   29 14:58:35    -1062.422607        0.018930
FIRE:   30 14:58:35    -1062.422607        0.018879
FIRE:   31 14:58:35    -1062.422729        0.018809
FIRE:   32 14:58:35    -1062.422729        0.018713
FIRE:   33 14:58:35    -1062.422852        0.018583
FIRE:   34 14:58:35    -1062.422852        0.018408
FIRE:   35 14:58:35    -1062.422974        0.018178
FIRE:   36 14:58:35    -1062.423096        0.017881
FIRE:   37 14:58:35    -1062.423218        0.017507
FIRE:   38 14:58:35    -1062.423340        0.017044
FIRE:   39 14:58:35    -1062.423584        0.016480
FIRE:   40 14:58:35    -1062.423828        0.015809
FIRE:   41 14:58:35    -1062.423950        0.015027
FIRE:   42 14:58:35    -1062.424194        0.014127
FIRE:   43 14:58:35    -1062.424438        0.013081
FIRE:   44 14:58:35    -1062.424805        0.011833
FIRE:   45 14:58:35    -1062.425049        0.010316
FIRE:   46 14:58:35    -1062.425415        0.008509
FIRE:   47 14:58:35    -1062.425537        0.006445
FIRE:   48 14:58:35    -1062.425781        0.004194
FIRE:   49 14:58:35    -1062.425903        0.002193
FIRE:   50 14:58:35    -1062.425781        0.002129
FIRE:   51 14:58:36    -1062.426025        0.001750
FIRE:   52 14:58:36    -1062.425781        0.001662
FIRE:   53 14:58:36    -1062.426025        0.001620
FIRE:   54 14:58:36    -1062.426025        0.001568
FIRE:   55 14:58:36    -1062.426025        0.001567
FIRE:   56 14:58:36    -1062.425781        0.001563
FIRE:   57 14:58:36    -1062.425903        0.001558
FIRE:   58 14:58:36    -1062.425903        0.001551
FIRE:   59 14:58:36    -1062.426025        0.001541
FIRE:   60 14:58:36    -1062.425903        0.001529
FIRE:   61 14:58:36    -1062.425903        0.001513
FIRE:   62 14:58:36    -1062.425903        0.001494
FIRE:   63 14:58:36    -1062.425903        0.001470
FIRE:   64 14:58:36    -1062.425903        0.001440
FIRE:   65 14:58:36    -1062.425903        0.001405
FIRE:   66 14:58:36    -1062.426025        0.001362
FIRE:   67 14:58:36    -1062.426025        0.001311
FIRE:   68 14:58:36    -1062.426025        0.001251
FIRE:   69 14:58:36    -1062.426025        0.001180
FIRE:   70 14:58:36    -1062.425903        0.001096
FIRE:   71 14:58:36    -1062.425903        0.000996
