      Step     Time          Energy          fmax
FIRE:    0 15:08:07    -1074.762451        0.453452
FIRE:    1 15:08:07    -1074.780029        0.409940
FIRE:    2 15:08:07    -1074.808472        0.327860
FIRE:    3 15:08:07    -1074.837646        0.216770
FIRE:    4 15:08:07    -1074.857666        0.089744
FIRE:    5 15:08:07    -1074.863525        0.084865
FIRE:    6 15:08:07    -1074.863770        0.083541
FIRE:    7 15:08:07    -1074.864258        0.080924
FIRE:    8 15:08:07    -1074.864990        0.077074
FIRE:    9 15:08:07    -1074.865967        0.072081
FIRE:   10 15:08:07    -1074.866821        0.066067
FIRE:   11 15:08:07    -1074.867920        0.059184
FIRE:   12 15:08:07    -1074.868896        0.051610
FIRE:   13 15:08:07    -1074.869995        0.042697
FIRE:   14 15:08:07    -1074.870972        0.032572
FIRE:   15 15:08:07    -1074.871826        0.026416
FIRE:   16 15:08:07    -1074.872681        0.030732
FIRE:   17 15:08:07    -1074.873413        0.033289
FIRE:   18 15:08:07    -1074.874146        0.030862
FIRE:   19 15:08:07    -1074.874756        0.024304
FIRE:   20 15:08:07    -1074.875122        0.023214
FIRE:   21 15:08:07    -1074.875000        0.021931
FIRE:   22 15:08:07    -1074.875122        0.021926
FIRE:   23 15:08:07    -1074.875122        0.021918
FIRE:   24 15:08:07    -1074.875122        0.021904
FIRE:   25 15:08:08    -1074.875244        0.021885
FIRE:   26 15:08:08    -1074.875244        0.021860
FIRE:   27 15:08:08    -1074.875366        0.021828
FIRE:   28 15:08:08    -1074.875488        0.021787
FIRE:   29 15:08:08    -1074.875610        0.021729
FIRE:   30 15:08:08    -1074.875732        0.021649
FIRE:   31 15:08:08    -1074.875732        0.021536
FIRE:   32 15:08:08    -1074.875977        0.021377
FIRE:   33 15:08:08    -1074.876221        0.021157
FIRE:   34 15:08:08    -1074.876221        0.020854
FIRE:   35 15:08:08    -1074.876465        0.020445
FIRE:   36 15:08:08    -1074.876709        0.019909
FIRE:   37 15:08:08    -1074.876953        0.019224
FIRE:   38 15:08:08    -1074.877075        0.018375
FIRE:   39 15:08:08    -1074.877441        0.017341
FIRE:   40 15:08:08    -1074.877930        0.016107
FIRE:   41 15:08:08    -1074.878296        0.014648
FIRE:   42 15:08:08    -1074.878662        0.012934
FIRE:   43 15:08:08    -1074.879150        0.010925
FIRE:   44 15:08:08    -1074.879395        0.008630
FIRE:   45 15:08:08    -1074.879761        0.006092
FIRE:   46 15:08:08    -1074.880127        0.003359
FIRE:   47 15:08:08    -1074.880127        0.003307
FIRE:   48 15:08:08    -1074.880127        0.002821
FIRE:   49 15:08:08    -1074.880127        0.001968
FIRE:   50 15:08:08    -1074.880249        0.001428
FIRE:   51 15:08:08    -1074.880127        0.001208
FIRE:   52 15:08:08    -1074.880127        0.001014
FIRE:   53 15:08:08    -1074.880127        0.000948
