      Step     Time          Energy          fmax
FIRE:    0 15:08:09    -1065.086182        0.740593
FIRE:    1 15:08:09    -1065.108765        0.664147
FIRE:    2 15:08:09    -1065.146240        0.526559
FIRE:    3 15:08:09    -1065.186768        0.354692
FIRE:    4 15:08:09    -1065.220215        0.192668
FIRE:    5 15:08:09    -1065.242432        0.264266
FIRE:    6 15:08:09    -1065.256104        0.331162
FIRE:    7 15:08:09    -1065.266602        0.342136
FIRE:    8 15:08:09    -1065.277832        0.297186
FIRE:    9 15:08:09    -1065.289429        0.195174
FIRE:   10 15:08:09    -1065.296387        0.120323
FIRE:   11 15:08:09    -1065.297363        0.117823
FIRE:   12 15:08:09    -1065.298828        0.112883
FIRE:   13 15:08:09    -1065.300903        0.105623
FIRE:   14 15:08:09    -1065.303467        0.096221
FIRE:   15 15:08:09    -1065.306152        0.084908
FIRE:   16 15:08:09    -1065.308594        0.071969
FIRE:   17 15:08:09    -1065.311035        0.057746
FIRE:   18 15:08:09    -1065.312988        0.041036
FIRE:   19 15:08:09    -1065.314453        0.036014
FIRE:   20 15:08:09    -1065.314941        0.040022
FIRE:   21 15:08:09    -1065.314941        0.042359
FIRE:   22 15:08:09    -1065.314941        0.042096
FIRE:   23 15:08:09    -1065.314941        0.041574
FIRE:   24 15:08:09    -1065.315186        0.040799
FIRE:   25 15:08:09    -1065.315308        0.039777
FIRE:   26 15:08:09    -1065.315430        0.038523
FIRE:   27 15:08:09    -1065.315674        0.037046
FIRE:   28 15:08:09    -1065.315796        0.035362
FIRE:   29 15:08:09    -1065.316040        0.033275
FIRE:   30 15:08:10    -1065.316162        0.030732
FIRE:   31 15:08:10    -1065.316406        0.027678
FIRE:   32 15:08:10    -1065.316650        0.024102
FIRE:   33 15:08:10    -1065.316650        0.020071
FIRE:   34 15:08:10    -1065.316650        0.016257
FIRE:   35 15:08:10    -1065.316895        0.016623
FIRE:   36 15:08:10    -1065.316895        0.017875
FIRE:   37 15:08:10    -1065.316895        0.017379
FIRE:   38 15:08:10    -1065.317139        0.014789
FIRE:   39 15:08:10    -1065.317139        0.009952
FIRE:   40 15:08:10    -1065.317383        0.006649
FIRE:   41 15:08:10    -1065.317261        0.006452
FIRE:   42 15:08:10    -1065.317261        0.006149
FIRE:   43 15:08:10    -1065.317261        0.005564
FIRE:   44 15:08:10    -1065.317261        0.004902
FIRE:   45 15:08:10    -1065.317261        0.004339
FIRE:   46 15:08:10    -1065.317383        0.003740
FIRE:   47 15:08:10    -1065.317383        0.004000
FIRE:   48 15:08:10    -1065.317383        0.004192
FIRE:   49 15:08:10    -1065.317383        0.004265
FIRE:   50 15:08:10    -1065.317383        0.004152
FIRE:   51 15:08:10    -1065.317383        0.003790
FIRE:   52 15:08:10    -1065.317383        0.003126
FIRE:   53 15:08:10    -1065.317383        0.002116
FIRE:   54 15:08:10    -1065.317383        0.001695
FIRE:   55 15:08:10    -1065.317383        0.001546
FIRE:   56 15:08:10    -1065.317383        0.001546
FIRE:   57 15:08:10    -1065.317383        0.001547
FIRE:   58 15:08:10    -1065.317383        0.001548
FIRE:   59 15:08:10    -1065.317383        0.001548
FIRE:   60 15:08:10    -1065.317383        0.001547
FIRE:   61 15:08:10    -1065.317383        0.001544
FIRE:   62 15:08:10    -1065.317383        0.001539
FIRE:   63 15:08:11    -1065.317383        0.001529
FIRE:   64 15:08:11    -1065.317383        0.001513
FIRE:   65 15:08:11    -1065.317383        0.001489
FIRE:   66 15:08:11    -1065.317383        0.001457
FIRE:   67 15:08:11    -1065.317383        0.001415
FIRE:   68 15:08:11    -1065.317383        0.001362
FIRE:   69 15:08:11    -1065.317383        0.001299
FIRE:   70 15:08:11    -1065.317383        0.001230
FIRE:   71 15:08:11    -1065.317383        0.001155
FIRE:   72 15:08:11    -1065.317383        0.001072
FIRE:   73 15:08:11    -1065.317383        0.000973
