      Step     Time          Energy          fmax
FIRE:    0 15:01:17    -1069.877319        1.064193
FIRE:    1 15:01:17    -1069.987793        0.942679
FIRE:    2 15:01:18    -1070.160156        0.743225
FIRE:    3 15:01:18    -1070.331787        0.522180
FIRE:    4 15:01:18    -1070.457642        0.311206
FIRE:    5 15:01:18    -1070.519775        0.163181
FIRE:    6 15:01:18    -1070.528564        0.224664
FIRE:    7 15:01:18    -1070.530273        0.221004
FIRE:    8 15:01:18    -1070.533569        0.213740
FIRE:    9 15:01:18    -1070.538208        0.202982
FIRE:   10 15:01:18    -1070.543823        0.188893
FIRE:   11 15:01:18    -1070.550293        0.171701
FIRE:   12 15:01:18    -1070.556885        0.151691
FIRE:   13 15:01:18    -1070.563232        0.129210
FIRE:   14 15:01:18    -1070.569824        0.102014
FIRE:   15 15:01:18    -1070.575806        0.072460
FIRE:   16 15:01:18    -1070.580566        0.046735
FIRE:   17 15:01:18    -1070.583496        0.054080
FIRE:   18 15:01:18    -1070.584595        0.063005
FIRE:   19 15:01:18    -1070.584717        0.062445
FIRE:   20 15:01:18    -1070.584961        0.061334
FIRE:   21 15:01:18    -1070.585205        0.059684
FIRE:   22 15:01:18    -1070.585693        0.057511
FIRE:   23 15:01:18    -1070.586182        0.054846
FIRE:   24 15:01:18    -1070.586670        0.051719
FIRE:   25 15:01:18    -1070.587280        0.048170
FIRE:   26 15:01:18    -1070.587891        0.043805
FIRE:   27 15:01:18    -1070.588501        0.038524
FIRE:   28 15:01:18    -1070.589111        0.032256
FIRE:   29 15:01:18    -1070.589722        0.025000
FIRE:   30 15:01:18    -1070.590210        0.020303
FIRE:   31 15:01:18    -1070.590576        0.022698
FIRE:   32 15:01:18    -1070.590820        0.023540
FIRE:   33 15:01:18    -1070.591064        0.022262
FIRE:   34 15:01:18    -1070.591187        0.022073
FIRE:   35 15:01:19    -1070.591309        0.019711
FIRE:   36 15:01:19    -1070.591431        0.017925
FIRE:   37 15:01:19    -1070.591309        0.017602
FIRE:   38 15:01:19    -1070.591431        0.016960
FIRE:   39 15:01:19    -1070.591431        0.016016
FIRE:   40 15:01:19    -1070.591431        0.014788
FIRE:   41 15:01:19    -1070.591553        0.013302
FIRE:   42 15:01:19    -1070.591553        0.011591
FIRE:   43 15:01:19    -1070.591797        0.009692
FIRE:   44 15:01:19    -1070.591797        0.007429
FIRE:   45 15:01:19    -1070.591797        0.005219
FIRE:   46 15:01:19    -1070.591797        0.005383
FIRE:   47 15:01:19    -1070.591797        0.005923
FIRE:   48 15:01:19    -1070.591797        0.005850
FIRE:   49 15:01:19    -1070.591797        0.005707
FIRE:   50 15:01:19    -1070.591797        0.005494
FIRE:   51 15:01:19    -1070.591797        0.005469
FIRE:   52 15:01:19    -1070.591797        0.005447
FIRE:   53 15:01:19    -1070.591797        0.005420
FIRE:   54 15:01:19    -1070.591797        0.005389
FIRE:   55 15:01:19    -1070.591797        0.005351
FIRE:   56 15:01:19    -1070.591797        0.005305
FIRE:   57 15:01:19    -1070.591797        0.005250
FIRE:   58 15:01:19    -1070.591797        0.005187
FIRE:   59 15:01:19    -1070.591797        0.005116
FIRE:   60 15:01:19    -1070.591797        0.005041
FIRE:   61 15:01:19    -1070.591797        0.004964
FIRE:   62 15:01:19    -1070.591797        0.004891
FIRE:   63 15:01:19    -1070.591919        0.004823
FIRE:   64 15:01:19    -1070.591797        0.004763
FIRE:   65 15:01:19    -1070.591797        0.004707
FIRE:   66 15:01:19    -1070.591797        0.004646
FIRE:   67 15:01:19    -1070.591919        0.004560
FIRE:   68 15:01:19    -1070.591919        0.004422
FIRE:   69 15:01:20    -1070.592041        0.004210
FIRE:   70 15:01:20    -1070.592041        0.003911
FIRE:   71 15:01:20    -1070.592041        0.003530
FIRE:   72 15:01:20    -1070.592041        0.003107
FIRE:   73 15:01:20    -1070.592041        0.002700
FIRE:   74 15:01:20    -1070.592041        0.002305
FIRE:   75 15:01:20    -1070.592163        0.001828
FIRE:   76 15:01:20    -1070.592163        0.001209
FIRE:   77 15:01:20    -1070.592041        0.001432
FIRE:   78 15:01:20    -1070.592163        0.000747
