solute,E_ss_1nn,E_ss_2nn,E_ss_3nn,E_ss_4nn,E_ss_5nn
Ti,0.1275634765625,0.1923828125,0.14990234375,0.0849609375,-0.0242919921875
V,-0.072265625,-0.09228515625,0.00537109375,0.0499267578125,0.061279296875
Cr,-0.095458984375,-0.10986328125,-0.0069580078125,0.03515625,0.0543212890625
Mn,0.0478515625,0.072265625,-0.00390625,-0.0211181640625,0.002685546875
Fe,0.0,0.0,0.0,0.0,0.0
Co,-0.1434326171875,-0.19189453125,-0.0343017578125,-0.004150390625,0.1524658203125
Ni,-0.11572265625,-0.06982421875,-0.0123291015625,-0.0078125,0.0447998046875
Cu,-0.00439453125,-0.0416259765625,-0.027099609375,-0.0455322265625,0.0655517578125
Zr,0.1856689453125,0.349853515625,0.513916015625,0.3427734375,-0.1444091796875
Nb,0.0849609375,0.146484375,0.3016357421875,0.1552734375,-0.0797119140625
Mo,-0.1005859375,-0.1036376953125,0.0438232421875,0.0733642578125,0.06005859375
Tc,-0.12646484375,-0.3089599609375,0.124267578125,0.14111328125,0.4208984375
Ru,-0.2437744140625,-0.359130859375,0.04736328125,0.141845703125,0.4420166015625
Rh,0.008544921875,-0.076171875,0.007568359375,0.038330078125,0.255126953125
Pd,0.22998046875,0.02392578125,0.082275390625,0.078125,0.25341796875
Ag,0.298828125,0.14013671875,0.056884765625,0.05029296875,0.064208984375
Hf,0.191162109375,0.341552734375,0.466064453125,0.166015625,-0.1236572265625
Ta,0.10107421875,0.2115478515625,0.357177734375,0.189208984375,-0.062744140625
W,-0.174560546875,-0.100341796875,0.0302734375,0.124755859375,0.087646484375
Re,0.0006103515625,-0.266357421875,0.0560302734375,0.1124267578125,0.23291015625
Os,-0.299072265625,-0.423828125,0.0992431640625,0.2108154296875,0.52099609375
Ir,-0.022216796875,-0.0926513671875,0.0430908203125,0.071044921875,0.350341796875
Pt,0.1566162109375,-0.089111328125,0.170654296875,0.1632080078125,0.380126953125
Au,0.373779296875,0.146728515625,0.1693115234375,0.1298828125,0.144775390625
