solute,E_sv_1nn,E_sv_2nn,E_sv_3nn,E_sv_4nn,E_sv_5nn
Ti,0.375732421875,-0.066650390625,-0.066162109375,-0.0423583984375,0.0428466796875
V,0.060791015625,-0.09375,-0.0206298828125,-0.0098876953125,0.0496826171875
Cr,0.099609375,0.005126953125,-0.0325927734375,-0.0347900390625,-0.00341796875
Mn,0.047607421875,0.0208740234375,-0.0269775390625,-0.0164794921875,-0.0123291015625
Fe,0.0,-0.0001220703125,0.0,-0.0001220703125,-0.0001220703125
Co,-0.0440673828125,-0.0567626953125,-0.0260009765625,-0.025146484375,0.004150390625
Ni,-0.026611328125,-0.0159912109375,-0.00048828125,-0.007568359375,0.004638671875
Cu,0.125244140625,0.078857421875,-0.0166015625,-0.0078125,-0.041015625
Zr,0.9805908203125,0.8338623046875,-0.0455322265625,-0.0362548828125,0.9805908203125
Nb,0.394775390625,-0.0423583984375,-0.07080078125,-0.03369140625,0.0400390625
Mo,0.13818359375,-0.068115234375,-0.0281982421875,-0.0166015625,0.067138671875
Tc,0.032958984375,-0.2130126953125,-0.0654296875,-0.001953125,0.0780029296875
Ru,0.07177734375,-0.1002197265625,-0.0260009765625,-0.01123046875,0.0284423828125
Rh,0.0316162109375,-0.0350341796875,0.0013427734375,-0.001220703125,0.0301513671875
Pd,0.1502685546875,0.03369140625,0.0111083984375,0.029541015625,0.02587890625
Ag,0.3280029296875,0.1602783203125,0.0382080078125,0.010009765625,0.0028076171875
Hf,0.79736328125,0.4560546875,-0.0732421875,-0.0474853515625,0.79736328125
Ta,0.343994140625,-0.079833984375,-0.061279296875,-0.026123046875,0.052978515625
W,0.094970703125,-0.102294921875,-0.03173828125,-0.002685546875,0.08837890625
Re,0.0364990234375,-0.1234130859375,-0.0531005859375,0.002685546875,0.05126953125
Os,0.041259765625,-0.1282958984375,-0.02978515625,-0.0062255859375,0.0361328125
Ir,0.0855712890625,0.010986328125,0.00830078125,-0.00439453125,0.0419921875
Pt,0.1427001953125,0.0628662109375,0.0357666015625,0.0281982421875,0.0267333984375
Au,0.36083984375,0.1539306640625,0.040771484375,0.0323486328125,0.026123046875
