solute,E_Fe,E_FeVac,E_FeM,E_FeMM_1nn,E_FeMM_2nn,E_FeMM_3nn,E_FeMM_4nn,E_FeMM_5nnE_FeMVac_1nn,E_FeMVac_2nn,E_FeMVac_3nn,E_FeMVac_4nn,E_FeMVac_5nn
Ti,-1070.814208984375,-1061.156494140625,-1071.188720703125,-1071.6907958984375,-1071.755615234375,-1071.713134765625,-1071.648193359375,-1071.5389404296875,-1061.90673828125,-1061.46435546875,-1061.46484375,-1061.4886474609375,-1061.5738525390625
V,-1070.814208984375,-1061.156494140625,-1072.104248046875,-1073.322021484375,-1073.302001953125,-1073.399658203125,-1073.4442138671875,-1073.45556640625,-1062.50732421875,-1062.352783203125,-1062.4259033203125,-1062.4366455078125,-1062.4962158203125
Cr,-1070.814208984375,-1061.156494140625,-1072.27001953125,-1073.63037109375,-1073.615966796875,-1073.7188720703125,-1073.760986328125,-1073.7801513671875,-1062.7119140625,-1062.617431640625,-1062.5797119140625,-1062.5775146484375,-1062.60888671875
Mn,-1070.814208984375,-1061.156494140625,-1071.5687255859375,-1072.37109375,-1072.3955078125,-1072.3193359375,-1072.3021240234375,-1072.325927734375,-1061.9586181640625,-1061.931884765625,-1061.884033203125,-1061.89453125,-1061.898681640625
Fe,-1070.814208984375,-1061.156494140625,-1070.814208984375,-1070.814208984375,-1070.814208984375,-1070.814208984375,-1070.814208984375,-1070.814208984375,-1061.156494140625,-1061.1563720703125,-1061.156494140625,-1061.1563720703125,-1061.1563720703125
Co,-1070.814208984375,-1061.156494140625,-1069.9029541015625,-1068.8482666015625,-1068.7998046875,-1068.9573974609375,-1068.987548828125,-1069.1441650390625,-1060.201171875,-1060.1884765625,-1060.21923828125,-1060.2200927734375,-1060.2493896484375
Ni,-1070.814208984375,-1061.156494140625,-1068.49072265625,-1066.051513671875,-1066.097412109375,-1066.1549072265625,-1066.159423828125,-1066.2120361328125,-1058.806396484375,-1058.8170166015625,-1058.83251953125,-1058.825439453125,-1058.837646484375
Cu,-1070.814208984375,-1061.156494140625,-1066.598876953125,-1062.379150390625,-1062.3419189453125,-1062.3564453125,-1062.3380126953125,-1062.4490966796875,-1057.06640625,-1057.02001953125,-1056.924560546875,-1056.933349609375,-1056.900146484375
Zr,-1070.814208984375,-1061.156494140625,-1070.5921630859375,-1070.5557861328125,-1070.719970703125,-1070.884033203125,-1070.712890625,-1070.2257080078125,-1061.9150390625,-1061.768310546875,-1060.888916015625,-1060.898193359375,-1061.9150390625
Nb,-1070.814208984375,-1061.156494140625,-1072.60009765625,-1074.470947265625,-1074.532470703125,-1074.6876220703125,-1074.541259765625,-1074.3062744140625,-1063.337158203125,-1062.9000244140625,-1062.87158203125,-1062.90869140625,-1062.982421875
Mo,-1070.814208984375,-1061.156494140625,-1073.101806640625,-1075.288818359375,-1075.2857666015625,-1075.4332275390625,-1075.4627685546875,-1075.449462890625,-1063.582275390625,-1063.3759765625,-1063.4158935546875,-1063.427490234375,-1063.51123046875
