mlip,fmax_1e-2_ucf,fmax_1e-2_frech,fmax_0.5e-3_ucf,fmax_0.5e-3_frech
dft,0.0,0.0,0.0,0.0
ompa-mpa,0.053352322048611095,0.05340657552083331,0.053433702256944424,0.05348795572916665
ompa-omat24,0.05442382812499998,0.054410264756944424,0.054450954861111095,0.05442382812499998
mace-mpa,0.111314771244379,0.11130661390661586,0.1113257119126938,0.11132701125499825
mace-omat,0.10530933367032475,0.10529719983055477,0.10526731202195576,0.1052705397910138
orb-mpa,0.05583745659722222,0.05591883680555555,0.056054470486111105,0.056176540798611105
orb-omat,0.06326714409722219,0.06319932725694441,0.06318576388888886,0.0631722005208333
esen-oam,0.05604101562499997,0.05597319878472219,0.05631228298611108,0.05633940972222219
esen-omat,0.034280924479166655,0.03441655815972221,0.03447081163194443,0.034389431423611096
dpa-mp,0.06674809000227186,0.06676113017400104,0.066742295106252,0.06675044769710964
dpa-omat,0.06256822405258813,0.0625910393860605,0.06268779759274588,0.06268260536591214
uma-omat,0.02618298339836171,0.026162638346379406,0.02604395887581751,0.0259964870876736
omni-mpa,0.05299967447916665,0.05295898437499998,0.052986111111111095,0.052986111111111095
omni-omat24,0.054939236111111095,0.054898546006944424,0.05495279947916665,0.0549663628472222
omni-matpes_pbe,0.07460796440972221,0.07456727430555554,0.07471006944444442,0.07473719618055553
grace-oam,0.06201189996766495,0.06191478222099933,0.06193564808814979,0.06196937693179358
grace-omat,0.06538067147654424,0.06527748861358482,0.06523304453423791,0.0652346732332229
nequip-oam,0.039716213522001095,0.03966511759265826,0.0397936035450303,0.039717972908098864
