,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.47,0.705078125,0.72900390625,0.4071704751165725,0.9525393570515917,0.6046142578125,0.591552734375,0.5245361328125,0.5380859375,0.6039252728223801,0.7634310722351074,0.65789794921875,0.5726318359375,0.7381591796875,0.779052734375,0.5544730953761245,0.5693506448733388,0.6209095548708774
a2,-0.01,0.1505126953125,0.1798095703125,-0.03555604264875,0.2174710204433267,-0.078125,-0.02978515625,-0.0206298828125,-0.03857421875,0.0644843243062496,0.1070858836174011,0.0489501953125,-0.0072021484375,0.0799560546875,0.1129150390625,-0.0574888727464895,-0.0483160603657779,-0.0290715737992286
b1,0.68,1.30712890625,1.3502197265625,0.8539472934364767,1.6085160581017135,1.0831298828125,1.159423828125,1.070556640625,1.0980224609375,0.967246189713478,1.2418635189533234,1.18437194824196,0.9554443359375,1.253662109375,1.34716796875,1.0272362133841852,1.0939796593688698,1.0797563225839897
b2,0.47,0.489501953125,0.53564453125,0.2594948305372782,0.9678431611775976,0.29931640625,0.30712890625,0.502197265625,0.521240234375,0.4994719885289669,0.5613502860069275,0.5491333007810226,0.3206787109375,0.4549560546875,0.483154296875,0.3567209851505595,0.3997803602371732,0.426749802143604
b3,0.34,0.91455078125,0.942138671875,0.5057134873677569,1.1780193208023777,0.7701416015625,0.7630615234375,0.762939453125,0.7745361328125,0.7510766834020615,0.9004018008708954,0.7890014648435226,0.791015625,0.953125,0.994384765625,0.6811825100458009,0.690915145082954,0.7678667759473683
c1,0.58,1.012451171875,1.0576171875,0.6954702130835813,1.338076595723578,0.8280029296875,0.8074951171875,0.8175048828125,0.792724609375,0.8741624653339386,1.013983577489853,0.8666687011716476,0.8682861328125,1.0606689453125,1.10595703125,0.8347524729301767,0.8319236725781138,0.8588890321220788
c2,0.12,1.012451171875,1.0574951171875,0.6954702130838086,1.3380765957238054,0.823486328125,0.802734375,0.8173828125,0.792724609375,0.8741612136363983,1.0139831006526947,0.8666839599607101,0.8681640625,1.0606689453125,1.10595703125,0.8347524729299494,0.8319236725778865,0.8589155283716536
d,0.16,0.090087890625,0.093017578125,0.1024063781453605,0.1027276273955521,0.08740234375,0.11083984375,0.0430908203125,0.0321044921875,0.0780116617679596,0.1041362285614013,0.109130859375,0.03662109375,0.07666015625,0.070556640625,0.0934172238539758,0.0967030915244322,0.0320999037257934
e,0.13,0.09228515625,0.110595703125,0.1591510569169258,0.1267922870640632,0.0435791015625,0.0706787109375,-0.00146484375,0.001953125,0.0789484679698944,0.1309041380882263,0.0712890625,-0.0443115234375,0.0302734375,0.0496826171875,0.0580836606259254,0.0570536665090912,0.002162946166436
f,-0.09,-0.04296875,-0.00439453125,0.0157799967466871,-0.1207727683449775,-0.030517578125,0.0244140625,-0.1253662109375,-0.1444091796875,-0.0441193878650665,0.0329341888427734,-0.0402069091796875,-0.17333984375,-0.0687255859375,-0.0423583984375,-0.0522719750656506,-0.0361188139870591,-0.0969094593608588
g,-0.09,0.15234375,0.164306640625,0.2056397547371489,0.0891399635347625,0.057861328125,0.0980224609375,0.01220703125,0.0474853515625,0.0474568903446197,0.1277776360511779,0.1002044677734375,-0.083740234375,0.0576171875,0.04052734375,0.0184579386987024,0.0166614270501668,-0.007066831135944
h,-0.65,-0.626220703125,-0.593505859375,-0.6071453037968695,-0.6556464615061941,-0.6385498046875,-0.575927734375,-0.7144775390625,-0.739501953125,-0.611407957971096,-0.5323837101459503,-0.6548614501953125,-0.6767578125,-0.6142578125,-0.552978515625,-0.6329811113457708,-0.6317113929808329,-0.5467468389326768
i,-1.67,-1.66357421875,-1.614990234375,-1.369338106525447,-1.6061408718483108,-1.2978515625,-1.4593505859375,-1.5592041015625,-1.62744140625,-1.2059915885329249,-1.2503911554813385,-1.4635467529296875,-1.5452880859375,-1.64404296875,-1.642333984375,-1.3344768832064346,-1.3554765552544268,-1.4968439059769023
j,1.07,1.2799072265625,1.3231201171875,0.5776763984060835,1.5968454841372477,1.0032958984375,0.9443359375,0.9669189453125,0.9996337890625,0.9770807176828384,1.3256173431873322,1.21064758300804,0.966552734375,1.3052978515625,1.4246826171875,0.8785059847016328,0.9481303085033232,0.931711501000791
k,1.5,1.3653564453125,1.4500732421875,0.9303631845691598,1.7764924363514183,1.252685546875,1.491943359375,1.313720703125,1.313232421875,1.231922410428524,1.6063342690467834,1.5504608154299149,1.03759765625,1.51953125,1.592529296875,1.3458081970422882,1.3607423692192242,1.297624747685859
Co,-0.043,-0.05126953125,-0.054931640625,-0.0035500088920343,-0.0068375598991679,-0.0811767578125,-0.044189453125,-0.0650634765625,-0.0482177734375,-0.0393273830413818,-0.0289564132690429,-0.0363159179689773,-0.060302734375,-0.0562744140625,-0.0601806640625,-0.0519654446941331,-0.0492111010860298,-0.06699584116609
Cr,-0.239,-0.140625,-0.1466064453125,0.0022598998925786,-0.0024626334434287,-0.2579345703125,-0.1744384765625,-0.345458984375,-0.2579345703125,0.0366091728210449,-0.0315065383911132,-0.2226562500002273,-0.1353759765625,-0.151123046875,-0.0458984375,-0.0490055419295458,-0.0586994584577951,-0.2211025140372839
Cu,0.246,0.133544921875,0.133544921875,0.1258843799994338,0.2063903083437708,0.1309814453125,0.1639404296875,0.1575927734375,0.1656494140625,0.2153451442718505,0.2019846439361572,0.2016143798825851,0.1177978515625,0.149169921875,0.1593017578125,0.1429330163286977,0.1382046586682008,0.1166911971051831
Mn,0.079,0.076904296875,0.077392578125,0.0527805857173007,0.0008440446606527,-0.0323486328125,0.00634765625,-0.011474609375,0.0025634765625,0.0468174219131469,0.0598371028900146,0.0261535644528976,0.072509765625,0.073974609375,0.092041015625,0.0349297663376546,0.0378490993389277,0.0853989012096008
Mo,-0.277,-0.185302734375,-0.1910400390625,-0.1344920866804386,-0.1117182988573404,-0.2672119140625,-0.135986328125,-0.3045654296875,-0.257080078125,-0.1846604347229004,-0.1885344982147216,-0.2406005859372726,-0.142578125,-0.1441650390625,-0.0733642578125,-0.1876736190181418,-0.1838846333714627,-0.2164686447929398
Nb,-0.381,-0.357421875,-0.3564453125,-0.3191725864655836,-0.2010271776523495,-0.3682861328125,-0.3271484375,-0.3961181640625,-0.3310546875,-0.3040268421173095,-0.3081908226013183,-0.3306121826171875,-0.322998046875,-0.323974609375,-0.2991943359375,-0.4031478821432301,-0.4137373358271361,-0.3706732013768032
Ni,0.02,0.031982421875,0.03271484375,0.0764238960339298,0.1213980669954253,0.0374755859375,0.0653076171875,-0.022705078125,0.01123046875,0.0208015441894531,0.0501275062561035,0.0288391113278976,0.02783203125,0.04248046875,0.05419921875,0.0361500783619703,0.0451216116916839,0.0501641999339881
Ti,-0.246,-0.3331298828125,-0.334228515625,-0.4701984708199234,-0.2494071497530967,-0.350341796875,-0.31396484375,-0.299560546875,-0.27392578125,-0.2979574203491211,-0.2707485184073448,-0.2484741210939773,-0.26318359375,-0.2830810546875,-0.288818359375,-0.2890100422614523,-0.2994511241108739,-0.3144133258911097
V,-0.233,-0.27880859375,-0.29296875,-0.1430595176966562,-0.1260903357726874,-0.310791015625,-0.27294921875,-0.293701171875,-0.2550048828125,-0.1964368820190429,-0.1697225570678711,-0.2173919677736648,-0.23681640625,-0.2752685546875,-0.233154296875,-0.2739928885393965,-0.2802287362196693,-0.2434250452843116
