,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.47,0.703369140625,0.7313232421875,0.4081927199908932,0.9520257851629594,0.607177734375,0.5926513671875,0.5244140625,0.53857421875,0.6032889634370804,0.7619222104549408,0.6575775146484375,0.572998046875,0.7374267578125,0.77880859375,0.5528886050230994,0.5679026174020692,0.6199138381343801
a2,-0.01,0.1497802734375,0.181640625,-0.0352610837769589,0.2172156135375189,-0.0755615234375,-0.0286865234375,-0.0206298828125,-0.0386962890625,0.0644791983067989,0.1056693494319915,0.0489349365234375,-0.0072021484375,0.0797119140625,0.112548828125,-0.0594777464798426,-0.050513993974846,-0.0296594513501986
b1,0.68,1.3062744140625,1.354736328125,0.8553750096896238,1.6080668875868014,1.088623046875,1.1619873046875,1.07080078125,1.0986328125,0.9672215282917024,1.239294946193695,1.1843414306638351,0.9556884765625,1.253662109375,1.34619140625,1.024399328528034,1.090602806504421,1.0785312061027523
b2,0.47,0.488037109375,0.5396728515625,0.2607083472100839,0.967654996142528,0.3052978515625,0.309326171875,0.501953125,0.5216064453125,0.4989495389163494,0.558455616235733,0.5486602783200851,0.3209228515625,0.4544677734375,0.482177734375,0.3533248871799515,0.3962702639378221,0.4253560103497875
b3,0.34,0.9124755859375,0.94580078125,0.5071447724510563,1.1778592548100733,0.7760009765625,0.76513671875,0.7623291015625,0.775146484375,0.7510327994823456,0.897494375705719,0.7889862060544601,0.790771484375,0.9527587890625,0.9937744140625,0.6782465507840243,0.6868820456588765,0.7658452491525622
c1,0.58,1.0111083984375,1.061279296875,0.6966135533880333,1.3373720484526077,0.8333740234375,0.8094482421875,0.817626953125,0.7930908203125,0.8740318417549133,1.011350303888321,0.8663635253903976,0.8685302734375,1.0601806640625,1.1053466796875,0.8313767271401957,0.827793118147838,0.8568668536941004
c2,0.12,1.0111083984375,1.061279296875,0.6966135533882607,1.3373720484526077,0.828857421875,0.8045654296875,0.817626953125,0.7930908203125,0.8740254640579224,1.0113493502140043,0.8663024902341476,0.8685302734375,1.0601806640625,1.105224609375,0.8313767271401957,0.8277931181480653,0.8568879143576851
d,0.16,0.090576171875,0.09375,0.1016533297597561,0.1031081608462045,0.08837890625,0.1116943359375,0.043701171875,0.032470703125,0.077782541513443,0.1045894026756286,0.1094512939453125,0.037353515625,0.077392578125,0.07080078125,0.09334682840813,0.0969578536487461,0.0324763394912679
e,0.13,0.092529296875,0.111083984375,0.1585268079654724,0.1269308039811676,0.0445556640625,0.0712890625,-0.0008544921875,0.002197265625,0.0786834061145782,0.1310599446296692,0.07159423828125,-0.04345703125,0.031005859375,0.050048828125,0.0581667393589668,0.0570382803512075,0.0026013460633294
f,-0.09,-0.0426025390625,-0.003662109375,0.015016919791833,-0.120464133391124,-0.029296875,0.0252685546875,-0.1248779296875,-0.14404296875,-0.0442901104688644,0.0334672331809997,-0.0399322509765625,-0.1727294921875,-0.0679931640625,-0.0419921875,-0.0522901751344306,-0.0357753080390921,-0.0962984850461907
