,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.0,0.23336914062500003,0.2613232421875,-0.06180728000910679,0.48202578516295946,0.13717773437500003,0.12265136718750003,0.05441406250000003,0.06857421875000003,0.1332889634370804,0.2919222104549408,0.18757751464843753,0.10299804687500003,0.2674267578125,0.30880859375,0.08288860502309947,0.09790261740206918,0.14991383813438008
a2,0.0,0.1597802734375,0.191640625,-0.025261083776958897,0.2272156135375189,-0.0655615234375,-0.018686523437499998,-0.0106298828125,-0.028696289062499998,0.07447919830679889,0.11566934943199149,0.0589349365234375,0.0027978515625,0.0897119140625,0.122548828125,-0.0494777464798426,-0.040513993974846,-0.0196594513501986
b1,0.0,0.6262744140625,0.674736328125,0.17537500968962372,0.9280668875868013,0.40862304687499995,0.48198730468749995,0.39080078124999995,0.41863281249999995,0.28722152829170233,0.559294946193695,0.5043414306638351,0.27568847656249995,0.573662109375,0.66619140625,0.3443993285280339,0.41060280650442105,0.3985312061027523
b2,0.0,0.018037109375000027,0.06967285156250003,-0.20929165278991607,0.49765499614252806,-0.16470214843749997,-0.16067382812499997,0.03195312500000003,0.05160644531250003,0.028949538916349438,0.08845561623573306,0.07866027832008515,-0.14907714843749997,-0.015532226562499973,0.012177734375000027,-0.1166751128200485,-0.07372973606217786,-0.04464398965021249
b3,0.0,0.5724755859374999,0.6058007812499999,0.16714477245105624,0.8378592548100732,0.4360009765625,0.42513671875,0.4223291015625,0.435146484375,0.41103279948234556,0.5574943757057189,0.4489862060544601,0.450771484375,0.6127587890624999,0.6537744140624999,0.33824655078402427,0.3468820456588764,0.4258452491525622
c1,0.0,0.43110839843750004,0.48127929687500004,0.11661355338803336,0.7573720484526077,0.25337402343750004,0.22944824218750004,0.23762695312500004,0.21309082031250004,0.29403184175491337,0.43135030388832096,0.28636352539039767,0.28853027343750004,0.48018066406250004,0.5253466796875,0.25137672714019577,0.247793118147838,0.27686685369410047
c2,0.0,0.8911083984375,0.941279296875,0.5766135533882607,1.2173720484526078,0.708857421875,0.6845654296875,0.697626953125,0.6730908203125,0.7540254640579224,0.8913493502140043,0.7463024902341476,0.7485302734375,0.9401806640625,0.985224609375,0.7113767271401957,0.7077931181480653,0.7368879143576851
d,0.0,-0.069423828125,-0.06625,-0.0583466702402439,-0.056891839153795504,-0.07162109375,-0.0483056640625,-0.116298828125,-0.127529296875,-0.08221745848655701,-0.0554105973243714,-0.0505487060546875,-0.122646484375,-0.082607421875,-0.08919921875,-0.06665317159187001,-0.06304214635125391,-0.1275236605087321
e,0.0,-0.037470703125000004,-0.018916015625000004,0.028526807965472384,-0.003069196018832404,-0.0854443359375,-0.058710937500000004,-0.1308544921875,-0.127802734375,-0.0513165938854218,0.001059944629669185,-0.058405761718750004,-0.17345703125,-0.098994140625,-0.079951171875,-0.07183326064103321,-0.0729617196487925,-0.1273986539366706
f,0.0,0.0473974609375,0.086337890625,0.105016919791833,-0.030464133391124,0.060703125,0.1152685546875,-0.0348779296875,-0.05404296875,0.0457098895311356,0.1234672331809997,0.0500677490234375,-0.0827294921875,0.022006835937499997,0.0480078125,0.0377098248655694,0.05422469196090789,-0.006298485046190697
g,0.0,0.2427099609375,0.25503906249999997,0.295285462470556,0.179571879751702,0.148837890625,0.1887548828125,0.1026953125,0.1378515625,0.1377624833583831,0.2180306577682495,0.1905401611328125,0.006992187499999997,0.1484716796875,0.131015625,0.108360402476901,0.1065646667110195,0.0835033298822873
h,0.0,0.024145507812500022,0.05710449218750002,0.042150964892834986,-0.005442558355616689,0.012548828125000022,0.07504882812500002,-0.06386718749999998,-0.08925781249999998,0.0383565738797188,0.11783876419067385,-0.004479980468749978,-0.026269531249999978,0.03635253906250002,0.09750976562500002,0.016959874441818124,0.018288948197005106,0.10375203124513066
i,0.0,0.006669921874999929,0.05574218749999993,0.3000307108240303,0.0642401000847439,0.37312499999999993,0.21138183593749993,0.11140624999999993,0.04280273437499993,0.46388504475355163,0.4199305009841918,0.20689575195312493,0.12312499999999993,0.02388183593749993,0.02852050781249993,0.335432678452362,0.31451424198705347,0.1737895641139584
j,0.0,0.20978515624999994,0.25592773437499994,-0.4920508322430306,0.5269373578579961,-0.06267578125000006,-0.12383300781250006,-0.10247070312500006,-0.06951171875000006,-0.09273666858673102,0.25459172606468194,0.1409222412111648,-0.10222656250000006,0.23578613281249994,0.35443847656249994,-0.1931391356559471,-0.12352856067338525,-0.1388317239810205
k,0.0,-0.134521484375,-0.0467529296875,-0.5687465149901528,0.27695849650831406,-0.2430419921875,-0.005859375,-0.18505859375,-0.1859130859375,-0.26763323694467545,0.10563960671424888,0.051147460937727374,-0.4610595703125,0.020751953125,0.093017578125,-0.15507762855054352,-0.1407401808296529,-0.20229781961779736
Co,0.0,-0.0077812500000000034,-0.011809570312500003,0.039478435215067297,0.0364210731119038,-0.0381767578125,-0.0015556640625000034,-0.021697265625000003,-0.0052177734375000034,0.004186170578002996,0.014345067024230995,0.006699340820085199,-0.017180664062500003,-0.012786132812500003,-0.016570312500000003,-0.008868539122324305,-0.006199293179981302,-0.02347113610824811
Cr,0.0,0.09800878906249999,0.09202734374999999,0.2413626030649666,0.2367529945467723,-0.01856835937500001,0.06395117187499999,-0.10645898437500001,-0.01832421875000001,0.2757363691329956,0.20706478500366218,0.0171524658198578,0.10374609374999999,0.08824316406249999,0.1932236328125,0.1892513311979329,0.17976967076239278,0.018191005801294596
Cu,0.0,-0.1122109375,-0.11269921875,-0.1200452874812945,-0.0396699445040177,-0.11367578125,-0.082181640625,-0.0871865234375,-0.080228515625,-0.0302411994934082,-0.0438516817092896,-0.0442177734377274,-0.1278359375,-0.0964638671875,-0.0864541015625,-0.1030554508303303,-0.1076661920509614,-0.1292465980610778
Mn,0.0,-0.0022177734375000008,-0.0011191406250000008,-0.0258840267877568,-0.0778861877791351,-0.110494140625,-0.0722861328125,-0.0901083984375,-0.0760703125,-0.0315299072265625,-0.0196629800796509,-0.0526938476564774,-0.006490234375000001,-0.005635742187500001,0.0126748046875,-0.044445507760705404,-0.0417849454996067,0.006658000079774795
Mo,0.0,0.09169726562500002,0.08608203125000002,0.14258722350855543,0.1650637795787152,0.010276367187500024,0.14186816406250002,-0.027687499999999976,0.019797851562500024,0.09195022773742684,0.08855490875244143,0.037025024413835234,0.13527636718750002,0.13368945312500002,0.20375781250000002,0.08935796464261522,0.09387715603743532,0.06032881908067983
Nb,0.0,0.023089843750000005,0.024798828125000005,0.06218213435991493,0.18007402274125162,0.012713867187500005,0.054339843750000005,-0.015362304687499995,0.050067382812500005,0.07742305374145508,0.07213540649414063,0.05025048828147738,0.058978515625000005,0.056781250000000005,0.08168359375,-0.022648482120388502,-0.033304674434788406,0.01063134543088018
Ni,0.0,0.01173828125,0.0128369140625,0.05655453828829189,0.10159036286584519,0.0174755859375,0.044697265624999996,-0.042338867187500004,-0.00876953125,0.001187424659729,0.030028324127197203,0.008762817382585098,0.0079541015625,0.0228466796875,0.034931640624999996,0.016185544168347398,0.025271248467542997,0.030356296960899202
Ti,0.0,-0.08749609375,-0.087740234375,-0.223788529473135,-0.0033741923865399925,-0.1034873046875,-0.0675986328125,-0.053682617187500004,-0.028291992187500004,-0.051643661499023386,-0.024228348672389988,-0.0025046386718750036,-0.016207031250000004,-0.036348632812500004,-0.042085937500000004,-0.04307712653858653,-0.05350035942465542,-0.0685311991613653
V,0.0,-0.04593066406249999,-0.06070117187499999,0.0899501630204286,0.10695144551874192,-0.07766894531249999,-0.04092578124999999,-0.05984667968749999,-0.021760742187499987,0.0368347959518433,0.06324251461029062,0.016340454101335222,-0.0033281249999999873,-0.04165820312499999,8.984375000001266e-05,-0.04121715332775419,-0.04705250343153419,-0.010031521013790484
