mlip,fmax_1e-2_ucf,fmax_1e-2_frech,fmax_0.5e-3_ucf,fmax_0.5e-3_frech
dft,0.0,0.0,0.0,0.0
ompa-mpa,0.1743520100911458,0.1744283040364583,0.17476908365885413,0.17478434244791663
ompa-omat24,0.1899007161458333,0.18841044108072913,0.1888783772786458,0.18885803222656247
mace-mpa,0.17600394708793832,0.17599228163210381,0.1760514152842477,0.17604485342580614
mace-omat,0.29328859159583925,0.2934841593031809,0.2931797245856414,0.2933838872795745
orb-mpa,0.15561800130208334,0.15569429524739584,0.15569938151041665,0.155322998046875
orb-omat,0.1466548665364583,0.1466294352213541,0.1465785725911458,0.14645141601562495
esen-oam,0.13321997070312497,0.13325048828124997,0.13336747233072913,0.13347428385416663
esen-omat,0.12633658854166663,0.12636201985677079,0.12645357259114579,0.12635184733072913
dpa-mp,0.15680750390390552,0.15684301771720247,0.15681766090790428,0.15688570271432398
dpa-omat,0.19977579997728268,0.19998341909796,0.2006059622938434,0.2005374653811256
uma-omat,0.13749254353835458,0.13739081827797583,0.13758473205561664,0.13744485982256271
omni-mpa,0.1497456868489583,0.1497456868489583,0.1499542236328125,0.14996439615885415
omni-omat24,0.17261494954427078,0.1726963297526041,0.17263020833333328,0.17268615722656244
omni-matpes_pbe,0.2028001708984375,0.20207283528645834,0.20287406412760411,0.20296053059895827
grace-oam,0.14323807809585287,0.14322543966201795,0.14353568084159926,0.1434917478127222
grace-omat,0.14197952648109424,0.14182243753919946,0.1422610767188719,0.14226940761585627
nequip-oam,0.1405495705196537,0.14052507813316203,0.14082350489536646,0.14078223026920575
