A,B,C,Binding_energy
Cu,Mn,Mn,-0.0393
Cu,Mn,Ni,-0.0976
Cu,Ni,Ni,-0.1393
Mn,Mn,Mn,0.0657
Mn,Si,Mn,-0.1339
Mn,Vac,Mn,-0.3220
Mn,Vac,Si,-0.4485
Ni,Cu,Mn,-0.2011
Ni,Mn,Mn,0.1534
Ni,Ni,Mn,0.0154
Ni,Si,Mn,-0.2032
Ni,Vac,Mn,-0.2437
Ni,Cu,Ni,-0.2428
Ni,Mn,Ni,0.0047
Ni,Ni,Ni,-0.0092
Ni,Si,Ni,-0.2700
Ni,Vac,Ni,-0.1982
Ni,Vac,Si,-0.4014
Si,Mn,Mn,-0.0365
Si,Mn,Ni,-0.0642
Si,Ni,Mn,-0.1392
Si,Ni,Ni,-0.1539
Si,Vac,Si,-0.6316
Vac,Mn,Si,-0.2168
Vac,Ni,Si,-0.2105
Vac,Si,Mn,-0.3875
Vac,Si,Ni,-0.4131
Vac,Si,Si,-0.0477
Vac,Mn,Mn,-0.0425
Vac,Mn,Ni,-0.2018
Vac,Ni,Mn,-0.1081
Vac,Ni,Ni,-0.1198
