A,B,C ,Binding_energy
Mn,Mn,Cu,-0.0729
Mn,Mn,Mn,0.1351
Mn,Mn,Ni,0.0273
Mn,Mn,Si,-0.0007
Mn,Ni,Cu,-0.0815
Mn,Ni,Mn,0.3357
Mn,Ni,Si,-0.1483
Mn,Cu,Mn,-0.1286
Mn,Si,Mn,-0.1361
Mn,Vac,Mn,-0.2843
Ni,Mn,Cu,-0.0293
Ni,Mn,Ni,0.0087
Ni,Mn,Si,-0.0567
Ni,Ni,Cu,-0.1154
Ni,Ni,Mn,-0.0228
Ni,Ni,Ni,-0.0381
Ni,Ni,Si,-0.1741
Ni,Cu,Mn,-0.1970
Ni,Si,Mn,-0.1925
Ni,Vac,Mn,-0.2290
Ni,Cu,Ni,-0.2315
Ni,Si,Ni,-0.2465
Ni,Vac,Ni,-0.1707
Si,Vac,Mn,-0.4451
Si,Vac,Ni,-0.3979
Si,Vac,Si,-0.6582
Vac,Mn,Mn,-0.0387
Vac,Ni,Mn,-0.0939
Vac,Mn,Ni,-0.1603
Vac,Ni,Ni,-0.0903
Vac,Si,Mn,-0.4249
Vac,Si,Ni,-0.4364
Vac,Si,Si,-0.1371
Vac,Mn,Si,-0.2022
Vac,Ni,Si,-0.2092
Vac,Si,Si,-0.1371
