DFT,model,pred,delta,abs_error
-0.043,ompa-mpa,-0.0509033,-0.007903300000000002,0.007903300000000002
-0.239,ompa-mpa,-0.1408691,0.0981309,0.0981309
0.246,ompa-mpa,0.13378906,-0.11221094000000001,0.11221094000000001
0.079,ompa-mpa,0.0769043,-0.002095700000000006,0.002095700000000006
-0.277,ompa-mpa,-0.1849365,0.09206350000000002,0.09206350000000002
-0.381,ompa-mpa,-0.357666,0.02333400000000002,0.02333400000000002
0.02,ompa-mpa,0.03198242,0.011982419999999997,0.011982419999999997
-0.246,ompa-mpa,-0.3331299,-0.08712989999999998,0.08712989999999998
-0.233,ompa-mpa,-0.2790527,-0.046052699999999974,0.046052699999999974
-0.043,ompa-omat,-0.0550537,-0.0120537,0.0120537
-0.239,ompa-omat,-0.1469727,0.09202729999999998,0.09202729999999998
0.246,ompa-omat,0.13366699,-0.11233300999999998,0.11233300999999998
0.079,ompa-omat,0.07727051,-0.0017294900000000002,0.0017294900000000002
-0.277,ompa-omat,-0.190918,0.08608200000000002,0.08608200000000002
-0.381,ompa-omat,-0.3562012,0.02479880000000001,0.02479880000000001
0.02,ompa-omat,0.0324707,0.012470699999999998,0.012470699999999998
-0.246,ompa-omat,-0.3341064,-0.08810640000000003,0.08810640000000003
-0.233,ompa-omat,-0.2927246,-0.05972459999999999,0.05972459999999999
-0.043,MACE-mpa,-0.0035779,0.039422099999999995,0.039422099999999995
-0.239,MACE-mpa,0.00228472,0.24128471999999998,0.24128471999999998
0.246,MACE-mpa,0.12600682,-0.11999318,0.11999318
0.079,MACE-mpa,0.0528354,-0.026164600000000003,0.026164600000000003
-0.277,MACE-mpa,-0.1344307,0.14256930000000004,0.14256930000000004
-0.381,MACE-mpa,-0.3190378,0.06196220000000002,0.06196220000000002
0.02,MACE-mpa,0.07641431,0.056414309999999995,0.056414309999999995
-0.246,MACE-mpa,-0.4701871,-0.22418710000000003,0.22418710000000003
-0.233,MACE-mpa,-0.1429034,0.0900966,0.0900966
-0.043,MACE-omat,-0.0068805,0.0361195,0.0361195
-0.239,MACE-omat,-0.0025427,0.23645729999999998,0.23645729999999998
0.246,MACE-omat,0.20629126,-0.03970873999999999,0.03970873999999999
0.079,MACE-omat,0.00076662,-0.07823338,0.07823338
-0.277,MACE-omat,-0.1116782,0.16532180000000002,0.16532180000000002
-0.381,MACE-omat,-0.2010745,0.17992550000000002,0.17992550000000002
0.02,MACE-omat,0.1213385,0.1013385,0.1013385
-0.246,MACE-omat,-0.249435,-0.0034349999999999936,0.0034349999999999936
-0.233,MACE-omat,-0.1260603,0.10693970000000003,0.10693970000000003
-0.043,ORB-mpa,-0.0811768,-0.0381768,0.0381768
-0.239,ORB-mpa,-0.2579346,-0.018934600000000024,0.018934600000000024
0.246,ORB-mpa,0.13098145,-0.11501855,0.11501855
0.079,ORB-mpa,-0.0319824,-0.11098240000000001,0.11098240000000001
-0.277,ORB-mpa,-0.2672119,0.009788100000000022,0.009788100000000022
-0.381,ORB-mpa,-0.3684082,0.012591799999999986,0.012591799999999986
0.02,ORB-mpa,0.03735352,0.01735352,0.01735352
-0.246,ORB-mpa,-0.3504639,-0.1044639,0.1044639
-0.233,ORB-mpa,-0.3110352,-0.0780352,0.0780352
-0.043,ORB-omat,-0.0445557,-0.0015557000000000001,0.0015557000000000001
-0.239,ORB-omat,-0.1745605,0.06443949999999998,0.06443949999999998
0.246,ORB-omat,0.16369629,-0.08230371,0.08230371
0.079,ORB-omat,0.00622559,-0.07277441,0.07277441
-0.277,ORB-omat,-0.1362305,0.14076950000000002,0.14076950000000002
-0.381,ORB-omat,-0.3269043,0.054095700000000024,0.054095700000000024
0.02,ORB-omat,0.06518555,0.04518554999999999,0.04518554999999999
-0.246,ORB-omat,-0.3139648,-0.06796479999999999,0.06796479999999999
-0.233,ORB-omat,-0.2729492,-0.03994919999999999,0.03994919999999999
-0.043,eSEN-oam,-0.0649414,-0.0219414,0.0219414
-0.239,eSEN-oam,-0.3453369,-0.10633690000000001,0.10633690000000001
0.246,eSEN-oam,0.15795898,-0.08804102,0.08804102
0.079,eSEN-oam,-0.0114598,-0.0904598,0.0904598
-0.277,eSEN-oam,-0.3041992,-0.02719919999999998,0.02719919999999998
-0.381,eSEN-oam,-0.3959961,-0.014996100000000012,0.014996100000000012
0.02,eSEN-oam,-0.022583,-0.042582999999999996,0.042582999999999996
-0.246,eSEN-oam,-0.299542773,-0.05354277299999999,0.05354277299999999
-0.233,eSEN-oam,-0.293457,-0.06045700000000001,0.06045700000000001
-0.043,eSEN-omat,-0.048584,-0.005584000000000006,0.005584000000000006
-0.239,eSEN-omat,-0.2584229,-0.01942290000000002,0.01942290000000002
