,MAE,N_used,coverage
UMA-omat,0.026043951111111113,9,1.0
eSEN-omat,0.034579376666666675,9,1.0
ompa-mpa,0.053433706666666664,9,1.0
ompa-omat,0.05436955555555556,9,1.0
ORB-mpa,0.05614943000000001,9,1.0
eSEN-oam,0.05617302144444444,9,1.0
omni-omat,0.05698730222222223,9,1.0
DPA-omat,0.0626864788888889,9,1.0
ORB-omat,0.06322645222222223,9,1.0
omni-mpa,0.06417500555555554,9,1.0
DPA-mp,0.06668082333333333,9,1.0
omni-matpes_pbe,0.08095561000000001,9,1.0
MACE-omat,0.10527549111111112,9,1.0
MACE-mpa,0.11134379000000003,9,1.0
UMA-omc,4.288438446,9,1.0
